name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
万科A,18.53,8.74,29.4144,21022.6063,1.9043,240477.2369,21.784,104.8766,3.4326,0.4063,886.0448,0.3792,949.3671,22.9754,9.2519,18.6098,35.8875,15.8537,13.237,1.2436,0.4378,15.0056,2565.5739,19.4633,80.5367,0.1645,0.0476,1.3956,0.0591,6.8218
国农科技,32.52,13.66,34.6221,39.2993,0.4679,287.67,3.4255,167.6045,2.1479,1.4667,245.449,1.2487,288.2998,138.8206,479.1955,9.1269,-43.8848,3040.9396,48.2063,3.6575,3.4697,275.5502,1871.6764,79.6544,20.3456,0.5142,0.6612,3.7247,3.25,403.0677
深振业A,15.55,23.18,29.1261,778.5809,0.5767,3358.8264,2.488,300.3497,1.1986,0.2956,1217.862,0.3117,1154.9567,-8.0859,83.2047,14.1209,3.6752,86.8157,13.9323,2.4332,0.7426,63.8493,704.9052,38.9501,61.0499,0.5086,0.1297,2.1252,0.2125,37.5097
全新好,21.05,200.76,66.1915,78.019,0.3377,38.8604,0.1682,2.3401,153.8396,1.6911,212.8792,0.1465,2457.3379,-60.7318,516.1247,17.2719,7.0786,457.4257,0.342,3.1644,3.163,76.1584,6419.4746,85.0038,14.9962,-0.6216,-0.047,-0.2962,-0.3132,-31.5017
神州高铁,8.53,27.81,52.7716,521.8662,0.1857,1876.0065,0.6678,1.5574,231.1545,1.9859,181.278,0.6183,582.2416,44.8569,179.366,112.2543,128.2487,146.1538,110.209,2.2452,1.9486,57.0294,49050.0516,75.3417,24.6583,-0.0299,-0.0069,-0.1058,-0.0278,-2.8541
中国宝安,5.21,3.63,30.6634,233.3839,0.1085,6411.7494,2.9831,5.2849,68.1186,0.635,566.9291,0.4815,747.6636,31.7839,-56.5708,23.4013,19.3654,-78,0.0116,1.4137,0.6328,20.2952,247.7458,37.6209,62.3791,-0.0019,-6.00E-04,-0.029,-9.00E-04,-0.1219
美丽生态,1.79,3.78,27.5515,39.8771,0.0486,1053.5294,1.285,2.6595,135.3638,0.4716,763.3588,0.3254,1106.3307,10.0431,19.9964,1.8004,-5.9694,-10.3321,1.8499,1.3952,0.5668,33.5023,174.401,45.6675,54.3325,-0.0769,-0.0166,-2.0806,-0.0306,-3.729
深物业A,14.72,17.23,57.6276,354.8572,0.5954,2059.2041,3.4551,58.553,6.1483,0.3454,1042.2698,0.4432,812.2744,91.1239,126.2832,14.7816,51.9341,126.3018,14.7877,1.3708,0.741,69.8974,-2092.1633,36.2364,63.7636,1.0936,0.3384,6.3463,0.5308,54.852
南玻A,10.21,8.88,26.8759,797.7216,0.3843,8974.0834,4.3241,16.6041,21.6814,15.8468,22.7175,3.8532,93.4288,20.7673,25.6933,3.2399,9.617,26.6667,-0.7871,0.3562,0.2876,8.4369,459.682,47.8974,52.1026,0.2497,0.132,2.7863,0.2533,32.2183
沙河股份,3.88,4.6,20.9055,28.5968,0.1417,620.7572,3.0775,217.5414,1.6549,0.307,1172.6384,0.3376,1066.3507,50.2267,-45.4928,2.801,-13.6696,-46.0015,2.9555,2.2646,0.4119,32.5427,1106.9203,42.4048,57.5952,0.7158,0.2371,15.2617,0.4117,59.3022
神州长城,26.64,10.15,25.844,473.6619,0.2789,4664.9991,2.7469,1.535,234.5277,13.8088,26.0703,0.8273,435.1505,16.3237,36.4024,42.9458,98.7866,-81.3333,38.6577,1.4062,1.3437,25.4175,540.4818,22.9206,77.0794,-0.3618,-0.2113,-3.5753,-0.2742,-31.6785
深科技,4.07,1.42,5.6719,214.4235,0.1457,15069.1705,10.2423,7.7974,46.1692,15.3541,23.4465,1.6979,212.0266,-1.905,23.8461,1.7605,-18.2747,18.6482,1.0504,1.1673,1.0035,55.1772,890.8992,45.2092,54.7908,0.0237,0.0304,1.5935,0.0555,5.7268
深赤湾A,11.3,27.94,44.8605,532.3765,0.8256,1905.1071,2.9547,10.4979,34.2926,65.5073,5.4956,2.4044,149.7255,1.7355,2.6247,7.7961,-4.2422,0.8547,6.0865,1.1318,1.1065,72.9073,4627.2637,85.1448,14.8552,0.4345,0.125,1.2357,0.8417,141.653
深天地A,2.56,0.98,12.9775,9.9522,0.0717,1009.9604,7.2786,1.5149,237.6394,2.0148,178.6778,0.7288,493.9627,-2.6829,-40.57,2.0272,-3.3145,-62.7726,0.8326,1.379,0.981,22.3682,214.2943,30.0934,69.9066,0.0703,0.0469,4.485,0.0671,7.1676
特力A,3.03,8.38,29.3603,27.1936,0.0914,324.2408,1.0906,959.5934,0.3752,16.8474,21.3683,0.9207,391.0068,6.7541,-35.3786,3.4086,1.7399,-40.5072,3.1323,1.3861,1.3417,87.7925,-5925.2336,76.4117,23.5883,0.1785,0.0487,2.0956,0.2064,23.2542
飞亚达A,4.66,3.69,40.7852,110.6627,0.2522,2993.8646,6.8237,9.7935,36.7591,0.8669,415.2728,1.002,359.2814,-5.3233,-9.5612,3.1317,-5.6932,-18.6189,3.1382,1.8743,0.5505,28.4226,310.5333,59.3011,40.6989,0.1522,0.1138,4.1292,0.2796,30.2094
深圳能源,6.23,11.9,28.9318,1347.0703,0.3397,11318.1122,2.8548,3.5604,101.1122,5.6495,63.7225,0.7797,461.716,1.6903,-31.6402,-0.1617,4.813,-24.4444,-0.4758,0.7335,0.6484,26.6221,348.7049,40.7932,59.2068,0.2432,0.0452,1.957,0.0764,15.4179
国药一致,14.04,2.87,11.1524,1186.6019,3.2721,41248.4293,113.7473,5.9745,60.2561,11.1348,32.3311,2.8551,126.0902,58.6897,62.8099,60.137,61.2361,33.3333,54.9521,1.4573,1.1236,29.0049,1671.1114,41.8246,58.1754,0.0357,0.0691,1.1487,0.1188,12.134
深深房A,11.78,13.24,29.0549,311.5674,0.3079,2352.0235,2.3249,21.3005,16.901,0.86,418.6047,0.6911,520.9087,8.7206,3.4632,14.1832,-9.434,3.4599,13.3875,2.8726,1.3287,112.691,-3264.1047,66.4615,33.5385,0.2239,0.1391,1.6908,0.4148,46.8805
富奥股份,13.07,11.55,18.6089,676.7117,0.5232,5856.9376,4.5288,4.6487,77.441,7.7967,46.1734,1.4423,249.6013,35.2169,28.8932,8.8605,12.2148,33.3333,10.4525,1.7517,1.4912,47.3297,-7111.8984,63.65,36.35,0.1026,0.0662,0.8879,0.1822,24.0415
中粮地产,12.22,3.99,34.2643,720.1539,0.397,18025.1915,9.9381,96.5449,3.7288,0.3468,1038.0623,0.3538,1017.524,33.5245,33.1831,1.8188,10.7649,0,-1.4458,1.6457,0.6892,42.8386,543.2121,18.4205,81.5795,0.3793,0.1116,5.1277,0.1368,21.5019
深桑达A,4.22,3.05,13.9666,60.7129,0.1437,1987.3043,4.7064,9.2038,39.1143,5.7214,62.9217,1.3684,263.081,0.8754,-7.4895,2.7264,-8.0124,-10.125,4.0648,3.6037,2.8726,156.8866,-489.0683,79.248,20.752,0.0395,0.0402,1.7177,0.1937,20.4494
神州数码,15.24,0.99,4.8774,403.7952,0.6173,40531.1235,61.9675,12.199,29.5106,16.4777,21.8477,5.0817,70.8424,8748.3663,1785.4053,1317.4734,3702.8692,1016.6667,1316.1312,1.223,0.8641,9.1152,219.4263,15.5582,84.4418,0.0085,0.0203,0.8587,0.024,2.7103
中国天楹,10.26,21.59,44.8436,211.7245,0.1709,980.4997,0.7916,6.3164,56.9945,6.2057,58.0112,1.3324,270.1891,18.791,-7.2178,11.4617,36.3597,-53.8108,11.4617,0.3665,0.318,12.0401,314.4259,34.383,65.617,0.23,0.0376,1.0649,0.0573,10.4712
华联控股,39.9,62.09,71.7344,1348.5424,1.1812,2171.7438,1.9023,863.8492,0.4167,0.1456,2472.5275,0.3362,1070.7912,430.9525,1328.8796,50.0077,50.462,1812.4797,65.5244,1.4627,0.611,54.9199,31840.6171,41.3832,58.6168,0.9683,0.2162,1.5541,0.3689,40.5266
深大通,4.6,22.66,40.0779,233.2544,0.7138,1029.1963,3.1499,4.5192,79.6601,1.0305,349.345,0.482,746.888,236.9654,2882.7057,3202.4617,758.4608,1396.4516,4277.1001,3.1353,2.6068,190.3399,-4122.3855,79.9847,20.0153,0.3458,0.0557,1.4801,0.2781,31.5624
中集集团,1.84,1.05,18.8404,539.66,0.1811,51111.652,17.1597,4.6061,78.1572,2.4527,146.777,1.0551,341.1999,-12.9063,-67.6498,10.2548,16.7207,-80.5556,2.609,1.1536,0.7771,22.2008,336.6889,31.4046,68.5954,0.0458,0.0188,3.1859,0.0274,5.063
东旭蓝天,1.59,4.64,16.5999,175.3795,0.1311,3773.5017,2.8219,6.9922,51.4859,1.0262,350.8088,0.3873,929.512,126.5375,182.6017,727.1056,155.4026,46.1538,726.9646,3.5838,2.8303,230.8805,266.3826,63.4194,36.5806,-0.0751,-0.0164,-1.6161,-0.0448,-7.7345
中洲控股,4.42,3.21,29.2134,260.5326,0.3918,8115.7553,12.2072,93.4154,3.8538,0.336,1071.4286,0.3587,1003.6242,60.7773,-44.5944,4.3617,18.4401,-52.7396,4.8072,1.647,0.4633,25.4574,256.6098,20.0988,79.9012,0.2154,0.06,7.8921,0.075,11.5963
中航地产,3.95,2.55,20.1821,161.3909,0.2419,6322.6936,9.4798,13.1343,27.4092,0.5941,605.9586,0.4848,742.5743,14.5673,-62.9595,0.6919,-5.0165,-59.7739,3.156,1.302,0.6356,20.4713,166.7525,21.754,78.246,0.3697,0.1076,17.0225,0.1375,24.4598
泛海控股,16.96,16.69,41.4953,3109.1049,0.5983,18621.5678,3.5836,23.1414,15.5565,0.1839,1957.5856,0.1646,2187.1203,97.2521,29.1792,64.1794,41.8058,36.3636,78.112,2.3256,1.0905,55.6777,296.0558,14.8323,85.1677,-0.8178,-0.0907,-4.9818,-0.1065,-28.1392
康达尔,0.81,0.38,17.6909,5.9608,0.0152,1561.2309,3.9952,36.1571,9.9566,2.7922,128.9306,1.378,261.2482,-32.1799,-97.1375,2.9556,0.9757,-97.0577,1.8779,1.0599,0.3625,27.9208,1118.4584,42.1516,57.8484,-0.3957,-0.3152,-102.8829,-0.5449,-60.333
德赛电池,22.09,2.92,9.7084,255.3013,1.2438,8724.4123,42.5075,4.308,83.5655,9.4967,37.9079,2.3074,156.0198,3.4411,13.4998,25.238,51.2323,10.8942,24.1418,1.2472,0.9751,13.2924,-2553.8339,29.1521,70.8479,0.0098,0.0166,0.2447,0.0235,2.348
深天马A,4.13,5.3,20.1832,569.1774,0.4062,10736.7564,7.663,5.347,67.3275,6.9418,51.8597,1.0421,345.4563,1.9635,2.4487,3.8543,0.2342,-17.119,3.8543,1.7372,1.5369,82.8266,-404.2569,63.4658,36.5342,0.0913,0.0452,1.7228,0.1238,18.147
方大集团,29.52,16.6,38.2671,697.9564,0.8845,4203.8662,5.3274,2.2429,160.5065,1.5553,231.4666,0.9383,383.6726,64.8273,861.6463,72.5816,52.0346,550,79.1792,1.6732,1.0786,32.7165,3143.5805,33.9221,66.0779,0.1108,0.0686,0.7099,0.1038,13.9118
皇庭国际,2.21,34.82,69.9248,113.4758,0.0988,325.8399,0.2838,7.2466,49.6785,192.9518,1.8658,0.2926,1230.3486,21.4515,203.5766,10.1703,33.0776,11.1111,2.5122,3.8436,3.8431,142.5516,200.6312,51.7663,48.2337,0.0883,0.0027,0.2472,0.0056,5.4477
深赛格,6.94,15.99,13.9637,107.5602,0.137,672.3843,0.8567,9.0203,39.91,1.0989,327.6003,0.514,700.3891,-9.3252,31.7329,4.6517,-2.5389,44.926,4.9538,1.6431,0.8547,23.9752,4152.9452,69.0078,30.9922,-0.1785,-0.0471,-0.8439,-0.152,-15.7172
华锦股份,16.9,6.19,28.1852,1803.2435,1.1274,29103.9423,18.1963,200.7375,1.7934,6.0389,59.6135,2.7717,129.8842,-5.8409,409.79,20.2526,4.8473,438.0952,20.5669,0.642,0.451,21.6296,389.5749,35.3328,64.6672,0.1451,0.1346,2.2855,0.2082,22.2677
