race,classtype,yearssmall,hsgrad,g4math,g4reading,kinder
white,3,0,,,,regular with aid
black,3,0,,706,661,regular with aid
white,3,0,1,711,750,regular with aid
black,1,4,,672,659,small
white,2,0,,,,regular
white,3,0,,,,regular with aid
white,1,4,,668,657,small
white,3,0,,,,regular with aid
white,1,4,1,709,725,small
white,2,0,1,698,692,regular
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
black,2,0,1,,,regular
white,3,0,,,,regular with aid
white,3,0,1,,,regular with aid
white,3,0,,,,regular with aid
white,1,1,,,,small
white,2,2,,,,regular
white,3,0,,733,672,regular with aid
white,3,0,,,,regular with aid
white,2,1,,,,regular
black,1,4,,,,small
white,1,1,,,,small
white,3,0,,,,regular with aid
black,2,0,1,,,regular
white,1,2,,,,small
white,1,4,1,740,836,small
white,2,0,1,,,regular
white,3,0,,,,regular with aid
white,2,0,,,,regular
white,3,3,,,,regular with aid
white,3,0,,716,679,regular with aid
white,3,0,,,,regular with aid
white,2,0,,758,836,regular
white,3,3,,720,764,regular with aid
black,2,0,1,,,regular
black,3,0,1,,,regular with aid
white,3,0,,,,regular with aid
white,1,4,,685,785,small
white,1,4,1,771,725,small
black,3,0,,,,regular with aid
black,1,1,1,,,small
black,3,0,,,,regular with aid
black,1,1,,,,small
black,3,0,,,,regular with aid
black,1,2,0,,,small
black,1,3,1,,,small
white,1,4,1,709,761,small
black,1,3,,,,small
black,1,2,0,,,small
black,2,0,,,,regular
black,1,1,0,,,small
black,3,1,,,,regular with aid
white,1,3,,,,small
white,1,1,1,,,small
black,3,0,,,,regular with aid
black,3,3,,,,regular with aid
white,1,4,,679,678,small
white,3,0,,,,regular with aid
white,2,0,,,,regular
black,1,1,1,,,small
black,3,0,,,,regular with aid
black,3,0,,,,regular with aid
black,1,1,,,,small
white,2,0,,,,regular
white,2,0,,,,regular
white,2,1,1,,,regular
white,3,0,1,,,regular with aid
white,3,0,0,,,regular with aid
white,2,0,1,698,778,regular
white,2,0,,,,regular
white,2,0,,,,regular
black,2,0,0,,,regular
black,1,1,,,,small
black,2,0,,,,regular
white,3,3,,681,670,regular with aid
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,1,2,,,,small
white,2,0,,,,regular
white,3,0,0,,,regular with aid
white,3,0,0,,,regular with aid
white,2,0,,,,regular
white,2,0,,,,regular
white,2,0,,,,regular
white,3,0,1,673,665,regular with aid
white,3,0,1,,,regular with aid
white,2,1,,,,regular
black,3,0,,,,regular with aid
black,3,0,,,,regular with aid
white,2,0,,,,regular
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,2,0,0,,,regular
white,3,0,,644,702,regular with aid
black,3,0,,,,regular with aid
black,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,3,0,0,,,regular with aid
black,2,0,0,,,regular
white,2,0,,,,regular
black,1,1,,,,small
white,2,0,,,,regular
black,2,0,,,,regular
white,2,0,0,744,735,regular
white,2,0,,,,regular
white,2,0,1,,,regular
black,3,0,1,,,regular with aid
white,3,0,0,,,regular with aid
black,1,1,,,,small
white,1,2,1,,,small
white,2,0,,,,regular
black,2,0,,,,regular
white,3,0,,,,regular with aid
white,3,2,,,,regular with aid
black,2,0,,690,570,regular
black,3,0,,,,regular with aid
white,1,1,,,,small
black,2,0,,,,regular
white,3,1,,,,regular with aid
black,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,3,0,,740,728,regular with aid
white,3,0,1,731,698,regular with aid
white,2,0,1,727,750,regular
black,1,3,,,,small
white,2,0,0,487,616,regular
white,2,1,0,674,675,regular
black,1,1,,,,small
white,2,0,,,,regular
white,3,0,,676,629,regular with aid
black,2,0,0,666,644,regular
white,2,0,,,,regular
black,2,0,1,,,regular
black,3,0,,,,regular with aid
black,3,0,,,,regular with aid
white,2,0,1,664,528,regular
black,1,3,,,,small
black,3,0,0,744,732,regular with aid
black,2,0,,,,regular
black,3,0,,,,regular with aid
white,2,3,,736,782,regular
black,2,0,,,,regular
white,2,0,,,,regular
black,3,0,,,,regular with aid
black,1,1,0,,,small
white,2,0,1,702,771,regular
white,3,0,1,667,729,regular with aid
white,1,4,1,744,772,small
white,2,0,1,,,regular
white,1,1,,,,small
black,2,0,1,654,647,regular
white,3,0,,665,739,regular with aid
black,2,0,,,,regular
white,3,0,1,,,regular with aid
white,3,0,1,,,regular with aid
white,2,0,,,,regular
white,1,1,,,,small
white,1,4,,,,small
white,3,0,1,,,regular with aid
black,3,0,,,,regular with aid
white,1,3,0,,,small
white,1,1,,,,small
white,1,4,1,680,528,small
white,1,4,0,666,675,small
white,3,0,0,,,regular with aid
white,2,0,,,,regular
black,1,1,,,,small
white,3,0,,,,regular with aid
black,2,0,,,,regular
black,2,0,,,,regular
black,1,4,0,,,small
black,2,0,1,,,regular
white,3,0,1,647,,regular with aid
white,1,4,,,,small
black,2,0,,,,regular
white,1,2,,,,small
black,3,0,,,,regular with aid
white,2,0,,,,regular
white,2,2,,,,regular
white,2,0,,,,regular
white,1,2,,,,small
white,3,0,1,595,653,regular with aid
white,1,2,1,,,small
black,3,0,,,,regular with aid
black,1,1,1,,,small
white,3,0,,,,regular with aid
black,2,0,,,,regular
black,3,0,,,,regular with aid
black,2,0,,618,659,regular
white,1,1,,,,small
white,1,4,1,678,650,small
black,2,0,,,,regular
white,2,0,1,,,regular
white,1,1,,,,small
black,1,1,,,,small
black,2,1,1,,,regular
black,1,3,1,706,684,small
black,2,0,,,,regular
black,1,2,,,,small
white,2,0,1,,,regular
black,1,4,,,,small
black,1,4,,,,small
black,1,2,1,,,small
black,3,0,0,,,regular with aid
black,3,3,1,,,regular with aid
black,1,2,,705,689,small
black,3,0,,,,regular with aid
black,2,0,0,,,regular
black,3,0,0,,,regular with aid
black,3,0,1,,,regular with aid
black,3,0,1,,,regular with aid
black,3,0,,726,698,regular with aid
black,3,1,,,,regular with aid
black,3,2,,725,756,regular with aid
black,1,4,0,680,723,small
black,3,0,1,,,regular with aid
black,1,1,1,,,small
black,2,0,,,,regular
black,2,0,1,,,regular
black,1,4,0,,,small
black,3,0,0,,,regular with aid
black,2,0,,,,regular
white,2,0,0,,,regular
black,1,2,0,,,small
black,2,0,1,758,729,regular
black,2,0,,,,regular
black,1,3,1,,,small
black,3,0,0,,,regular with aid
black,3,0,,,,regular with aid
black,1,1,,,,small
black,3,0,,,,regular with aid
black,2,1,,,,regular
black,1,3,,689,768,small
black,2,0,,,,regular
black,1,4,,,,small
black,2,1,0,,,regular
black,1,2,1,719,721,small
black,3,0,1,,,regular with aid
black,2,0,1,,,regular
black,3,0,0,,,regular with aid
black,1,4,,,,small
black,1,4,,694,671,small
black,3,0,,,,regular with aid
black,2,0,1,,,regular
black,2,0,,,,regular
black,1,1,0,,,small
black,3,1,1,758,782,regular with aid
white,2,0,0,,,regular
white,2,0,,,,regular
white,3,0,,,,regular with aid
black,3,0,,,,regular with aid
black,2,0,1,727,715,regular
white,3,0,,,,regular with aid
black,3,0,0,,,regular with aid
black,2,0,,,,regular
black,3,0,,,,regular with aid
white,1,2,,,,small
black,1,1,,,,small
black,2,0,,,,regular
black,3,0,1,,,regular with aid
black,3,0,,,,regular with aid
black,2,0,,,,regular
white,1,4,,,,small
black,1,4,0,,,small
black,2,0,,,,regular
black,1,1,0,,,small
black,3,0,,,,regular with aid
black,1,1,,,,small
black,3,0,1,,,regular with aid
black,3,0,0,,,regular with aid
black,2,0,1,,,regular
black,3,0,,,,regular with aid
black,3,0,,,,regular with aid
white,1,1,1,,,small
white,3,0,,,,regular with aid
black,2,0,1,,,regular
black,1,1,,,,small
black,3,0,,,,regular with aid
white,3,0,,,,regular with aid
black,2,0,,,,regular
black,3,0,1,694,709,regular with aid
black,2,0,,,,regular
black,3,0,,,,regular with aid
black,2,0,0,,,regular
black,1,4,1,,,small
black,2,0,,,,regular
white,2,0,,,,regular
black,2,2,1,744,724,regular
white,1,1,1,,,small
black,1,4,,,,small
black,1,4,,,,small
black,1,3,,,,small
white,2,0,1,676,721,regular
white,2,0,1,,,regular
white,3,0,,,,regular with aid
black,2,0,,,,regular
black,3,0,,,,regular with aid
black,1,1,1,,,small
white,2,2,1,662,528,regular
black,3,0,1,,,regular with aid
black,2,0,1,740,701,regular
black,1,1,1,,,small
black,1,4,,670,724,small
black,3,0,1,773,738,regular with aid
black,2,0,1,,,regular
black,2,0,1,,,regular
white,1,4,,636,710,small
white,3,0,1,,,regular with aid
black,1,2,,,,small
white,1,2,,,,small
black,1,1,1,,,small
white,1,4,1,653,548,small
white,1,2,,,,small
white,2,0,,666,591,regular
white,2,0,,646,695,regular
black,2,0,,,,regular
white,3,0,0,,,regular with aid
white,1,1,,,,small
white,2,0,,712,682,regular
white,2,2,,,,regular
white,2,0,1,533,650,regular
black,1,4,1,654,605,small
white,1,2,1,,,small
white,3,0,,,,regular with aid
white,1,1,,,,small
white,2,0,1,702,741,regular
white,1,2,,,,small
white,1,1,,,,small
white,2,0,,,,regular
white,2,0,,,,regular
black,2,0,1,713,712,regular
white,2,0,,,,regular
white,1,4,1,647,701,small
white,1,4,1,740,763,small
black,2,0,,,,regular
white,2,0,0,,,regular
white,3,0,1,705,753,regular with aid
white,2,0,,684,664,regular
white,1,2,,,,small
white,2,0,0,,,regular
white,1,1,1,758,794,small
black,3,0,1,,,regular with aid
white,2,0,,,,regular
white,1,4,1,724,713,small
white,3,2,,686,698,regular with aid
white,1,4,1,531,528,small
white,1,1,,,,small
white,2,0,1,,,regular
white,1,4,1,705,726,small
white,3,0,,,,regular with aid
white,3,0,1,720,836,regular with aid
white,1,4,,,,small
white,1,4,1,643,528,small
black,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,1,2,,,,small
white,2,0,1,,,regular
white,2,0,,,,regular
white,3,0,,,,regular with aid
white,1,1,,,,small
black,3,0,,,,regular with aid
black,3,0,0,,,regular with aid
white,3,0,,,,regular with aid
white,1,4,,,,small
white,3,0,,,,regular with aid
white,2,0,,,,regular
black,2,0,1,,,regular
white,2,0,,,,regular
white,3,1,,654,653,regular with aid
white,1,2,0,,,small
white,3,0,1,,,regular with aid
white,3,0,,,,regular with aid
white,3,0,1,697,698,regular with aid
white,3,0,,641,705,regular with aid
white,2,0,,744,679,regular
black,2,0,,,,regular
white,1,2,,,,small
white,2,0,1,,,regular
white,3,0,0,,,regular with aid
white,1,1,0,,,small
black,1,1,,,,small
white,1,3,,,,small
white,1,4,1,662,697,small
white,3,3,,740,685,regular with aid
white,1,4,1,686,705,small
black,2,0,0,,,regular
white,2,0,1,821,784,regular
white,2,0,1,683,733,regular
white,3,0,,702,720,regular with aid
black,2,0,,,,regular
white,2,0,1,,,regular
black,1,1,,,,small
white,1,4,,,,small
white,3,3,1,,,regular with aid
white,2,0,1,821,767,regular
white,2,0,,,,regular
white,2,0,,,,regular
white,1,4,1,729,763,small
black,1,2,,,,small
white,1,4,1,741,740,small
white,2,0,0,,,regular
white,2,0,1,758,726,regular
white,1,4,0,640,620,small
white,1,1,,,,small
white,1,1,,,,small
black,3,1,,,,regular with aid
black,1,4,,678,528,small
white,2,0,,689,648,regular
white,1,3,,,,small
white,2,0,,,,regular
white,3,0,,,,regular with aid
black,2,0,,,,regular
white,3,0,0,706,718,regular with aid
white,2,2,0,708,712,regular
white,1,4,1,744,836,small
white,2,0,,,,regular
white,3,0,1,,,regular with aid
white,1,4,1,697,764,small
white,1,1,,,,small
white,3,2,1,714,699,regular with aid
black,2,0,,,,regular
white,1,4,1,729,733,small
white,1,4,1,742,761,small
white,2,0,,,,regular
white,3,0,1,655,714,regular with aid
white,1,4,,,,small
white,2,0,,,,regular
white,1,2,,699,729,small
white,2,0,1,,,regular
white,1,2,0,,,small
white,1,2,,,,small
white,1,4,,722,755,small
black,3,1,,732,691,regular with aid
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,2,0,1,716,760,regular
white,3,0,1,740,750,regular with aid
white,3,0,,678,722,regular with aid
white,1,3,,,,small
white,3,0,1,,,regular with aid
white,1,2,1,,,small
white,2,0,,550,666,regular
white,3,0,1,,,regular with aid
white,1,1,,,,small
white,1,4,,707,747,small
white,1,4,,,580,small
white,2,0,1,758,736,regular
white,1,4,1,701,695,small
white,1,1,,,,small
white,2,0,,654,634,regular
white,3,0,1,,,regular with aid
white,1,4,1,739,737,small
white,3,0,1,694,720,regular with aid
white,1,2,,,,small
white,3,0,1,720,738,regular with aid
black,2,0,,669,674,regular
white,3,0,1,704,714,regular with aid
white,1,4,1,821,756,small
white,1,4,1,713,781,small
white,3,0,,,,regular with aid
white,3,0,1,717,782,regular with aid
white,2,0,,702,794,regular
white,3,0,,700,760,regular with aid
white,2,0,,,,regular
white,1,1,,,,small
white,1,4,,,,small
black,3,0,,,,regular with aid
white,3,1,1,714,743,regular with aid
white,3,0,,714,671,regular with aid
white,2,0,,729,836,regular
white,3,0,1,716,737,regular with aid
white,3,0,0,,,regular with aid
white,1,1,1,728,727,small
white,3,0,,,,regular with aid
white,2,0,,,,regular
white,3,0,1,,,regular with aid
black,3,0,,,,regular with aid
white,2,0,,,,regular
black,1,1,,,,small
white,1,4,1,747,836,small
white,2,0,,633,673,regular
white,3,1,,,,regular with aid
white,2,0,1,689,671,regular
white,2,0,,,,regular
white,2,0,1,744,836,regular
white,1,2,,,,small
white,2,0,1,,,regular
white,2,2,1,693,703,regular
white,2,0,,,,regular
white,3,0,1,737,776,regular with aid
white,1,4,,,,small
white,2,0,1,,,regular
white,2,1,1,,,regular
white,3,0,,,,regular with aid
white,3,2,1,727,751,regular with aid
white,2,0,1,692,778,regular
white,3,0,1,740,698,regular with aid
white,2,0,1,,,regular
white,3,0,1,696,,regular with aid
white,3,0,1,699,,regular with aid
white,3,0,0,,,regular with aid
white,1,4,1,738,,small
white,2,1,1,,,regular
white,3,0,,,,regular with aid
white,1,4,1,750,763,small
white,1,2,1,,,small
white,1,3,,,,small
white,1,4,,723,749,small
black,3,0,1,693,528,regular with aid
white,1,4,1,707,715,small
white,1,4,1,767,750,small
white,2,0,,,,regular
white,2,2,1,740,741,regular
black,1,4,,687,682,small
white,3,0,,696,760,regular with aid
white,2,0,,693,743,regular
white,2,0,1,,,regular
white,3,0,1,744,761,regular with aid
white,1,4,1,702,741,small
white,3,3,1,720,702,regular with aid
white,2,0,0,695,696,regular
