province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
上海,上海,2020-02-13,318,62,1,,NA,
上海,上海,2020-02-12,313,57,1,,NA,
上海,上海,2020-02-11,306,53,1,,NA,
上海,上海,2020-02-10,302,48,1,,NA,
上海,上海,2020-02-09,295,44,1,,NA,
上海,上海,2020-02-08,292,41,1,,NA,
上海,上海,2020-02-07,281,30,1,,NA,
上海,上海,2020-02-06,269,25,1,,NA,
上海,上海,2020-02-05,254,15,1,21,NA,3
上海,上海,2020-02-04,233,12,1,25,0,2
上海,上海,2020-02-03,208,10,1,15,0,0
上海,上海,2020-02-02,193,10,1,16,NA,
上海,上海,2020-02-01,177,10,1,24,NA,1
上海,上海,2020-01-31,153,9,1,18,NA,
上海,上海,2020-01-30,128,5,1,27,NA,
上海,上海,2020-01-29,96,5,1,16,NA,
上海,上海,2020-01-28,80,4,1,14,NA,1
上海,上海,2020-01-27,66,3,1,13,NA,
上海,上海,2020-01-26,53,1,1,13,NA,
上海,上海,2020-01-25,40,1,1,7,1,
上海,上海,2020-01-24,33,1,0,13,NA,1
上海,上海,2020-01-23,20,0,0,4,NA,
上海,上海,2020-01-22,16,0,0,7,NA,
上海,上海,2020-01-21,9,0,0,8(时间差),NA,
上海,上海,2020-01-20,1,0,0,1,NA,
