province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
云南,云南,2020-02-13,162,27,0,,NA,
云南,昆明,2020-02-13,48,8,0,,NA,
云南,昭通,2020-02-13,19,2,0,,NA,
云南,西双版纳,2020-02-13,15,2,0,,NA,
云南,曲靖,2020-02-13,13,1,0,,NA,
云南,玉溪,2020-02-13,14,3,0,,NA,
云南,大理,2020-02-13,13,3,0,,NA,
云南,保山,2020-02-13,9,0,0,,NA,
云南,红河,2020-02-13,8,3,0,,NA,
云南,丽江,2020-02-13,7,2,0,,NA,
云南,普洱,2020-02-13,4,0,0,,NA,
云南,德宏,2020-02-13,5,2,0,,NA,
云南,楚雄,2020-02-13,4,1,0,,NA,
云南,文山,2020-02-13,2,0,0,,NA,
云南,临沧,2020-02-13,1,0,0,,NA,
云南,云南,2020-02-12,155,25,0,,NA,
云南,昆明,2020-02-12,47,7,0,,NA,
云南,西双版纳,2020-02-12,15,2,0,,NA,
云南,玉溪,2020-02-12,14,3,0,,NA,
云南,昭通,2020-02-12,14,2,0,,NA,
云南,曲靖,2020-02-12,13,1,0,,NA,
云南,大理,2020-02-12,13,3,0,,NA,
云南,保山,2020-02-12,9,0,0,,NA,
云南,丽江,2020-02-12,7,2,0,,NA,
云南,红河,2020-02-12,7,3,0,,NA,
云南,德宏,2020-02-12,5,2,0,,NA,
云南,普洱,2020-02-12,4,0,0,,NA,
云南,楚雄,2020-02-12,4,0,0,,NA,
云南,文山,2020-02-12,2,0,0,,NA,
云南,临沧,2020-02-12,1,0,0,,NA,
云南,云南,2020-02-11,154,21,0,,NA,
云南,昆明,2020-02-11,46,6,0,,NA,
云南,西双版纳,2020-02-11,15,2,0,,NA,
云南,玉溪,2020-02-11,14,3,0,,NA,
云南,昭通,2020-02-11,14,2,0,,NA,
云南,曲靖,2020-02-11,13,1,0,,NA,
云南,大理,2020-02-11,13,2,0,,NA,
云南,保山,2020-02-11,9,0,0,,NA,
云南,丽江,2020-02-11,7,2,0,,NA,
云南,红河,2020-02-11,7,3,0,,NA,
云南,德宏,2020-02-11,5,0,0,,NA,
云南,普洱,2020-02-11,4,0,0,,NA,
云南,楚雄,2020-02-11,4,0,0,,NA,
云南,文山,2020-02-11,2,0,0,,NA,
云南,临沧,2020-02-11,1,0,0,,NA,
云南,云南,2020-02-10,149,19,0,,NA,
云南,昆明,2020-02-10,45,6,0,,NA,
云南,西双版纳,2020-02-10,15,2,0,,NA,
云南,玉溪,2020-02-10,14,2,0,,NA,
云南,大理,2020-02-10,13,2,0,,NA,
云南,昭通,2020-02-10,12,1,0,,NA,
云南,曲靖,2020-02-10,12,1,0,,NA,
云南,保山,2020-02-10,9,0,0,,NA,
云南,丽江,2020-02-10,7,2,0,,NA,
云南,红河,2020-02-10,6,2,0,,NA,
云南,德宏,2020-02-10,5,0,0,,NA,
云南,普洱,2020-02-10,4,0,0,,NA,
云南,楚雄,2020-02-10,4,0,0,,NA,
云南,文山,2020-02-10,2,0,0,,NA,
云南,临沧,2020-02-10,1,0,0,,NA,
云南,待明确,2020-02-10,0,1,0,,NA,
云南,云南,2020-02-09,141,18,0,,NA,
云南,昆明,2020-02-09,42,6,0,,NA,
云南,西双版纳,2020-02-09,15,2,0,,NA,
云南,玉溪,2020-02-09,14,2,0,,NA,
云南,昭通,2020-02-09,12,1,0,,NA,
云南,曲靖,2020-02-09,11,1,0,,NA,
云南,大理,2020-02-09,11,2,0,,NA,
云南,保山,2020-02-09,9,0,0,,NA,
云南,丽江,2020-02-09,7,1,0,,NA,
云南,红河,2020-02-09,5,2,0,,NA,
云南,德宏,2020-02-09,5,0,0,,NA,
云南,普洱,2020-02-09,4,0,0,,NA,
云南,楚雄,2020-02-09,4,0,0,,NA,
云南,临沧,2020-02-09,1,0,0,,NA,
云南,文山,2020-02-09,1,0,0,,NA,
云南,待明确,2020-02-09,0,1,0,,NA,
云南,云南,2020-02-08,140,17,0,,NA,
云南,昆明,2020-02-08,41,6,0,,NA,
云南,西双版纳,2020-02-08,15,2,0,,NA,
云南,玉溪,2020-02-08,14,2,0,,NA,
云南,昭通,2020-02-08,12,1,0,,NA,
云南,曲靖,2020-02-08,11,1,0,,NA,
云南,大理,2020-02-08,11,2,0,,NA,
云南,保山,2020-02-08,9,0,0,,NA,
云南,丽江,2020-02-08,7,1,0,,NA,
云南,红河,2020-02-08,5,1,0,,NA,
云南,德宏,2020-02-08,5,0,0,,NA,
云南,普洱,2020-02-08,4,0,0,,NA,
云南,楚雄,2020-02-08,4,0,0,,NA,
云南,临沧,2020-02-08,1,0,0,,NA,
云南,文山,2020-02-08,1,0,0,,NA,
云南,待明确,2020-02-08,0,1,0,,NA,
云南,云南,2020-02-07,138,12,0,,NA,
云南,昆明,2020-02-07,41,2,0,,NA,
云南,西双版纳,2020-02-07,15,2,0,,NA,
云南,玉溪,2020-02-07,14,2,0,,NA,
云南,大理,2020-02-07,11,2,0,,NA,
云南,曲靖,2020-02-07,11,1,0,,NA,
云南,昭通,2020-02-07,10,1,0,,NA,
云南,保山,2020-02-07,9,0,0,,NA,
云南,丽江,2020-02-07,7,1,0,,NA,
云南,红河,2020-02-07,5,1,0,,NA,
云南,德宏,2020-02-07,5,0,0,,NA,
云南,普洱,2020-02-07,4,0,0,,NA,
云南,楚雄,2020-02-07,4,0,0,,NA,
云南,临沧,2020-02-07,1,0,0,,NA,
云南,文山,2020-02-07,1,0,0,,NA,
云南,云南,2020-02-06,135,7,0,,NA,
云南,昆明,2020-02-06,40,0,0,,NA,
云南,西双版纳,2020-02-06,15,1,0,,NA,
云南,玉溪,2020-02-06,13,1,0,,NA,
云南,大理,2020-02-06,11,1,0,,NA,
云南,曲靖,2020-02-06,10,1,0,,NA,
云南,昭通,2020-02-06,10,1,0,,NA,
云南,保山,2020-02-06,9,0,0,,NA,
云南,丽江,2020-02-06,7,0,0,,NA,
云南,红河,2020-02-06,5,1,0,,NA,
云南,德宏,2020-02-06,5,0,0,,NA,
云南,普洱,2020-02-06,4,0,0,,NA,
云南,楚雄,2020-02-06,4,0,0,,NA,
云南,临沧,2020-02-06,1,0,0,,NA,
云南,文山,2020-02-06,1,0,0,,NA,
云南,待明确,2020-02-06,0,1,0,,NA,
云南,云南,2020-02-05,128,5,0,6,NA,
云南,昆明,2020-02-05,37,0,0,3,NA,
云南,西双版纳,2020-02-05,15,1,0,1,NA,
云南,玉溪,2020-02-05,13,1,0,1,NA,
云南,昭通,2020-02-05,10,0,0,0,NA,
云南,曲靖,2020-02-05,10,1,0,0,NA,
云南,保山,2020-02-05,8,0,0,0,NA,
云南,大理,2020-02-05,8,1,0,1,NA,
云南,丽江,2020-02-05,7,0,0,0,NA,
云南,红河,2020-02-05,5,1,0,0,NA,
云南,德宏,2020-02-05,5,0,0,0,NA,
云南,楚雄,2020-02-05,4,0,0,0,NA,
云南,普洱,2020-02-05,4,0,0,0,NA,
云南,文山,2020-02-05,1,0,0,0,NA,
云南,临沧,2020-02-05,1,0,0,0,NA,
云南,云南,2020-02-04,122,5,0,5,NA,
云南,昆明,2020-02-04,34,0,0,0,NA,
云南,西双版纳,2020-02-04,14,1,0,1,NA,
云南,玉溪,2020-02-04,12,1,0,0,NA,
