province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
北京,北京,2020-02-13,366,69,3,,NA,
北京,北京,2020-02-12,366,68,3,,NA,
北京,北京,2020-02-11,352,56,3,,NA,
北京,北京,2020-02-10,342,48,3,,NA,
北京,北京,2020-02-09,337,44,2,,NA,
北京,北京,2020-02-08,326,37,2,,NA,
北京,北京,2020-02-07,315,34,2,,NA,
北京,北京,2020-02-06,297,33,1,,NA,
北京,北京,2020-02-05,274,31,1,21,NA,
北京,北京,2020-02-04,253,24,1,25,NA,
北京,北京,2020-02-03,228,23,1,16,NA,11
北京,北京,2020-02-02,212,12,1,,NA,
北京,北京,2020-02-01,183,9,1,15,NA,
北京,北京,2020-01-31,156,5,1,24,NA,
北京,北京,2020-01-30,132,5,1,18,NA,1
北京,北京,2020-01-29,114,4,1,12,NA,
北京,北京,2020-01-28,91,4,1,11,NA,2
北京,北京,2020-01-27,80,2,1,8,1,
北京,北京,2020-01-26,68,1,0,17,NA,
北京,北京,2020-01-25,51,1,0,15,NA,
北京,北京,2020-01-24,36,1,0,10(三篇公告),NA,
北京,北京,2020-01-23,26,0,0,12(两篇公告),NA,
北京,北京,2020-01-22,14,0,0,4,NA,
北京,北京,2020-01-21,10,0,0,5,NA,
北京,北京,2020-01-20,5,0,0,5,NA,
