province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
台湾,台湾,2020-02-13,18,2,0,,NA,
台湾,台湾,2020-02-12,18,1,0,,NA,
台湾,台湾,2020-02-11,18,1,0,,NA,
台湾,台湾,2020-02-10,18,1,0,,NA,
台湾,台湾,2020-02-09,18,1,0,,NA,
台湾,台湾,2020-02-08,17,1,0,,NA,
台湾,台湾,2020-02-07,16,1,0,,NA,
台湾,台湾,2020-02-06,16,1,0,,NA,
台湾,台湾,2020-02-05,11,0,0,0,NA,
台湾,台湾,2020-02-04,11,0,0,1,NA,
台湾,台湾,2020-02-03,10,0,0,0,NA,
台湾,台湾,2020-02-02,10,0,0,0,NA,
台湾,台湾,2020-02-01,10,0,0,0,NA,
台湾,台湾,2020-01-31,10,0,0,1,NA,
台湾,台湾,2020-01-30,9,0,0,1,NA,
台湾,台湾,2020-01-29,8,0,0,,NA,
台湾,台湾,2020-01-28,8,0,0,2,NA,
台湾,台湾,2020-01-27,5,0,0,1,NA,
台湾,台湾,2020-01-26,4,0,0,1,NA,
台湾,台湾,2020-01-25,3,0,0,1,NA,
台湾,台湾,2020-01-24,2,0,0,1,NA,
台湾,台湾,2020-01-23,1,0,0,,NA,
台湾,台湾,2020-01-22,1,0,0,,NA,
台湾,台湾,2020-01-21,1,0,0,1,NA,
