province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
吉林,吉林,2020-02-13,86,25,1,,NA,
吉林,长春,2020-02-13,43,13,0,,NA,
吉林,四平,2020-02-13,14,2,1,,NA,
吉林,辽源,2020-02-13,6,1,0,,NA,
吉林,公主岭,2020-02-13,6,2,0,,NA,
吉林,延边,2020-02-13,5,2,0,,NA,
吉林,通化,2020-02-13,4,1,0,,NA,
吉林,吉林市,2020-02-13,5,3,0,,NA,
吉林,松原,2020-02-13,2,1,0,,NA,
吉林,白城,2020-02-13,1,0,0,,NA,
吉林,吉林,2020-02-12,84,22,1,,NA,
吉林,长春,2020-02-12,42,11,0,,NA,
吉林,四平,2020-02-12,13,2,1,,NA,
吉林,公主岭,2020-02-12,6,2,0,,NA,
吉林,辽源,2020-02-12,6,1,0,,NA,
吉林,吉林市,2020-02-12,5,3,0,,NA,
吉林,延边,2020-02-12,5,2,0,,NA,
吉林,通化,2020-02-12,4,0,0,,NA,
吉林,松原,2020-02-12,2,1,0,,NA,
吉林,白城,2020-02-12,1,0,0,,NA,
吉林,吉林,2020-02-11,83,18,1,,NA,
吉林,长春,2020-02-11,42,11,0,,NA,
吉林,四平,2020-02-11,12,1,1,,NA,
吉林,公主岭,2020-02-11,6,1,0,,NA,
吉林,辽源,2020-02-11,6,0,0,,NA,
吉林,吉林市,2020-02-11,5,2,0,,NA,
吉林,延边,2020-02-11,5,2,0,,NA,
吉林,通化,2020-02-11,4,0,0,,NA,
吉林,松原,2020-02-11,2,1,0,,NA,
吉林,白城,2020-02-11,1,0,0,,NA,
吉林,吉林,2020-02-10,81,13,1,,NA,
吉林,长春,2020-02-10,40,6,0,,NA,
吉林,四平,2020-02-10,12,1,1,,NA,
吉林,公主岭,2020-02-10,6,1,0,,NA,
吉林,辽源,2020-02-10,6,0,0,,NA,
吉林,吉林市,2020-02-10,5,2,0,,NA,
吉林,延边,2020-02-10,5,2,0,,NA,
吉林,通化,2020-02-10,4,0,0,,NA,
吉林,松原,2020-02-10,2,1,0,,NA,
吉林,白城,2020-02-10,1,0,0,,NA,
吉林,吉林,2020-02-09,80,12,1,,NA,
吉林,长春,2020-02-09,39,6,0,,NA,
吉林,四平,2020-02-09,12,0,1,,NA,
吉林,公主岭,2020-02-09,6,1,0,,NA,
吉林,辽源,2020-02-09,6,0,0,,NA,
吉林,吉林市,2020-02-09,5,2,0,,NA,
吉林,延边,2020-02-09,5,2,0,,NA,
吉林,通化,2020-02-09,4,0,0,,NA,
吉林,松原,2020-02-09,2,1,0,,NA,
吉林,白城,2020-02-09,1,0,0,,NA,
吉林,吉林,2020-02-08,78,5,1,,NA,
吉林,长春,2020-02-08,37,1,0,,NA,
吉林,四平,2020-02-08,12,0,1,,NA,
