province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
四川,四川,2020-02-13,463,105,1,,NA,
四川,成都,2020-02-13,135,43,1,,NA,
四川,甘孜,2020-02-13,43,3,0,,NA,
四川,达州,2020-02-13,36,5,0,,NA,
四川,南充,2020-02-13,35,6,0,,NA,
四川,广安,2020-02-13,30,7,0,,NA,
四川,巴中,2020-02-13,24,1,0,,NA,
四川,内江,2020-02-13,21,3,0,,NA,
四川,绵阳,2020-02-13,22,5,0,,NA,
四川,泸州,2020-02-13,19,2,0,,NA,
四川,德阳,2020-02-13,17,0,0,,NA,
四川,宜宾,2020-02-13,11,3,0,,NA,
四川,凉山,2020-02-13,10,3,0,,NA,
四川,自贡,2020-02-13,9,2,0,,NA,
四川,遂宁,2020-02-13,10,4,0,,NA,
四川,眉山,2020-02-13,8,2,0,,NA,
四川,雅安,2020-02-13,7,2,0,,NA,
四川,广元,2020-02-13,6,1,0,,NA,
四川,攀枝花,2020-02-13,13,9,0,,NA,
四川,乐山,2020-02-13,3,2,0,,NA,
四川,资阳,2020-02-13,3,2,0,,NA,
四川,阿坝,2020-02-13,1,0,0,,NA,
四川,四川,2020-02-12,451,96,1,,NA,
四川,成都,2020-02-12,131,42,1,,NA,
四川,甘孜,2020-02-12,37,3,0,,NA,
四川,达州,2020-02-12,36,5,0,,NA,
四川,南充,2020-02-12,35,5,0,,NA,
四川,广安,2020-02-12,30,5,0,,NA,
四川,绵阳,2020-02-12,22,4,0,,NA,
四川,巴中,2020-02-12,22,1,0,,NA,
四川,内江,2020-02-12,21,3,0,,NA,
四川,泸州,2020-02-12,19,2,0,,NA,
四川,德阳,2020-02-12,17,0,0,,NA,
四川,攀枝花,2020-02-12,13,9,0,,NA,
四川,宜宾,2020-02-12,11,3,0,,NA,
四川,遂宁,2020-02-12,10,4,0,,NA,
四川,凉山,2020-02-12,10,1,0,,NA,
四川,自贡,2020-02-12,9,2,0,,NA,
四川,眉山,2020-02-12,8,2,0,,NA,
四川,雅安,2020-02-12,7,2,0,,NA,
四川,广元,2020-02-12,6,1,0,,NA,
四川,乐山,2020-02-12,3,0,0,,NA,
四川,资阳,2020-02-12,3,2,0,,NA,
四川,阿坝,2020-02-12,1,0,0,,NA,
四川,四川,2020-02-11,436,87,1,,NA,
四川,成都,2020-02-11,125,41,1,,NA,
四川,甘孜,2020-02-11,36,2,0,,NA,
四川,南充,2020-02-11,34,4,0,,NA,
四川,达州,2020-02-11,33,5,0,,NA,
四川,广安,2020-02-11,30,3,0,,NA,
四川,绵阳,2020-02-11,22,4,0,,NA,
四川,巴中,2020-02-11,22,1,0,,NA,
四川,内江,2020-02-11,20,2,0,,NA,
四川,泸州,2020-02-11,19,2,0,,NA,
四川,德阳,2020-02-11,16,0,0,,NA,
四川,攀枝花,2020-02-11,13,8,0,,NA,
四川,遂宁,2020-02-11,10,4,0,,NA,
四川,宜宾,2020-02-11,10,3,0,,NA,
四川,凉山,2020-02-11,10,1,0,,NA,
四川,自贡,2020-02-11,9,2,0,,NA,
