province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
天津,天津,2020-02-13,119,21,3,,NA,
天津,天津,2020-02-12,113,11,3,,NA,
天津,天津,2020-02-11,107,10,2,,NA,
天津,天津,2020-02-10,102,8,2,,NA,
天津,天津,2020-02-09,94,4,1,,NA,
天津,天津,2020-02-08,90,4,1,,NA,
天津,天津,2020-02-07,88,2,1,,NA,
天津,天津,2020-02-06,79,2,1,,NA,
天津,天津,2020-02-05,69,2,1,2,1,0
天津,天津,2020-02-04,67,2,0,7,0,1
天津,天津,2020-02-03,60,1,0,12,0,0
天津,天津,2020-02-02,48,1,0,7,1,
天津,天津,2020-02-01,41,0,0,3,NA,
天津,天津,2020-01-31,32,0,0,1,NA,
天津,天津,2020-01-30,31,0,0,4,NA,
天津,天津,2020-01-29,27,0,0,3,NA,
天津,天津,2020-01-28,24,0,0,1,NA,
天津,天津,2020-01-27,22,0,0,8,NA,
天津,天津,2020-01-26,14,0,0,4,NA,
天津,天津,2020-01-25,10,0,0,2,NA,
天津,天津,2020-01-24,8,0,0,2,NA,
天津,天津,2020-01-23,5,0,0,1,NA,
天津,天津,2020-01-22,4,0,0,2,NA,
天津,天津,2020-01-21,2,0,0,2,NA,
