province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
宁夏,宁夏,2020-02-13,67,24,0,,NA,
宁夏,银川,2020-02-13,33,13,0,,NA,
宁夏,吴忠,2020-02-13,25,6,0,,NA,
宁夏,固原,2020-02-13,5,2,0,,NA,
宁夏,中卫,2020-02-13,3,2,0,,NA,
宁夏,石嘴山,2020-02-13,1,1,0,,NA,
宁夏,宁夏,2020-02-12,64,24,0,,NA,
宁夏,银川,2020-02-12,33,13,0,,NA,
宁夏,吴忠,2020-02-12,22,6,0,,NA,
宁夏,固原,2020-02-12,5,2,0,,NA,
宁夏,中卫,2020-02-12,3,2,0,,NA,
宁夏,石嘴山,2020-02-12,1,1,0,,NA,
宁夏,宁夏,2020-02-11,58,22,0,,NA,
宁夏,银川,2020-02-11,32,12,0,,NA,
宁夏,吴忠,2020-02-11,19,6,0,,NA,
宁夏,中卫,2020-02-11,3,2,0,,NA,
宁夏,固原,2020-02-11,3,2,0,,NA,
宁夏,石嘴山,2020-02-11,1,0,0,,NA,
宁夏,宁夏,2020-02-10,53,14,0,,NA,
宁夏,银川,2020-02-10,31,6,0,,NA,
宁夏,吴忠,2020-02-10,15,4,0,,NA,
宁夏,中卫,2020-02-10,3,2,0,,NA,
宁夏,固原,2020-02-10,3,2,0,,NA,
宁夏,石嘴山,2020-02-10,1,0,0,,NA,
宁夏,宁夏,2020-02-09,49,13,0,,NA,
宁夏,银川,2020-02-09,29,5,0,,NA,
宁夏,吴忠,2020-02-09,13,4,0,,NA,
宁夏,中卫,2020-02-09,3,2,0,,NA,
宁夏,固原,2020-02-09,3,2,0,,NA,
宁夏,石嘴山,2020-02-09,1,0,0,,NA,
宁夏,宁夏,2020-02-08,45,13,0,,NA,
宁夏,银川,2020-02-08,29,5,0,,NA,
宁夏,吴忠,2020-02-08,10,4,0,,NA,
宁夏,中卫,2020-02-08,3,2,0,,NA,
宁夏,固原,2020-02-08,2,2,0,,NA,
宁夏,石嘴山,2020-02-08,1,0,0,,NA,
宁夏,宁夏,2020-02-07,45,5,0,,NA,
宁夏,银川,2020-02-07,30,5,0,,NA,
宁夏,吴忠,2020-02-07,9,0,0,,NA,
宁夏,中卫,2020-02-07,3,0,0,,NA,
宁夏,固原,2020-02-07,2,0,0,,NA,
宁夏,石嘴山,2020-02-07,1,0,0,,NA,
宁夏,宁夏,2020-02-06,43,1,0,,NA,
宁夏,银川,2020-02-06,28,1,0,,NA,
宁夏,吴忠,2020-02-06,9,0,0,,NA,
宁夏,中卫,2020-02-06,3,0,0,,NA,
宁夏,固原,2020-02-06,2,0,0,,NA,
宁夏,石嘴山,2020-02-06,1,0,0,,NA,
宁夏,宁夏,2020-02-05,40,1,0,,NA,
宁夏,银川,2020-02-05,26,1,0,,NA,
宁夏,吴忠,2020-02-05,8,0,0,,NA,
宁夏,中卫,2020-02-05,3,0,0,,NA,
宁夏,固原,2020-02-05,2,0,0,,NA,
宁夏,石嘴山,2020-02-05,1,0,0,,NA,
宁夏,宁夏,2020-02-04,34,1,0,0,NA,
宁夏,银川,2020-02-04,21,1,0,0,NA,
宁夏,石嘴山,2020-02-04,1,0,0,0,NA,
宁夏,吴忠,2020-02-04,7,0,0,0,NA,
宁夏,固原,2020-02-04,2,0,0,0,NA,
宁夏,中卫,2020-02-04,3,0,0,0,NA,
宁夏,宁夏,2020-02-03,34,1,0,3,NA,1
宁夏,银川,2020-02-03,21,1,0,1,NA,
宁夏,石嘴山,2020-02-03,1,0,0,1,NA,
宁夏,吴忠,2020-02-03,7,0,0,0,NA,
宁夏,固原,2020-02-03,2,0,0,0,NA,
宁夏,中卫,2020-02-03,3,0,0,1,NA,
宁夏,宁夏,2020-02-02,31,0,0,3,NA,
宁夏,银川,2020-02-02,20,0,0,3,NA,
宁夏,吴忠,2020-02-02,7,0,0,0,NA,
宁夏,固原,2020-02-02,2,0,0,0,NA,
宁夏,中卫,2020-02-02,2,0,0,0,NA,
宁夏,宁夏,2020-02-01,28,0,0,2,NA,
宁夏,银川,2020-02-01,17,0,0,1,NA,
宁夏,吴忠,2020-02-01,7,0,0,1,NA,
宁夏,固原,2020-02-01,2,0,0,0,NA,
宁夏,中卫,2020-02-01,2,0,0,0,NA,
宁夏,宁夏,2020-01-31,26,0,0,5,NA,
宁夏,银川,2020-01-31,16,0,0,4,NA,
宁夏,吴忠,2020-01-31,6,0,0,1,NA,
宁夏,固原,2020-01-31,2,0,0,0,NA,
宁夏,中卫,2020-01-31,2,0,0,0,NA,
宁夏,宁夏,2020-01-30,21,0,0,4,NA,
宁夏,银川,2020-01-30,12,0,0,2,NA,
宁夏,吴忠,2020-01-30,5,0,0,0,NA,
宁夏,固原,2020-01-30,2,0,0,1,NA,
宁夏,中卫,2020-01-30,2,0,0,1,NA,
宁夏,宁夏,2020-01-29,17,0,0,5,NA,
宁夏,银川,2020-01-29,10,0,0,3,NA,
宁夏,吴忠,2020-01-29,5,0,0,2,NA,
宁夏,固原,2020-01-29,1,0,0,0,NA,
宁夏,中卫,2020-01-29,1,0,0,0,NA,
宁夏,宁夏,2020-01-28,12,0,0,1,NA,
宁夏,银川,2020-01-28,7,0,0,0,NA,
宁夏,吴忠,2020-01-28,3,0,0,1,NA,
宁夏,中卫,2020-01-28,1,0,0,0,NA,
宁夏,固原,2020-01-28,1,0,0,0,NA,
宁夏,宁夏,2020-01-27,11,0,0,4,NA,
