province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
山东,山东,2020-02-13,519,111,2,,NA,
山东,青岛,2020-02-13,53,15,1,,NA,
山东,济南,2020-02-13,47,11,0,,NA,
山东,烟台,2020-02-13,46,10,0,,NA,
山东,潍坊,2020-02-13,41,6,0,,NA,
山东,聊城,2020-02-13,38,3,0,,NA,
山东,临沂,2020-02-13,47,13,0,,NA,
山东,济宁,2020-02-13,46,14,0,,NA,
山东,威海,2020-02-13,38,9,0,,NA,
山东,德州,2020-02-13,35,6,1,,NA,
山东,泰安,2020-02-13,32,4,0,,NA,
山东,淄博,2020-02-13,26,1,0,,NA,
山东,枣庄,2020-02-13,23,4,0,,NA,
山东,日照,2020-02-13,15,2,0,,NA,
山东,菏泽,2020-02-13,18,7,0,,NA,
山东,滨州,2020-02-13,14,6,0,,NA,
山东,山东,2020-02-12,506,103,2,,NA,
山东,青岛,2020-02-12,53,13,1,,NA,
山东,济南,2020-02-12,47,10,0,,NA,
山东,烟台,2020-02-12,46,7,0,,NA,
山东,临沂,2020-02-12,45,12,0,,NA,
山东,济宁,2020-02-12,43,14,0,,NA,
山东,威海,2020-02-12,38,9,0,,NA,
山东,潍坊,2020-02-12,38,5,0,,NA,
山东,聊城,2020-02-12,38,3,0,,NA,
山东,德州,2020-02-12,35,6,1,,NA,
山东,泰安,2020-02-12,32,4,0,,NA,
山东,淄博,2020-02-12,23,1,0,,NA,
山东,枣庄,2020-02-12,23,4,0,,NA,
山东,菏泽,2020-02-12,18,7,0,,NA,
山东,日照,2020-02-12,15,2,0,,NA,
山东,滨州,2020-02-12,12,6,0,,NA,
山东,山东,2020-02-11,497,80,1,,NA,
山东,青岛,2020-02-11,53,12,1,,NA,
山东,济南,2020-02-11,47,7,0,,NA,
山东,临沂,2020-02-11,45,10,0,,NA,
山东,烟台,2020-02-11,43,3,0,,NA,
山东,济宁,2020-02-11,42,9,0,,NA,
山东,威海,2020-02-11,38,8,0,,NA,
山东,潍坊,2020-02-11,38,4,0,,NA,
山东,聊城,2020-02-11,38,2,0,,NA,
山东,德州,2020-02-11,33,6,0,,NA,
山东,泰安,2020-02-11,32,1,0,,NA,
山东,枣庄,2020-02-11,23,3,0,,NA,
山东,淄博,2020-02-11,20,1,0,,NA,
山东,菏泽,2020-02-11,18,6,0,,NA,
山东,日照,2020-02-11,15,2,0,,NA,
山东,滨州,2020-02-11,12,6,0,,NA,
山东,山东,2020-02-10,486,72,1,,NA,
山东,青岛,2020-02-10,53,11,1,,NA,
山东,济南,2020-02-10,46,7,0,,NA,
山东,临沂,2020-02-10,44,9,0,,NA,
山东,烟台,2020-02-10,41,3,0,,NA,
山东,济宁,2020-02-10,41,9,0,,NA,
山东,潍坊,2020-02-10,38,1,0,,NA,
山东,威海,2020-02-10,37,8,0,,NA,
山东,聊城,2020-02-10,37,2,0,,NA,
山东,德州,2020-02-10,32,6,0,,NA,
山东,泰安,2020-02-10,32,1,0,,NA,
山东,枣庄,2020-02-10,23,1,0,,NA,
山东,淄博,2020-02-10,19,1,0,,NA,
山东,菏泽,2020-02-10,17,6,0,,NA,
山东,日照,2020-02-10,15,2,0,,NA,
山东,滨州,2020-02-10,11,5,0,,NA,
山东,山东,2020-02-09,459,63,1,,NA,
山东,青岛,2020-02-09,52,10,1,,NA,
山东,济南,2020-02-09,44,7,0,,NA,
山东,临沂,2020-02-09,42,6,0,,NA,
山东,烟台,2020-02-09,39,3,0,,NA,
山东,济宁,2020-02-09,39,8,0,,NA,
山东,潍坊,2020-02-09,37,1,0,,NA,
山东,威海,2020-02-09,35,8,0,,NA,
山东,聊城,2020-02-09,34,2,0,,NA,
山东,德州,2020-02-09,32,4,0,,NA,
山东,泰安,2020-02-09,26,1,0,,NA,
山东,枣庄,2020-02-09,21,1,0,,NA,
山东,菏泽,2020-02-09,16,5,0,,NA,
山东,淄博,2020-02-09,16,1,0,,NA,
山东,日照,2020-02-09,15,2,0,,NA,
山东,滨州,2020-02-09,11,4,0,,NA,
山东,山东,2020-02-08,435,50,1,,NA,
山东,青岛,2020-02-08,47,7,1,,NA,
山东,济南,2020-02-08,42,3,0,,NA,
山东,临沂,2020-02-08,40,4,0,,NA,
山东,济宁,2020-02-08,39,8,0,,NA,
山东,烟台,2020-02-08,36,2,0,,NA,
山东,威海,2020-02-08,34,8,0,,NA,
山东,潍坊,2020-02-08,34,1,0,,NA,
山东,聊城,2020-02-08,33,2,0,,NA,
山东,德州,2020-02-08,30,4,0,,NA,
山东,泰安,2020-02-08,23,1,0,,NA,
山东,枣庄,2020-02-08,21,0,0,,NA,
山东,淄博,2020-02-08,16,1,0,,NA,
山东,日照,2020-02-08,15,2,0,,NA,
山东,菏泽,2020-02-08,14,3,0,,NA,
山东,滨州,2020-02-08,11,4,0,,NA,
山东,山东,2020-02-07,407,38,0,,NA,
山东,青岛,2020-02-07,46,5,0,,NA,
山东,济南,2020-02-07,42,3,0,,NA,
山东,临沂,2020-02-07,38,3,0,,NA,
山东,济宁,2020-02-07,38,7,0,,NA,
山东,烟台,2020-02-07,34,2,0,,NA,
山东,威海,2020-02-07,32,5,0,,NA,
山东,潍坊,2020-02-07,29,0,0,,NA,
山东,德州,2020-02-07,28,2,0,,NA,
山东,聊城,2020-02-07,27,1,0,,NA,
山东,泰安,2020-02-07,20,1,0,,NA,
山东,枣庄,2020-02-07,19,0,0,,NA,
山东,淄博,2020-02-07,15,1,0,,NA,
山东,日照,2020-02-07,14,2,0,,NA,
山东,菏泽,2020-02-07,14,2,0,,NA,
山东,滨州,2020-02-07,11,4,0,,NA,
山东,山东,2020-02-06,379,31,0,,NA,
山东,青岛,2020-02-06,43,4,0,,NA,
山东,济南,2020-02-06,39,3,0,,NA,
山东,临沂,2020-02-06,35,3,0,,NA,
山东,济宁,2020-02-06,35,4,0,,NA,
山东,烟台,2020-02-06,31,2,0,,NA,
山东,威海,2020-02-06,30,5,0,,NA,
山东,潍坊,2020-02-06,27,0,0,,NA,
山东,德州,2020-02-06,27,2,0,,NA,
山东,聊城,2020-02-06,20,0,0,,NA,
山东,泰安,2020-02-06,20,1,0,,NA,
山东,枣庄,2020-02-06,19,0,0,,NA,
山东,淄博,2020-02-06,15,0,0,,NA,
山东,日照,2020-02-06,14,2,0,,NA,
山东,菏泽,2020-02-06,13,2,0,,NA,
山东,滨州,2020-02-06,11,3,0,,NA,
山东,山东,2020-02-05,343,18,0,45,NA,5
山东,济南,2020-02-05,33,0,0,4,NA,0
山东,青岛,2020-02-05,41,3,0,7,NA,0
山东,淄博,2020-02-05,14,0,0,0,NA,0
山东,枣庄,2020-02-05,17,0,0,0,NA,0
山东,烟台,2020-02-05,29,0,0,3,NA,0
山东,潍坊,2020-02-05,21,0,0,5,NA,0
山东,济宁,2020-02-05,32,3,0,9,NA,0
山东,泰安,2020-02-05,18,1,0,4,NA,0
山东,威海,2020-02-05,28,5,0,1,NA,3
山东,日照,2020-02-05,14,0,0,0,NA,0
山东,临沂,2020-02-05,32,1,0,2,NA,0
山东,德州,2020-02-05,26,1,0,7,NA,0
山东,聊城,2020-02-05,15,0,0,3,NA,0
山东,滨州,2020-02-05,11,2,0,0,NA,0
山东,菏泽,2020-02-05,12,2,0,0,NA,2
山东,山东,2020-02-04,298,13,0,28,NA,6
山东,济南,2020-02-04,29,0,0,4,NA,0
山东,青岛,2020-02-04,34,3,0,5,NA,2
山东,淄博,2020-02-04,14,0,0,2,NA,0
山东,枣庄,2020-02-04,17,0,0,1,NA,0
山东,烟台,2020-02-04,26,0,0,0,NA,0
山东,潍坊,2020-02-04,16,0,0,3,NA,0
山东,济宁,2020-02-04,23,3,0,2,NA,2
山东,泰安,2020-02-04,14,1,0,2,NA,0
山东,威海,2020-02-04,27,2,0,2,NA,0
山东,日照,2020-02-04,14,0,0,0,NA,0
山东,临沂,2020-02-04,30,1,0,3,NA,0
山东,德州,2020-02-04,19,1,0,0,NA,0
山东,聊城,2020-02-04,12,0,0,2,NA,0
山东,滨州,2020-02-04,11,2,0,0,NA,2
山东,菏泽,2020-02-04,12,0,0,2,NA,0
