province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
山西,山西,2020-02-13,126,36,0,,NA,
山西,晋中,2020-02-13,35,11,0,,NA,
山西,太原,2020-02-13,18,3,0,,NA,
山西,运城,2020-02-13,19,8,0,,NA,
山西,大同,2020-02-13,12,4,0,,NA,
山西,长治,2020-02-13,8,0,0,,NA,
山西,忻州,2020-02-13,7,0,0,,NA,
山西,晋城,2020-02-13,8,2,0,,NA,
山西,朔州,2020-02-13,7,2,0,,NA,
山西,阳泉,2020-02-13,4,0,0,,NA,
山西,吕梁,2020-02-13,6,5,0,,NA,
山西,临汾,2020-02-13,2,1,0,,NA,
山西,山西,2020-02-12,126,33,0,,NA,
山西,晋中,2020-02-12,35,8,0,,NA,
山西,运城,2020-02-12,19,8,0,,NA,
山西,太原,2020-02-12,18,3,0,,NA,
山西,大同,2020-02-12,12,4,0,,NA,
山西,长治,2020-02-12,8,0,0,,NA,
山西,晋城,2020-02-12,8,2,0,,NA,
山西,朔州,2020-02-12,7,2,0,,NA,
山西,忻州,2020-02-12,7,0,0,,NA,
山西,吕梁,2020-02-12,6,5,0,,NA,
山西,阳泉,2020-02-12,4,0,0,,NA,
山西,临汾,2020-02-12,2,1,0,,NA,
山西,山西,2020-02-11,124,30,0,,NA,
山西,晋中,2020-02-11,34,8,0,,NA,
山西,运城,2020-02-11,19,6,0,,NA,
山西,太原,2020-02-11,18,3,0,,NA,
山西,大同,2020-02-11,11,3,0,,NA,
山西,长治,2020-02-11,8,0,0,,NA,
山西,晋城,2020-02-11,8,2,0,,NA,
山西,朔州,2020-02-11,7,2,0,,NA,
山西,忻州,2020-02-11,7,0,0,,NA,
山西,吕梁,2020-02-11,6,5,0,,NA,
山西,阳泉,2020-02-11,4,0,0,,NA,
山西,临汾,2020-02-11,2,1,0,,NA,
山西,山西,2020-02-10,122,26,0,,NA,
山西,晋中,2020-02-10,33,8,0,,NA,
山西,运城,2020-02-10,19,4,0,,NA,
山西,太原,2020-02-10,18,3,0,,NA,
山西,大同,2020-02-10,11,3,0,,NA,
山西,晋城,2020-02-10,8,2,0,,NA,
