province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
广东,广东,2020-02-13,1261,334,2,,NA,
广东,深圳,2020-02-13,400,94,0,,NA,
广东,广州,2020-02-13,328,93,0,,NA,
广东,东莞,2020-02-13,73,7,0,,NA,
广东,珠海,2020-02-13,91,27,0,,NA,
广东,佛山,2020-02-13,82,18,0,,NA,
广东,中山,2020-02-13,64,22,0,,NA,
广东,惠州,2020-02-13,56,14,0,,NA,
广东,江门,2020-02-13,22,4,0,,NA,
广东,汕头,2020-02-13,25,8,0,,NA,
广东,湛江,2020-02-13,22,11,0,,NA,
广东,茂名,2020-02-13,13,2,0,,NA,
广东,肇庆,2020-02-13,17,7,1,,NA,
广东,阳江,2020-02-13,13,5,0,,NA,
广东,梅州,2020-02-13,14,7,0,,NA,
广东,清远,2020-02-13,12,5,0,,NA,
广东,韶关,2020-02-13,8,3,0,,NA,
广东,揭阳,2020-02-13,8,3,0,,NA,
广东,潮州,2020-02-13,5,0,0,,NA,
广东,汕尾,2020-02-13,5,1,0,,NA,
广东,河源,2020-02-13,3,1,0,,NA,
广东,待明确,2020-02-13,0,2,1,,NA,
广东,广东,2020-02-12,1241,289,2,,NA,
广东,深圳,2020-02-12,391,82,0,,NA,
广东,广州,2020-02-12,327,71,0,,NA,
广东,珠海,2020-02-12,89,21,0,,NA,
广东,佛山,2020-02-12,81,17,0,,NA,
广东,东莞,2020-02-12,70,7,0,,NA,
广东,中山,2020-02-12,64,22,0,,NA,
广东,惠州,2020-02-12,55,7,0,,NA,
广东,汕头,2020-02-12,25,8,0,,NA,
广东,江门,2020-02-12,22,4,0,,NA,
广东,湛江,2020-02-12,21,9,0,,NA,
广东,肇庆,2020-02-12,16,7,1,,NA,
广东,阳江,2020-02-12,13,5,0,,NA,
广东,梅州,2020-02-12,13,5,0,,NA,
广东,茂名,2020-02-12,13,2,0,,NA,
广东,清远,2020-02-12,12,5,0,,NA,
广东,韶关,2020-02-12,8,3,0,,NA,
广东,揭阳,2020-02-12,8,3,0,,NA,
广东,汕尾,2020-02-12,5,1,0,,NA,
广东,潮州,2020-02-12,5,0,0,,NA,
广东,河源,2020-02-12,3,1,0,,NA,
广东,待明确,2020-02-12,0,9,1,,NA,
广东,广东,2020-02-11,1219,241,1,,NA,
广东,深圳,2020-02-11,386,66,0,,NA,
广东,广州,2020-02-11,323,49,0,,NA,
广东,珠海,2020-02-11,87,4,0,,NA,
广东,佛山,2020-02-11,78,15,0,,NA,
广东,东莞,2020-02-11,67,7,0,,NA,
广东,中山,2020-02-11,62,16,0,,NA,
广东,惠州,2020-02-11,54,4,0,,NA,
广东,汕头,2020-02-11,25,6,0,,NA,
广东,湛江,2020-02-11,21,9,0,,NA,
广东,江门,2020-02-11,21,4,0,,NA,
广东,肇庆,2020-02-11,16,7,1,,NA,
广东,阳江,2020-02-11,13,1,0,,NA,
广东,梅州,2020-02-11,13,4,0,,NA,
广东,茂名,2020-02-11,13,1,0,,NA,
广东,清远,2020-02-11,12,5,0,,NA,
广东,揭阳,2020-02-11,8,3,0,,NA,
广东,韶关,2020-02-11,7,3,0,,NA,
广东,汕尾,2020-02-11,5,1,0,,NA,
广东,潮州,2020-02-11,5,0,0,,NA,
广东,河源,2020-02-11,3,1,0,,NA,
广东,待明确,2020-02-11,0,35,0,,NA,
广东,广东,2020-02-10,1177,192,1,,NA,
广东,深圳,2020-02-10,375,56,0,,NA,
广东,广州,2020-02-10,317,49,0,,NA,
广东,珠海,2020-02-10,86,4,0,,NA,
广东,佛山,2020-02-10,70,4,0,,NA,
广东,东莞,2020-02-10,62,4,0,,NA,
广东,中山,2020-02-10,58,16,0,,NA,
广东,惠州,2020-02-10,53,4,0,,NA,
广东,汕头,2020-02-10,25,6,0,,NA,
广东,湛江,2020-02-10,21,7,0,,NA,
广东,江门,2020-02-10,20,4,0,,NA,
广东,肇庆,2020-02-10,15,4,1,,NA,
广东,阳江,2020-02-10,13,1,0,,NA,
广东,梅州,2020-02-10,13,4,0,,NA,
广东,茂名,2020-02-10,11,1,0,,NA,
广东,清远,2020-02-10,10,5,0,,NA,
广东,揭阳,2020-02-10,8,3,0,,NA,
广东,韶关,2020-02-10,7,3,0,,NA,
广东,汕尾,2020-02-10,5,1,0,,NA,
广东,潮州,2020-02-10,5,0,0,,NA,
广东,河源,2020-02-10,3,1,0,,NA,
广东,待明确,2020-02-10,0,15,0,,NA,
广东,广东,2020-02-09,1151,147,1,,NA,
广东,深圳,2020-02-09,368,46,0,,NA,
广东,广州,2020-02-09,313,42,0,,NA,
广东,珠海,2020-02-09,85,4,0,,NA,
广东,佛山,2020-02-09,68,4,0,,NA,
广东,东莞,2020-02-09,60,3,0,,NA,
广东,中山,2020-02-09,56,14,0,,NA,
广东,惠州,2020-02-09,50,1,0,,NA,
广东,汕头,2020-02-09,25,5,0,,NA,
广东,湛江,2020-02-09,21,6,0,,NA,
广东,江门,2020-02-09,19,1,0,,NA,
广东,肇庆,2020-02-09,14,3,1,,NA,
广东,阳江,2020-02-09,13,1,0,,NA,
广东,梅州,2020-02-09,13,4,0,,NA,
广东,清远,2020-02-09,10,5,0,,NA,
