province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
广西,广西,2020-02-13,226,35,2,,NA,
广西,南宁,2020-02-13,47,10,0,,NA,
广西,北海,2020-02-13,40,4,1,,NA,
广西,桂林,2020-02-13,31,5,0,,NA,
广西,河池,2020-02-13,21,0,1,,NA,
广西,防城港,2020-02-13,17,1,0,,NA,
广西,柳州,2020-02-13,22,7,0,,NA,
广西,来宾,2020-02-13,11,0,0,,NA,
广西,玉林,2020-02-13,9,1,0,,NA,
广西,钦州,2020-02-13,8,0,0,,NA,
广西,贵港,2020-02-13,8,2,0,,NA,
广西,贺州,2020-02-13,4,0,0,,NA,
广西,百色,2020-02-13,3,0,0,,NA,
广西,梧州,2020-02-13,5,5,0,,NA,
广西,广西,2020-02-12,222,33,2,,NA,
广西,南宁,2020-02-12,44,10,0,,NA,
广西,北海,2020-02-12,39,4,1,,NA,
广西,桂林,2020-02-12,31,5,0,,NA,
广西,柳州,2020-02-12,22,6,0,,NA,
广西,河池,2020-02-12,21,0,1,,NA,
广西,防城港,2020-02-12,17,1,0,,NA,
广西,来宾,2020-02-12,11,0,0,,NA,
广西,玉林,2020-02-12,9,1,0,,NA,
广西,钦州,2020-02-12,8,0,0,,NA,
广西,贵港,2020-02-12,8,0,0,,NA,
广西,梧州,2020-02-12,5,5,0,,NA,
广西,贺州,2020-02-12,4,0,0,,NA,
广西,百色,2020-02-12,3,0,0,,NA,
广西,待明确,2020-02-12,0,1,0,,NA,
广西,广西,2020-02-11,222,31,1,,NA,
广西,南宁,2020-02-11,44,8,0,,NA,
广西,北海,2020-02-11,39,4,0,,NA,
广西,桂林,2020-02-11,31,5,0,,NA,
广西,柳州,2020-02-11,22,6,0,,NA,
广西,河池,2020-02-11,21,0,1,,NA,
广西,防城港,2020-02-11,17,1,0,,NA,
广西,来宾,2020-02-11,11,0,0,,NA,
广西,玉林,2020-02-11,9,1,0,,NA,
广西,钦州,2020-02-11,8,0,0,,NA,
广西,贵港,2020-02-11,8,0,0,,NA,
广西,梧州,2020-02-11,5,5,0,,NA,
广西,贺州,2020-02-11,4,0,0,,NA,
广西,百色,2020-02-11,3,0,0,,NA,
广西,待明确,2020-02-11,0,1,0,,NA,
广西,广西,2020-02-10,215,30,1,,NA,
广西,南宁,2020-02-10,41,8,0,,NA,
广西,北海,2020-02-10,36,3,0,,NA,
广西,桂林,2020-02-10,30,5,0,,NA,
广西,柳州,2020-02-10,22,3,0,,NA,
广西,河池,2020-02-10,21,0,1,,NA,
广西,防城港,2020-02-10,17,1,0,,NA,
广西,来宾,2020-02-10,11,0,0,,NA,
广西,玉林,2020-02-10,9,1,0,,NA,
广西,钦州,2020-02-10,8,0,0,,NA,
广西,贵港,2020-02-10,8,0,0,,NA,
广西,梧州,2020-02-10,5,3,0,,NA,
广西,贺州,2020-02-10,4,0,0,,NA,
广西,百色,2020-02-10,3,0,0,,NA,
广西,待明确,2020-02-10,0,6,0,,NA,
广西,广西,2020-02-09,210,18,1,,NA,
广西,南宁,2020-02-09,37,2,0,,NA,
广西,北海,2020-02-09,35,3,0,,NA,
广西,桂林,2020-02-09,30,5,0,,NA,
广西,柳州,2020-02-09,22,3,0,,NA,
广西,河池,2020-02-09,21,0,1,,NA,
广西,防城港,2020-02-09,17,1,0,,NA,
广西,来宾,2020-02-09,11,0,0,,NA,
广西,玉林,2020-02-09,9,1,0,,NA,
广西,钦州,2020-02-09,8,0,0,,NA,
广西,贵港,2020-02-09,8,0,0,,NA,
广西,梧州,2020-02-09,5,3,0,,NA,
广西,贺州,2020-02-09,4,0,0,,NA,
广西,百色,2020-02-09,3,0,0,,NA,
广西,广西,2020-02-08,195,18,1,,NA,
广西,南宁,2020-02-08,35,2,0,,NA,
广西,北海,2020-02-08,33,3,0,,NA,
广西,桂林,2020-02-08,29,5,0,,NA,
广西,柳州,2020-02-08,20,3,0,,NA,
广西,河池,2020-02-08,19,0,1,,NA,
广西,防城港,2020-02-08,16,1,0,,NA,
广西,玉林,2020-02-08,9,1,0,,NA,
广西,钦州,2020-02-08,8,0,0,,NA,
广西,贵港,2020-02-08,7,0,0,,NA,
广西,来宾,2020-02-08,7,0,0,,NA,
广西,梧州,2020-02-08,5,3,0,,NA,
广西,贺州,2020-02-08,4,0,0,,NA,
广西,百色,2020-02-08,3,0,0,,NA,
广西,广西,2020-02-07,183,17,0,,NA,
广西,南宁,2020-02-07,32,0,0,,NA,
广西,北海,2020-02-07,32,2,0,,NA,
广西,桂林,2020-02-07,29,5,0,,NA,
广西,柳州,2020-02-07,20,3,0,,NA,
广西,防城港,2020-02-07,16,1,0,,NA,
广西,河池,2020-02-07,15,0,0,,NA,
广西,玉林,2020-02-07,9,1,0,,NA,
广西,钦州,2020-02-07,8,0,0,,NA,
广西,贵港,2020-02-07,7,0,0,,NA,
广西,梧州,2020-02-07,5,2,0,,NA,
广西,贺州,2020-02-07,4,0,0,,NA,
广西,百色,2020-02-07,3,0,0,,NA,
广西,来宾,2020-02-07,3,0,0,,NA,
广西,未知,2020-02-07,0,3,0,,NA,
广西,广西,2020-02-06,172,17,0,,NA,
广西,南宁,2020-02-06,31,0,0,,NA,
广西,北海,2020-02-06,31,2,0,,NA,
广西,桂林,2020-02-06,28,5,0,,NA,
广西,柳州,2020-02-06,20,3,0,,NA,
广西,防城港,2020-02-06,15,1,0,,NA,
广西,河池,2020-02-06,11,0,0,,NA,
广西,玉林,2020-02-06,8,1,0,,NA,
广西,贵港,2020-02-06,7,0,0,,NA,
广西,钦州,2020-02-06,7,0,0,,NA,
广西,梧州,2020-02-06,5,2,0,,NA,
广西,贺州,2020-02-06,4,0,0,,NA,
广西,百色,2020-02-06,3,0,0,,NA,
广西,来宾,2020-02-06,2,0,0,,NA,
广西,待明确,2020-02-06,0,3,0,,NA,
广西,广西,2020-02-05,168,14,0,18,0,4
广西,南宁,2020-02-05,30,0,0,2,NA,0
广西,柳州,2020-02-05,20,3,0,3,NA,2
广西,桂林,2020-02-05,27,5,0,1,NA,1
广西,梧州,2020-02-05,5,2,0,0,NA,0
广西,北海,2020-02-05,31,2,0,2,NA,0
广西,防城港,2020-02-05,15,1,0,2,NA,0
广西,钦州,2020-02-05,7,0,0,3,NA,0
广西,贵港,2020-02-05,7,0,0,2,NA,0
广西,玉林,2020-02-05,8,1,0,0,NA,1
广西,百色,2020-02-05,2,0,0,0,NA,0
广西,贺州,2020-02-05,4,0,0,0,NA,0
广西,河池,2020-02-05,11,0,0,2,NA,0
广西,来宾,2020-02-05,1,0,0,1,NA,0
广西,广西,2020-02-04,150,10,0,11,NA,3
广西,南宁,2020-02-04,28,0,0,1,NA,
广西,柳州,2020-02-04,17,1,0,2,NA,
广西,桂林,2020-02-04,26,4,0,2,NA,
广西,梧州,2020-02-04,5,2,0,0,NA,
广西,北海,2020-02-04,29,2,0,2,NA,
广西,防城港,2020-02-04,13,1,0,2,NA,
广西,钦州,2020-02-04,4,0,0,1,NA,
广西,贵港,2020-02-04,5,0,0,0,NA,
广西,玉林,2020-02-04,8,0,0,0,NA,
广西,百色,2020-02-04,2,0,0,0,NA,
广西,贺州,2020-02-04,4,0,0,0,NA,
广西,河池,2020-02-04,9,0,0,1,NA,
广西,广西,2020-02-03,139,7,0,12,NA,
广西,南宁,2020-02-03,27,0,0,5,NA,
广西,柳州,2020-02-03,15,0,0,1,NA,
广西,桂林,2020-02-03,24,4,0,0,NA,
广西,梧州,2020-02-03,5,2,0,0,NA,
广西,北海,2020-02-03,27,0,0,1,NA,
广西,防城港,2020-02-03,11,1,0,2,NA,
广西,钦州,2020-02-03,3,0,0,1,NA,
广西,贵港,2020-02-03,5,0,0,0,NA,
广西,玉林,2020-02-03,8,0,0,0,NA,
广西,百色,2020-02-03,2,0,0,0,NA,
广西,贺州,2020-02-03,4,0,0,0,NA,
广西,河池,2020-02-03,8,0,0,2,NA,
广西,广西,2020-02-02,127,2,0,16,NA,
广西,南宁,2020-02-02,22,0,0,6,NA,
广西,柳州,2020-02-02,14,0,0,2,NA,
广西,桂林,2020-02-02,24,0,0,1,NA,
广西,梧州,2020-02-02,5,1,0,0,NA,
广西,北海,2020-02-02,26,0,0,3,NA,
广西,防城港,2020-02-02,9,1,0,1,NA,
广西,钦州,2020-02-02,2,0,0,0,NA,
广西,贵港,2020-02-02,5,0,0,1,NA,
广西,玉林,2020-02-02,8,0,0,1,NA,
广西,百色,2020-02-02,2,0,0,0,NA,
广西,贺州,2020-02-02,4,0,0,1,NA,
广西,河池,2020-02-02,6,0,0,0,NA,
广西,广西,2020-02-01,111,2,0,11,NA,
广西,南宁,2020-02-01,16,0,0,0,NA,
广西,柳州,2020-02-01,12,0,0,0,NA,
广西,桂林,2020-02-01,23,0,0,2,NA,
广西,梧州,2020-02-01,5,1,0,0,NA,
广西,北海,2020-02-01,23,0,0,0,NA,
广西,防城港,2020-02-01,8,1,0,0,NA,
广西,钦州,2020-02-01,2,0,0,1,NA,
广西,贵港,2020-02-01,4,0,0,4,NA,
广西,玉林,2020-02-01,7,0,0,2,NA,
广西,百色,2020-02-01,2,0,0,0,NA,
广西,贺州,2020-02-01,3,0,0,2,NA,
广西,河池,2020-02-01,6,0,0,0,NA,
广西,广西,2020-01-31,100,2,0,13,NA,
广西,南宁,2020-01-31,16,0,0,0,NA,
广西,柳州,2020-01-31,12,0,0,1,NA,
广西,桂林,2020-01-31,21,0,0,3,NA,
广西,梧州,2020-01-31,5,1,0,1,NA,
广西,北海,2020-01-31,23,0,0,6,NA,
广西,防城港,2020-01-31,8,1,0,1,NA,
广西,钦州,2020-01-31,1,0,0,0,NA,
广西,玉林,2020-01-31,5,0,0,1,NA,
广西,百色,2020-01-31,2,0,0,0,NA,
广西,河池,2020-01-31,6,0,0,0,NA,
广西,贺州,2020-01-31,1,0,0,0,NA,
广西,广西,2020-01-30,87,2,0,9,NA,
广西,南宁,2020-01-30,16,0,0,1,NA,
广西,柳州,2020-01-30,11,0,0,1,NA,
广西,桂林,2020-01-30,18,0,0,0,NA,
广西,梧州,2020-01-30,4,1,0,0,NA,
广西,北海,2020-01-30,17,0,0,2,NA,
广西,防城港,2020-01-30,7,0,0,2,NA,
广西,玉林,2020-01-30,4,0,0,2,NA,
广西,百色,2020-01-30,2,0,0,0,NA,
广西,河池,2020-01-30,6,0,0,1,NA,
广西,钦州,2020-01-30,1,0,0,0,NA,
广西,贺州,2020-01-30,1,0,0,0,NA,
广西,广西,2020-01-29,78,2,0,20,NA,
广西,南宁,2020-01-29,15,0,0,8,NA,
广西,柳州,2020-01-29,10,0,0,4,NA,
广西,桂林,2020-01-29,18,0,0,2,NA,
广西,梧州,2020-01-29,4,1,0,0,NA,
广西,北海,2020-01-29,15,0,0,2,NA,
广西,防城港,2020-01-29,5,1,0,0,NA,
广西,玉林,2020-01-29,2,0,0,0,NA,
广西,百色,2020-01-29,2,0,0,0,NA,
广西,河池,2020-01-29,5,0,0,2,NA,
广西,钦州,2020-01-29,1,0,0,1,NA,
广西,贺州,2020-01-29,1,0,0,1,NA,
广西,广西,2020-01-28,58,2,0,7,NA,2
广西,南宁,2020-01-28,7,0,0,2,NA,0
广西,柳州,2020-01-28,6,0,0,0,NA,0
广西,桂林,2020-01-28,16,0,0,1,NA,0
广西,梧州,2020-01-28,4,1,0,0,NA,1
广西,北海,2020-01-28,13,0,0,2,NA,0
广西,防城港,2020-01-28,5,1,0,2,NA,1
广西,玉林,2020-01-28,2,0,0,0,NA,0
广西,百色,2020-01-28,2,0,0,0,NA,0
广西,河池,2020-01-28,3,0,0,0,NA,0
广西,广西,2020-01-27,51,0,0,5,NA,
广西,南宁,2020-01-27,5,0,0,0,NA,
广西,柳州,2020-01-27,6,0,0,0,NA,
广西,桂林,2020-01-27,15,0,0,1,NA,
广西,梧州,2020-01-27,4,0,0,2,NA,
广西,北海,2020-01-27,11,0,0,2,NA,
广西,防城港,2020-01-27,3,0,0,0,NA,
广西,玉林,2020-01-27,2,0,0,0,NA,
广西,百色,2020-01-27,2,0,0,0,NA,
广西,河池,2020-01-27,3,0,0,0,NA,
广西,广西,2020-01-26,46,0,0,13,NA,
广西,南宁,2020-01-26,5,0,0,4,NA,
广西,柳州,2020-01-26,6,0,0,2,NA,
