province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
新疆,新疆,2020-02-13,65,6,1,,NA,
新疆,乌鲁木齐,2020-02-13,23,2,0,,NA,
新疆,伊犁,2020-02-13,14,1,0,,NA,
新疆,第四师,2020-02-13,10,0,0,,NA,
新疆,第九师,2020-02-13,4,0,0,,NA,
新疆,昌吉,2020-02-13,4,0,0,,NA,
新疆,巴音郭楞,2020-02-13,3,0,0,,NA,
新疆,第八师,2020-02-13,2,0,1,,NA,
新疆,第六师,2020-02-13,1,0,0,,NA,
新疆,第十二师,2020-02-13,1,0,0,,NA,
新疆,吐鲁番,2020-02-13,1,1,0,,NA,
新疆,第七师,2020-02-13,1,1,0,,NA,
新疆,阿克苏,2020-02-13,1,1,0,,NA,
新疆,新疆,2020-02-12,63,3,1,,NA,
新疆,乌鲁木齐,2020-02-12,21,2,0,,NA,
新疆,伊犁,2020-02-12,14,0,0,,NA,
新疆,第四师,2020-02-12,10,0,0,,NA,
新疆,第九师,2020-02-12,4,0,0,,NA,
新疆,昌吉,2020-02-12,4,0,0,,NA,
新疆,巴音郭楞,2020-02-12,3,0,0,,NA,
新疆,第八师,2020-02-12,2,0,1,,NA,
新疆,吐鲁番,2020-02-12,1,1,0,,NA,
新疆,第七师,2020-02-12,1,0,0,,NA,
新疆,阿克苏,2020-02-12,1,0,0,,NA,
新疆,第六师,2020-02-12,1,0,0,,NA,
新疆,第十二师,2020-02-12,1,0,0,,NA,
新疆,新疆,2020-02-11,59,3,0,,NA,
新疆,乌鲁木齐,2020-02-11,20,2,0,,NA,
新疆,伊犁,2020-02-11,12,0,0,,NA,
新疆,第四师,2020-02-11,9,0,0,,NA,
新疆,第九师,2020-02-11,4,0,0,,NA,
新疆,昌吉,2020-02-11,4,0,0,,NA,
新疆,巴音郭楞,2020-02-11,3,0,0,,NA,
新疆,第八师,2020-02-11,2,0,0,,NA,
新疆,吐鲁番,2020-02-11,1,1,0,,NA,
新疆,第七师,2020-02-11,1,0,0,,NA,
新疆,阿克苏,2020-02-11,1,0,0,,NA,
新疆,第六师,2020-02-11,1,0,0,,NA,
新疆,第十二师,2020-02-11,1,0,0,,NA,
新疆,新疆,2020-02-10,55,0,0,,NA,
新疆,乌鲁木齐,2020-02-10,20,0,0,,NA,
新疆,伊犁,2020-02-10,10,0,0,,NA,
新疆,第四师,2020-02-10,7,0,0,,NA,
新疆,第九师,2020-02-10,4,0,0,,NA,
新疆,昌吉,2020-02-10,4,0,0,,NA,
新疆,巴音郭楞,2020-02-10,3,0,0,,NA,
新疆,第八师,2020-02-10,2,0,0,,NA,
新疆,吐鲁番,2020-02-10,1,0,0,,NA,
新疆,第七师,2020-02-10,1,0,0,,NA,
新疆,阿克苏,2020-02-10,1,0,0,,NA,
新疆,第六师,2020-02-10,1,0,0,,NA,
新疆,第十二师,2020-02-10,1,0,0,,NA,
新疆,新疆,2020-02-09,49,0,0,,NA,
新疆,乌鲁木齐,2020-02-09,20,0,0,,NA,
新疆,伊犁,2020-02-09,10,0,0,,NA,
新疆,第九师,2020-02-09,4,0,0,,NA,
新疆,昌吉,2020-02-09,3,0,0,,NA,
新疆,巴音郭楞,2020-02-09,3,0,0,,NA,
新疆,第四师,2020-02-09,3,0,0,,NA,
新疆,吐鲁番,2020-02-09,1,0,0,,NA,
新疆,第七师,2020-02-09,1,0,0,,NA,
新疆,第八师,2020-02-09,1,0,0,,NA,
新疆,阿克苏,2020-02-09,1,0,0,,NA,
新疆,第六师,2020-02-09,1,0,0,,NA,
新疆,第十二师,2020-02-09,1,0,0,,NA,
新疆,新疆,2020-02-08,45,0,0,,NA,
新疆,乌鲁木齐,2020-02-08,20,0,0,,NA,
新疆,伊犁,2020-02-08,10,0,0,,NA,
新疆,第九师,2020-02-08,4,0,0,,NA,
新疆,巴音郭楞,2020-02-08,3,0,0,,NA,
新疆,昌吉,2020-02-08,2,0,0,,NA,
新疆,吐鲁番,2020-02-08,1,0,0,,NA,
