province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
江苏,江苏,2020-02-13,593,141,0,,NA,
江苏,苏州,2020-02-13,85,17,0,,NA,
江苏,南京,2020-02-13,91,26,0,,NA,
江苏,徐州,2020-02-13,76,17,0,,NA,
江苏,淮安,2020-02-13,56,6,0,,NA,
江苏,无锡,2020-02-13,51,9,0,,NA,
江苏,连云港,2020-02-13,45,10,0,,NA,
江苏,常州,2020-02-13,43,11,0,,NA,
江苏,南通,2020-02-13,39,10,0,,NA,
江苏,泰州,2020-02-13,37,15,0,,NA,
江苏,盐城,2020-02-13,26,6,0,,NA,
江苏,扬州,2020-02-13,20,6,0,,NA,
江苏,镇江,2020-02-13,12,2,0,,NA,
江苏,宿迁,2020-02-13,12,6,0,,NA,
江苏,江苏,2020-02-12,570,131,0,,NA,
江苏,南京,2020-02-12,90,24,0,,NA,
江苏,苏州,2020-02-12,85,16,0,,NA,
江苏,徐州,2020-02-12,71,16,0,,NA,
江苏,淮安,2020-02-12,51,6,0,,NA,
江苏,无锡,2020-02-12,49,8,0,,NA,
江苏,连云港,2020-02-12,42,5,0,,NA,
江苏,南通,2020-02-12,38,10,0,,NA,
江苏,常州,2020-02-12,38,11,0,,NA,
江苏,泰州,2020-02-12,37,15,0,,NA,
江苏,盐城,2020-02-12,25,6,0,,NA,
江苏,扬州,2020-02-12,20,6,0,,NA,
江苏,镇江,2020-02-12,12,2,0,,NA,
江苏,宿迁,2020-02-12,12,6,0,,NA,
江苏,江苏,2020-02-11,543,106,0,,NA,
江苏,南京,2020-02-11,87,22,0,,NA,
江苏,苏州,2020-02-11,84,16,0,,NA,
江苏,徐州,2020-02-11,66,10,0,,NA,
江苏,无锡,2020-02-11,48,4,0,,NA,
江苏,淮安,2020-02-11,47,6,0,,NA,
江苏,连云港,2020-02-11,39,5,0,,NA,
江苏,南通,2020-02-11,37,11,0,,NA,
江苏,常州,2020-02-11,36,6,0,,NA,
江苏,泰州,2020-02-11,36,6,0,,NA,
江苏,盐城,2020-02-11,21,6,0,,NA,
江苏,扬州,2020-02-11,18,6,0,,NA,
江苏,镇江,2020-02-11,12,2,0,,NA,
江苏,宿迁,2020-02-11,12,6,0,,NA,
江苏,江苏,2020-02-10,515,84,0,,NA,
江苏,南京,2020-02-10,84,22,0,,NA,
江苏,苏州,2020-02-10,80,13,0,,NA,
江苏,徐州,2020-02-10,63,10,0,,NA,
江苏,淮安,2020-02-10,46,5,0,,NA,
江苏,无锡,2020-02-10,45,4,0,,NA,
江苏,连云港,2020-02-10,37,4,0,,NA,
江苏,南通,2020-02-10,35,5,0,,NA,
江苏,泰州,2020-02-10,34,5,0,,NA,
江苏,常州,2020-02-10,31,6,0,,NA,
江苏,扬州,2020-02-10,18,3,0,,NA,
江苏,盐城,2020-02-10,18,3,0,,NA,
江苏,镇江,2020-02-10,12,1,0,,NA,
江苏,宿迁,2020-02-10,12,3,0,,NA,
江苏,江苏,2020-02-09,492,72,0,,NA,
江苏,南京,2020-02-09,78,22,0,,NA,
江苏,苏州,2020-02-09,77,11,0,,NA,
江苏,徐州,2020-02-09,60,8,0,,NA,
江苏,淮安,2020-02-09,46,5,0,,NA,
江苏,无锡,2020-02-09,41,3,0,,NA,
江苏,连云港,2020-02-09,35,4,0,,NA,
江苏,南通,2020-02-09,33,2,0,,NA,
江苏,常州,2020-02-09,31,6,0,,NA,
江苏,泰州,2020-02-09,31,5,0,,NA,
江苏,扬州,2020-02-09,18,2,0,,NA,
江苏,盐城,2020-02-09,18,3,0,,NA,
江苏,镇江,2020-02-09,12,1,0,,NA,
江苏,宿迁,2020-02-09,12,0,0,,NA,
江苏,江苏,2020-02-08,468,58,0,,NA,
江苏,苏州,2020-02-08,75,11,0,,NA,
江苏,南京,2020-02-08,71,20,0,,NA,
江苏,徐州,2020-02-08,56,3,0,,NA,
江苏,淮安,2020-02-08,44,2,0,,NA,
江苏,无锡,2020-02-08,38,3,0,,NA,
江苏,连云港,2020-02-08,32,2,0,,NA,
江苏,南通,2020-02-08,32,2,0,,NA,
江苏,常州,2020-02-08,31,5,0,,NA,
江苏,泰州,2020-02-08,30,4,0,,NA,
