province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
江西,江西,2020-02-13,900,187,1,,NA,
江西,南昌,2020-02-13,218,68,0,,NA,
江西,上饶,2020-02-13,122,18,0,,NA,
江西,九江,2020-02-13,114,16,0,,NA,
江西,新余,2020-02-13,124,31,0,,NA,
江西,宜春,2020-02-13,101,18,0,,NA,
江西,赣州,2020-02-13,76,12,1,,NA,
江西,抚州,2020-02-13,71,14,0,,NA,
江西,萍乡,2020-02-13,31,2,0,,NA,
江西,鹰潭,2020-02-13,18,2,0,,NA,
江西,吉安,2020-02-13,20,5,0,,NA,
江西,景德镇,2020-02-13,5,1,0,,NA,
江西,江西,2020-02-12,872,170,1,,NA,
江西,南昌,2020-02-12,211,61,0,,NA,
江西,新余,2020-02-12,121,28,0,,NA,
江西,上饶,2020-02-12,119,17,0,,NA,
江西,九江,2020-02-12,109,14,0,,NA,
江西,宜春,2020-02-12,95,16,0,,NA,
江西,赣州,2020-02-12,76,10,1,,NA,
江西,抚州,2020-02-12,69,14,0,,NA,
江西,萍乡,2020-02-12,29,2,0,,NA,
江西,吉安,2020-02-12,20,5,0,,NA,
江西,鹰潭,2020-02-12,18,2,0,,NA,
江西,景德镇,2020-02-12,5,1,0,,NA,
江西,江西,2020-02-11,844,152,1,,NA,
江西,南昌,2020-02-11,205,53,0,,NA,
江西,新余,2020-02-11,117,26,0,,NA,
江西,上饶,2020-02-11,116,15,0,,NA,
江西,九江,2020-02-11,105,14,0,,NA,
江西,宜春,2020-02-11,88,16,0,,NA,
江西,赣州,2020-02-11,72,8,1,,NA,
江西,抚州,2020-02-11,68,11,0,,NA,
江西,萍乡,2020-02-11,29,2,0,,NA,
江西,吉安,2020-02-11,21,5,0,,NA,
江西,鹰潭,2020-02-11,18,1,0,,NA,
江西,景德镇,2020-02-11,5,1,0,,NA,
江西,江西,2020-02-10,804,127,1,,NA,
江西,南昌,2020-02-10,196,46,0,,NA,
江西,上饶,2020-02-10,111,13,0,,NA,
江西,新余,2020-02-10,110,22,0,,NA,
江西,九江,2020-02-10,101,13,0,,NA,
江西,宜春,2020-02-10,83,10,0,,NA,
江西,赣州,2020-02-10,72,7,1,,NA,
江西,抚州,2020-02-10,67,9,0,,NA,
江西,萍乡,2020-02-10,26,1,0,,NA,
江西,吉安,2020-02-10,19,4,0,,NA,
江西,鹰潭,2020-02-10,14,1,0,,NA,
江西,景德镇,2020-02-10,5,1,0,,NA,
江西,江西,2020-02-09,771,102,1,,NA,
江西,南昌,2020-02-09,190,35,0,,NA,
江西,新余,2020-02-09,105,35,0,,NA,
江西,上饶,2020-02-09,103,12,0,,NA,
江西,九江,2020-02-09,101,7,0,,NA,
江西,宜春,2020-02-09,77,10,0,,NA,
江西,赣州,2020-02-09,71,6,1,,NA,
江西,抚州,2020-02-09,64,9,0,,NA,
江西,萍乡,2020-02-09,25,1,0,,NA,
江西,吉安,2020-02-09,18,2,0,,NA,
江西,鹰潭,2020-02-09,12,1,0,,NA,
江西,景德镇,2020-02-09,5,1,0,,NA,
江西,江西,2020-02-08,740,72,0,,NA,
江西,南昌,2020-02-08,179,27,0,,NA,
江西,九江,2020-02-08,100,6,0,,NA,
江西,新余,2020-02-08,100,13,0,,NA,
江西,上饶,2020-02-08,98,7,0,,NA,
江西,宜春,2020-02-08,74,6,0,,NA,
江西,赣州,2020-02-08,69,2,0,,NA,
江西,抚州,2020-02-08,63,7,0,,NA,
江西,萍乡,2020-02-08,24,1,0,,NA,
江西,吉安,2020-02-08,17,1,0,,NA,
江西,鹰潭,2020-02-08,11,1,0,,NA,
江西,景德镇,2020-02-08,5,1,0,,NA,
江西,江西,2020-02-07,698,55,0,,NA,
江西,南昌,2020-02-07,168,20,0,,NA,
江西,九江,2020-02-07,97,5,0,,NA,
江西,新余,2020-02-07,95,8,0,,NA,
江西,上饶,2020-02-07,92,5,0,,NA,
江西,宜春,2020-02-07,67,5,0,,NA,
江西,赣州,2020-02-07,64,2,0,,NA,
江西,抚州,2020-02-07,59,7,0,,NA,
江西,萍乡,2020-02-07,24,1,0,,NA,
江西,吉安,2020-02-07,17,1,0,,NA,
江西,鹰潭,2020-02-07,11,0,0,,NA,
江西,景德镇,2020-02-07,4,1,0,,NA,
江西,江西,2020-02-06,661,45,0,,NA,
江西,南昌,2020-02-06,162,14,0,,NA,
江西,九江,2020-02-06,95,5,0,,NA,
江西,新余,2020-02-06,87,5,0,,NA,
江西,上饶,2020-02-06,86,5,0,,NA,
江西,宜春,2020-02-06,62,4,0,,NA,
江西,赣州,2020-02-06,59,2,0,,NA,
江西,抚州,2020-02-06,56,7,0,,NA,
江西,萍乡,2020-02-06,24,1,0,,NA,
江西,吉安,2020-02-06,16,1,0,,NA,
江西,鹰潭,2020-02-06,10,0,0,,NA,
江西,景德镇,2020-02-06,4,1,0,,NA,
江西,江西,2020-02-05,600,37,0,52,NA,10
江西,南昌,2020-02-05,149,10,0,15,NA,3
江西,九江,2020-02-05,92,3,0,6,NA,1
江西,新余,2020-02-05,78,5,0,9,NA,1
江西,上饶,2020-02-05,78,5,0,9,NA,0
江西,宜春,2020-02-05,54,4,0,6,NA,0
江西,赣州,2020-02-05,52,2,0,4,NA,1
江西,抚州,2020-02-05,46,5,0,2,NA,4
江西,萍乡,2020-02-05,23,1,0,1,NA,0
江西,吉安,2020-02-05,15,1,0,0,NA,0
江西,鹰潭,2020-02-05,9,0,0,0,NA,0
江西,景德镇,2020-02-05,4,1,0,0,NA,0
江西,江西,2020-02-04,548,27,0,72,NA,8
江西,南昌,2020-02-04,134,7,0,13,NA,3
江西,九江,2020-02-04,86,2,0,8,NA,0
江西,新余,2020-02-04,69,4,0,10,NA,1
江西,上饶,2020-02-04,69,5,0,19,NA,1
江西,赣州,2020-02-04,48,1,0,6,NA,0
江西,宜春,2020-02-04,48,4,0,3,NA,2
江西,抚州,2020-02-04,44,1,0,10,NA,1
江西,萍乡,2020-02-04,22,1,0,2,NA,0
江西,吉安,2020-02-04,15,1,0,0,NA,0
江西,鹰潭,2020-02-04,9,0,0,1,NA,0
江西,景德镇,2020-02-04,4,1,0,0,NA,0
江西,江西,2020-02-03,476,19,0,85,NA,1
江西,南昌,2020-02-03,121,4,0,18,NA,0
江西,九江,2020-02-03,78,2,0,14,NA,0
江西,新余,2020-02-03,59,3,0,9,NA,0
江西,上饶,2020-02-03,50,4,0,18,NA,0
江西,宜春,2020-02-03,45,2,0,9,NA,0
江西,赣州,2020-02-03,42,1,0,7,NA,0
江西,抚州,2020-02-03,34,0,0,5,NA,0
江西,萍乡,2020-02-03,20,1,0,2,NA,0
江西,吉安,2020-02-03,15,1,0,2,NA,0
江西,鹰潭,2020-02-03,8,0,0,0,NA,0
江西,景德镇,2020-02-03,4,1,0,1,NA,0
江西,江西,2020-02-02,391,18,0,59,NA,8
江西,南昌,2020-02-02,103,4,0,14,NA,3
江西,九江,2020-02-02,64,2,0,9,NA,2
江西,新余,2020-02-02,50,3,0,7,NA,0
江西,宜春,2020-02-02,36,1,0,5,NA,0
江西,赣州,2020-02-02,35,1,0,2,NA,0
江西,上饶,2020-02-02,32,4,0,13,NA,3
江西,抚州,2020-02-02,29,0,0,5,NA,0
江西,萍乡,2020-02-02,18,1,0,3,NA,0
江西,吉安,2020-02-02,13,1,0,1,NA,0
江西,鹰潭,2020-02-02,8,0,0,0,NA,0
江西,景德镇,2020-02-02,3,1,0,0,NA,0
江西,江西,2020-02-01,333,10,0,47,NA,1
江西,南昌,2020-02-01,89,1,0,6,NA,0
江西,九江,2020-02-01,55,0,0,12,NA,0
江西,新余,2020-02-01,43,3,0,3,NA,0
江西,赣州,2020-02-01,34,1,0,4,NA,0
江西,宜春,2020-02-01,31,1,0,2,NA,0
江西,抚州,2020-02-01,24,0,0,6,NA,0
江西,上饶,2020-02-01,19,1,0,3,NA,0
江西,萍乡,2020-02-01,15,1,0,6,NA,0
江西,吉安,2020-02-01,12,1,0,1,NA,0
江西,鹰潭,2020-02-01,8,0,0,4,NA,0
江西,景德镇,2020-02-01,3,1,0,0,NA,0
江西,江西,2020-01-31,286,9,0,47,NA,2
江西,南昌,2020-01-31,83,1,0,16,NA,
江西,九江,2020-01-31,43,0,0,2,NA,
江西,新余,2020-01-31,40,2,0,12,NA,
江西,赣州,2020-01-31,30,1,0,3,NA,
江西,宜春,2020-01-31,29,1,0,3,NA,
江西,抚州,2020-01-31,18,0,0,3,NA,
江西,上饶,2020-01-31,16,1,0,4,NA,
江西,吉安,2020-01-31,11,1,0,3,NA,
江西,萍乡,2020-01-31,9,1,0,1,NA,
江西,鹰潭,2020-01-31,4,0,0,0,NA,
江西,景德镇,2020-01-31,3,1,0,0,NA,
江西,江西,2020-01-30,240,7,0,78,NA,4
江西,南昌,2020-01-30,67,1,0,21,NA,1
江西,九江,2020-01-30,42,0,0,11,NA,0
江西,新余,2020-01-30,28,2,0,17,NA,1
江西,赣州,2020-01-30,27,0,0,6,NA,0
江西,宜春,2020-01-30,26,0,0,12,NA,0
江西,抚州,2020-01-30,15,0,0,2,NA,0
江西,上饶,2020-01-30,12,1,0,1,NA,1
江西,萍乡,2020-01-30,8,1,0,3,NA,0
江西,吉安,2020-01-30,8,1,0,3,NA,0
江西,鹰潭,2020-01-30,4,0,0,1,NA,0
江西,景德镇,2020-01-30,3,1,0,1,NA,1
江西,江西,2020-01-29,162,3,0,53,NA,
江西,南昌,2020-01-29,46,0,0,21,NA,
江西,九江,2020-01-29,31,0,0,15,NA,
江西,赣州,2020-01-29,21,0,0,5,NA,
江西,抚州,2020-01-29,13,0,0,4,NA,
江西,萍乡,2020-01-29,5,1,0,3,NA,
江西,鹰潭,2020-01-29,3,0,0,2,NA,
江西,上饶,2020-01-29,11,0,0,2,NA,
江西,吉安,2020-01-29,5,1,0,1,NA,
江西,宜春,2020-01-29,14,0,0,,NA,
江西,新余,2020-01-29,11,1,0,,NA,
江西,景德镇,2020-01-29,2,0,0,,NA,
江西,江西,2020-01-28,109,3,0,37,NA,1
江西,南昌,2020-01-28,25,0,0,8,NA,
江西,新余,2020-01-28,11,1,0,8,NA,1
江西,九江,2020-01-28,16,0,0,7,NA,
江西,赣州,2020-01-28,16,0,0,6,NA,
江西,宜春,2020-01-28,14,0,0,4,NA,
江西,上饶,2020-01-28,9,0,0,2,NA,
江西,吉安,2020-01-28,4,1,0,1,NA,
江西,抚州,2020-01-28,9,0,0,1,NA,
江西,景德镇,2020-01-28,2,0,0,,NA,
江西,萍乡,2020-01-28,2,1,0,,NA,
江西,鹰潭,2020-01-28,1,0,0,,NA,
江西,江西,2020-01-27,72,2,0,24,NA,2
江西,南昌,2020-01-27,17,0,0,9,NA,0
江西,赣州,2020-01-27,10,0,0,3,NA,0
江西,宜春,2020-01-27,10,0,0,4,NA,0
江西,九江,2020-01-27,9,0,0,5,NA,0
江西,抚州,2020-01-27,8,0,0,1,NA,0
江西,上饶,2020-01-27,7,0,0,1,NA,0
江西,新余,2020-01-27,3,0,0,0,NA,0
江西,吉安,2020-01-27,3,1,0,0,NA,1
江西,景德镇,2020-01-27,2,0,0,0,NA,0
江西,萍乡,2020-01-27,2,1,0,0,NA,1
江西,鹰潭,2020-01-27,1,0,0,1,NA,0
江西,江西,2020-01-26,48,0,0,12,NA,
江西,南昌,2020-01-26,8,0,0,4,NA,
江西,赣州,2020-01-26,7,0,0,0,NA,
江西,抚州,2020-01-26,7,0,0,1,NA,
江西,上饶,2020-01-26,6,0,0,0,NA,
江西,宜春,2020-01-26,6,0,0,1,NA,
江西,九江,2020-01-26,4,0,0,2,NA,
江西,新余,2020-01-26,3,0,0,2,NA,
江西,吉安,2020-01-26,3,0,0,1,NA,
江西,萍乡,2020-01-26,2,0,0,0,NA,
江西,景德镇,2020-01-26,2,0,0,1,NA,
江西,江西,2020-01-25,36,0,0,18,NA,
江西,赣州,2020-01-25,7,0,0,5,NA,
江西,上饶,2020-01-25,6,0,0,4,NA,
江西,抚州,2020-01-25,6,0,0,2,NA,
江西,宜春,2020-01-25,5,0,0,4,NA,
江西,南昌,2020-01-25,4,0,0,1,NA,
江西,九江,2020-01-25,2,0,0,0,NA,
江西,萍乡,2020-01-25,2,0,0,1,NA,
江西,吉安,2020-01-25,2,0,0,1,NA,
江西,景德镇,2020-01-25,1,0,0,0,NA,
江西,新余,2020-01-25,1,0,0,0,NA,
江西,江西,2020-01-24,18,0,0,11,NA,
江西,抚州,2020-01-24,4,0,0,3,NA,
江西,赣州,2020-01-24,2,0,0,2,NA,
江西,上饶,2020-01-24,2,0,0,2,NA,
江西,南昌,2020-01-24,3,0,0,1,NA,
江西,九江,2020-01-24,2,0,0,1,NA,
江西,景德镇,2020-01-24,1,0,0,1,NA,
江西,萍乡,2020-01-24,1,0,0,,NA,
江西,新余,2020-01-24,1,0,0,,NA,
江西,宜春,2020-01-24,1,0,0,1,NA,
江西,吉安,2020-01-24,1,0,0,,NA,
江西,江西,2020-01-23,7,0,0,4,NA,
江西,南昌,2020-01-23,2,0,0,1,NA,
江西,抚州,2020-01-23,1,0,0,0,NA,
江西,萍乡,2020-01-23,1,0,0,0,NA,
江西,九江,2020-01-23,1,0,0,1,NA,
江西,新余,2020-01-23,1,0,0,1,NA,
江西,吉安,2020-01-23,1,0,0,1,NA,
江西,江西,2020-01-22,3,0,0,1,NA,
江西,南昌,2020-01-22,1,0,0,1,NA,
江西,江西,2020-01-21,2,0,0,2,NA,
江西,抚州,2020-01-21,1,0,0,1,NA,
江西,萍乡,2020-01-21,1,0,0,1,NA,
