province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
河北,河北,2020-02-13,283,70,3,,NA,
河北,唐山,2020-02-13,43,4,0,,NA,
河北,沧州,2020-02-13,45,12,2,,NA,
河北,张家口,2020-02-13,31,4,0,,NA,
河北,邯郸,2020-02-13,31,7,0,,NA,
河北,石家庄,2020-02-13,27,5,0,,NA,
河北,保定,2020-02-13,31,11,0,,NA,
河北,廊坊,2020-02-13,29,12,0,,NA,
河北,邢台,2020-02-13,22,8,1,,NA,
河北,秦皇岛,2020-02-13,9,2,0,,NA,
河北,承德,2020-02-13,7,1,0,,NA,
河北,衡水,2020-02-13,8,4,0,,NA,
河北,河北,2020-02-12,265,56,3,,NA,
河北,沧州,2020-02-12,42,12,2,,NA,
河北,唐山,2020-02-12,35,3,0,,NA,
河北,保定,2020-02-12,31,11,0,,NA,
河北,邯郸,2020-02-12,31,5,0,,NA,
河北,廊坊,2020-02-12,29,8,0,,NA,
河北,石家庄,2020-02-12,27,4,0,,NA,
河北,张家口,2020-02-12,25,3,0,,NA,
河北,邢台,2020-02-12,21,5,1,,NA,
河北,秦皇岛,2020-02-12,9,2,0,,NA,
河北,衡水,2020-02-12,8,2,0,,NA,
河北,承德,2020-02-12,7,1,0,,NA,
河北,河北,2020-02-11,251,49,2,,NA,
河北,沧州,2020-02-11,37,12,1,,NA,
河北,唐山,2020-02-11,33,3,0,,NA,
河北,保定,2020-02-11,31,9,0,,NA,
河北,邯郸,2020-02-11,29,3,0,,NA,
河北,廊坊,2020-02-11,28,8,0,,NA,
河北,石家庄,2020-02-11,27,3,0,,NA,
河北,邢台,2020-02-11,21,5,1,,NA,
河北,张家口,2020-02-11,21,2,0,,NA,
河北,秦皇岛,2020-02-11,9,1,0,,NA,
河北,衡水,2020-02-11,8,2,0,,NA,
河北,承德,2020-02-11,7,1,0,,NA,
河北,河北,2020-02-10,239,41,2,,NA,
河北,沧州,2020-02-10,32,10,1,,NA,
河北,唐山,2020-02-10,31,2,0,,NA,
河北,保定,2020-02-10,30,9,0,,NA,
河北,邯郸,2020-02-10,27,3,0,,NA,
河北,石家庄,2020-02-10,27,3,0,,NA,
河北,廊坊,2020-02-10,26,5,0,,NA,
河北,邢台,2020-02-10,21,4,1,,NA,
河北,张家口,2020-02-10,21,2,0,,NA,
河北,秦皇岛,2020-02-10,9,0,0,,NA,
河北,衡水,2020-02-10,8,2,0,,NA,
河北,承德,2020-02-10,7,1,0,,NA,
河北,河北,2020-02-09,218,35,2,,NA,
河北,沧州,2020-02-09,28,8,1,,NA,
河北,唐山,2020-02-09,28,2,0,,NA,
河北,邯郸,2020-02-09,27,2,0,,NA,
河北,保定,2020-02-09,26,8,0,,NA,
河北,石家庄,2020-02-09,25,3,0,,NA,
河北,廊坊,2020-02-09,24,5,0,,NA,
河北,邢台,2020-02-09,21,4,1,,NA,
河北,张家口,2020-02-09,17,2,0,,NA,
河北,衡水,2020-02-09,8,0,0,,NA,
河北,承德,2020-02-09,7,1,0,,NA,
河北,秦皇岛,2020-02-09,7,0,0,,NA,
河北,河北,2020-02-08,206,30,2,,NA,
河北,沧州,2020-02-08,28,6,1,,NA,
河北,邯郸,2020-02-08,27,2,0,,NA,
河北,唐山,2020-02-08,27,2,0,,NA,
河北,石家庄,2020-02-08,24,3,0,,NA,
河北,廊坊,2020-02-08,22,4,0,,NA,
河北,保定,2020-02-08,21,8,0,,NA,
河北,邢台,2020-02-08,21,4,1,,NA,
河北,张家口,2020-02-08,14,1,0,,NA,
河北,衡水,2020-02-08,8,0,0,,NA,
河北,承德,2020-02-08,7,0,0,,NA,
河北,秦皇岛,2020-02-08,7,0,0,,NA,
河北,河北,2020-02-07,195,25,1,,NA,
河北,沧州,2020-02-07,28,4,1,,NA,
河北,邯郸,2020-02-07,26,2,0,,NA,
河北,石家庄,2020-02-07,24,3,0,,NA,
河北,唐山,2020-02-07,23,2,0,,NA,
河北,邢台,2020-02-07,21,1,0,,NA,
河北,廊坊,2020-02-07,20,4,0,,NA,
河北,保定,2020-02-07,18,8,0,,NA,
