province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
河南,河南,2020-02-13,1184,316,11,,NA,
河南,信阳,2020-02-13,243,49,0,,NA,
河南,南阳,2020-02-13,146,45,2,,NA,
河南,驻马店,2020-02-13,137,42,0,,NA,
河南,郑州,2020-02-13,142,54,0,,NA,
河南,商丘,2020-02-13,88,25,2,,NA,
河南,周口,2020-02-13,69,20,0,,NA,
河南,新乡,2020-02-13,55,7,2,,NA,
河南,平顶山,2020-02-13,57,19,1,,NA,
河南,安阳,2020-02-13,50,13,0,,NA,
河南,许昌,2020-02-13,37,6,0,,NA,
河南,漯河,2020-02-13,33,6,0,,NA,
河南,洛阳,2020-02-13,30,4,0,,NA,
河南,焦作,2020-02-13,29,5,1,,NA,
河南,开封,2020-02-13,25,6,0,,NA,
河南,鹤壁,2020-02-13,19,4,0,,NA,
河南,濮阳,2020-02-13,13,1,0,,NA,
河南,三门峡,2020-02-13,7,3,0,,NA,
河南,济源,2020-02-13,4,0,0,,NA,
河南,待明确,2020-02-13,0,7,3,,NA,
河南,河南,2020-02-12,1169,262,10,,NA,
河南,信阳,2020-02-12,240,38,0,,NA,
河南,南阳,2020-02-12,145,36,2,,NA,
河南,郑州,2020-02-12,141,47,0,,NA,
河南,驻马店,2020-02-12,134,31,0,,NA,
河南,商丘,2020-02-12,87,14,0,,NA,
河南,周口,2020-02-12,68,20,0,,NA,
河南,平顶山,2020-02-12,56,18,1,,NA,
河南,新乡,2020-02-12,54,7,1,,NA,
河南,安阳,2020-02-12,50,10,0,,NA,
河南,许昌,2020-02-12,34,3,0,,NA,
河南,漯河,2020-02-12,33,6,0,,NA,
河南,洛阳,2020-02-12,30,4,0,,NA,
河南,焦作,2020-02-12,29,5,1,,NA,
河南,开封,2020-02-12,25,3,0,,NA,
河南,鹤壁,2020-02-12,19,4,0,,NA,
河南,濮阳,2020-02-12,13,1,0,,NA,
河南,三门峡,2020-02-12,7,3,0,,NA,
河南,济源,2020-02-12,4,0,0,,NA,
河南,待明确,2020-02-12,0,12,5,,NA,
河南,河南,2020-02-11,1135,233,8,,NA,
河南,信阳,2020-02-11,231,38,0,,NA,
河南,南阳,2020-02-11,138,32,2,,NA,
河南,郑州,2020-02-11,137,42,0,,NA,
河南,驻马店,2020-02-11,128,31,0,,NA,
河南,商丘,2020-02-11,86,14,0,,NA,
河南,周口,2020-02-11,66,17,0,,NA,
河南,平顶山,2020-02-11,55,15,1,,NA,
河南,新乡,2020-02-11,53,7,1,,NA,
河南,安阳,2020-02-11,49,10,0,,NA,
河南,许昌,2020-02-11,34,2,0,,NA,
河南,漯河,2020-02-11,33,6,0,,NA,
河南,洛阳,2020-02-11,29,2,0,,NA,
河南,焦作,2020-02-11,28,3,1,,NA,
河南,开封,2020-02-11,25,2,0,,NA,
河南,鹤壁,2020-02-11,19,4,0,,NA,
河南,濮阳,2020-02-11,13,1,0,,NA,
河南,三门峡,2020-02-11,7,3,0,,NA,
河南,济源,2020-02-11,4,0,0,,NA,
河南,待明确,2020-02-11,0,4,3,,NA,
河南,河南,2020-02-10,1105,198,7,,NA,
河南,信阳,2020-02-10,228,28,0,,NA,
河南,南阳,2020-02-10,136,28,2,,NA,
河南,郑州,2020-02-10,132,36,0,,NA,
河南,驻马店,2020-02-10,126,25,0,,NA,
河南,商丘,2020-02-10,86,9,0,,NA,
河南,周口,2020-02-10,65,16,0,,NA,
河南,平顶山,2020-02-10,54,12,1,,NA,
河南,新乡,2020-02-10,48,7,1,,NA,
河南,安阳,2020-02-10,46,10,0,,NA,
河南,许昌,2020-02-10,32,2,0,,NA,
河南,漯河,2020-02-10,31,6,0,,NA,
河南,洛阳,2020-02-10,28,2,0,,NA,
河南,焦作,2020-02-10,28,1,1,,NA,
河南,开封,2020-02-10,25,1,0,,NA,
河南,鹤壁,2020-02-10,18,3,0,,NA,
