province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
浙江,浙江,2020-02-13,1155,367,0,,NA,
浙江,温州,2020-02-13,496,140,0,,NA,
浙江,宁波,2020-02-13,153,35,0,,NA,
浙江,杭州,2020-02-13,165,69,0,,NA,
浙江,台州,2020-02-13,144,49,0,,NA,
浙江,嘉兴,2020-02-13,42,8,0,,NA,
浙江,金华,2020-02-13,55,24,0,,NA,
浙江,绍兴,2020-02-13,42,16,0,,NA,
浙江,衢州,2020-02-13,21,8,0,,NA,
浙江,丽水,2020-02-13,17,9,0,,NA,
浙江,湖州,2020-02-13,10,4,0,,NA,
浙江,舟山,2020-02-13,10,5,0,,NA,
浙江,浙江,2020-02-12,1145,327,0,,NA,
浙江,温州,2020-02-12,490,120,0,,NA,
浙江,杭州,2020-02-12,162,63,0,,NA,
浙江,宁波,2020-02-12,153,31,0,,NA,
浙江,台州,2020-02-12,144,46,0,,NA,
浙江,金华,2020-02-12,55,23,0,,NA,
浙江,嘉兴,2020-02-12,42,6,0,,NA,
浙江,绍兴,2020-02-12,41,15,0,,NA,
浙江,衢州,2020-02-12,21,5,0,,NA,
浙江,丽水,2020-02-12,17,9,0,,NA,
浙江,舟山,2020-02-12,10,5,0,,NA,
浙江,湖州,2020-02-12,10,4,0,,NA,
浙江,浙江,2020-02-11,1131,279,0,,NA,
浙江,温州,2020-02-11,481,107,0,,NA,
浙江,杭州,2020-02-11,159,51,0,,NA,
浙江,宁波,2020-02-11,153,24,0,,NA,
浙江,台州,2020-02-11,143,38,0,,NA,
浙江,金华,2020-02-11,54,19,0,,NA,
浙江,嘉兴,2020-02-11,42,6,0,,NA,
浙江,绍兴,2020-02-11,41,13,0,,NA,
浙江,衢州,2020-02-11,21,5,0,,NA,
浙江,丽水,2020-02-11,17,7,0,,NA,
浙江,舟山,2020-02-11,10,5,0,,NA,
浙江,湖州,2020-02-11,10,4,0,,NA,
浙江,浙江,2020-02-10,1117,250,0,,NA,
浙江,温州,2020-02-10,474,99,0,,NA,
浙江,杭州,2020-02-10,157,47,0,,NA,
浙江,宁波,2020-02-10,151,18,0,,NA,
浙江,台州,2020-02-10,143,35,0,,NA,
浙江,金华,2020-02-10,53,16,0,,NA,
浙江,绍兴,2020-02-10,41,12,0,,NA,
浙江,嘉兴,2020-02-10,40,5,0,,NA,
浙江,衢州,2020-02-10,21,5,0,,NA,
浙江,丽水,2020-02-10,17,5,0,,NA,
浙江,湖州,2020-02-10,10,3,0,,NA,
浙江,舟山,2020-02-10,10,5,0,,NA,
浙江,浙江,2020-02-09,1092,201,0,,NA,
浙江,温州,2020-02-09,464,78,0,,NA,
浙江,杭州,2020-02-09,155,41,0,,NA,
浙江,宁波,2020-02-09,149,15,0,,NA,
浙江,台州,2020-02-09,141,27,0,,NA,
浙江,金华,2020-02-09,53,15,0,,NA,
浙江,绍兴,2020-02-09,41,8,0,,NA,
浙江,嘉兴,2020-02-09,40,3,0,,NA,
浙江,丽水,2020-02-09,17,5,0,,NA,
浙江,衢州,2020-02-09,15,3,0,,NA,
浙江,湖州,2020-02-09,10,1,0,,NA,
浙江,舟山,2020-02-09,7,5,0,,NA,
浙江,浙江,2020-02-08,1075,185,0,,NA,
浙江,温州,2020-02-08,448,70,0,,NA,
浙江,杭州,2020-02-08,165,41,0,,NA,
浙江,宁波,2020-02-08,146,13,0,,NA,
浙江,台州,2020-02-08,138,25,0,,NA,
浙江,金华,2020-02-08,53,13,0,,NA,
浙江,嘉兴,2020-02-08,38,1,0,,NA,
浙江,绍兴,2020-02-08,38,8,0,,NA,
浙江,丽水,2020-02-08,17,5,0,,NA,
浙江,衢州,2020-02-08,15,3,0,,NA,
浙江,湖州,2020-02-08,10,1,0,,NA,
浙江,舟山,2020-02-08,7,5,0,,NA,
浙江,浙江,2020-02-07,1048,127,0,,NA,
浙江,温州,2020-02-07,438,49,0,,NA,
浙江,杭州,2020-02-07,162,22,0,,NA,
浙江,宁波,2020-02-07,141,12,0,,NA,
浙江,台州,2020-02-07,133,17,0,,NA,
浙江,金华,2020-02-07,52,9,0,,NA,
浙江,嘉兴,2020-02-07,37,1,0,,NA,
浙江,绍兴,2020-02-07,36,5,0,,NA,
浙江,丽水,2020-02-07,17,3,0,,NA,
浙江,衢州,2020-02-07,15,3,0,,NA,
浙江,湖州,2020-02-07,10,1,0,,NA,
浙江,舟山,2020-02-07,7,5,0,,NA,
浙江,浙江,2020-02-06,1006,98,0,,NA,
浙江,温州,2020-02-06,421,36,0,,NA,
浙江,杭州,2020-02-06,156,15,0,,NA,
浙江,宁波,2020-02-06,136,9,0,,NA,
浙江,台州,2020-02-06,129,14,0,,NA,
浙江,金华,2020-02-06,48,9,0,,NA,
浙江,嘉兴,2020-02-06,35,1,0,,NA,
浙江,绍兴,2020-02-06,34,3,0,,NA,
浙江,丽水,2020-02-06,16,1,0,,NA,
浙江,衢州,2020-02-06,15,2,0,,NA,
浙江,湖州,2020-02-06,9,1,0,,NA,
浙江,舟山,2020-02-06,7,3,0,,NA,
浙江,待明确,2020-02-06,0,4,0,,NA,
浙江,浙江,2020-02-05,954,81,0,59,NA,18
浙江,杭州,2020-02-05,151,15,0,10,NA,8
浙江,宁波,2020-02-05,126,6,0,6,NA,2
浙江,温州,2020-02-05,396,28,0,32,NA,0
浙江,湖州,2020-02-05,9,1,0,0,NA,0
浙江,嘉兴,2020-02-05,30,0,0,3,NA,0
浙江,绍兴,2020-02-05,33,3,0,3,NA,0
浙江,金华,2020-02-05,47,8,0,3,NA,2
浙江,衢州,2020-02-05,15,2,0,0,NA,2
浙江,舟山,2020-02-05,7,3,0,0,NA,1
浙江,台州,2020-02-05,124,14,0,2,NA,3
浙江,丽水,2020-02-05,16,1,0,0,NA,0
浙江,浙江,2020-02-04,895,63,0,66,NA,15
浙江,杭州,2020-02-04,141,7,0,9,NA,1
浙江,宁波,2020-02-04,120,4,0,18,NA,3
浙江,温州,2020-02-04,364,28,0,24,NA,11
浙江,湖州,2020-02-04,9,1,0,0,NA,0
浙江,嘉兴,2020-02-04,27,0,0,4,NA,0
浙江,绍兴,2020-02-04,30,3,0,0,NA,0
浙江,金华,2020-02-04,44,6,0,4,NA,0
浙江,衢州,2020-02-04,15,0,0,0,NA,0
浙江,舟山,2020-02-04,7,2,0,0,NA,0
浙江,台州,2020-02-04,122,11,0,7,NA,0
浙江,丽水,2020-02-04,16,1,0,0,NA,0
浙江,浙江,2020-02-03,829,48,0,105,NA,12
浙江,杭州,2020-02-03,132,6,0,14,NA,4
浙江,宁波,2020-02-03,102,1,0,27,NA,0
浙江,温州,2020-02-03,340,17,0,49,NA,2
浙江,湖州,2020-02-03,9,1,0,0,NA,1
浙江,嘉兴,2020-02-03,23,0,0,4,NA,0
浙江,绍兴,2020-02-03,30,3,0,0,NA,1
浙江,金华,2020-02-03,40,6,0,4,NA,0
浙江,衢州,2020-02-03,15,0,0,1,NA,0
浙江,舟山,2020-02-03,7,2,0,0,NA,0
浙江,台州,2020-02-03,115,11,0,6,NA,4
浙江,丽水,2020-02-03,16,1,0,0,NA,0
浙江,浙江,2020-02-02,724,36,0,63,NA,13
浙江,杭州,2020-02-02,118,2,0,8,NA,0
浙江,宁波,2020-02-02,75,1,0,9,NA,0
浙江,温州,2020-02-02,291,15,0,26,NA,5
浙江,湖州,2020-02-02,9,0,0,3,NA,0
浙江,嘉兴,2020-02-02,19,0,0,0,NA,0
浙江,绍兴,2020-02-02,30,2,0,3,NA,1
浙江,金华,2020-02-02,36,6,0,2,NA,3
浙江,衢州,2020-02-02,14,0,0,1,NA,0
浙江,舟山,2020-02-02,7,2,0,0,NA,1
浙江,台州,2020-02-02,109,7,0,9,NA,3
浙江,丽水,2020-02-02,16,1,0,2,NA,0
浙江,浙江,2020-02-01,661,23,0,62,NA,8
浙江,杭州,2020-02-01,110,2,0,12,NA,2
