province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
海南,海南,2020-02-13,158,30,4,,NA,
海南,三亚,2020-02-13,54,14,1,,NA,
海南,海口,2020-02-13,30,6,0,,NA,
海南,儋州,2020-02-13,15,2,0,,NA,
海南,万宁,2020-02-13,13,1,0,,NA,
海南,昌江,2020-02-13,7,0,0,,NA,
海南,澄迈,2020-02-13,8,1,1,,NA,
海南,琼海,2020-02-13,6,0,1,,NA,
海南,临高,2020-02-13,6,2,0,,NA,
海南,陵水,2020-02-13,4,0,0,,NA,
海南,保亭,2020-02-13,3,0,0,,NA,
海南,东方,2020-02-13,3,1,0,,NA,
海南,文昌,2020-02-13,3,1,0,,NA,
海南,乐东,2020-02-13,2,0,0,,NA,
海南,定安,2020-02-13,3,1,1,,NA,
海南,琼中,2020-02-13,1,1,0,,NA,
海南,海南,2020-02-12,157,27,4,,NA,
海南,三亚,2020-02-12,54,11,1,,NA,
海南,海口,2020-02-12,29,10,0,,NA,
海南,儋州,2020-02-12,15,1,0,,NA,
海南,万宁,2020-02-12,13,1,0,,NA,
海南,澄迈,2020-02-12,8,1,1,,NA,
海南,昌江,2020-02-12,7,0,0,,NA,
海南,临高,2020-02-12,6,1,0,,NA,
海南,琼海,2020-02-12,6,0,1,,NA,
海南,陵水,2020-02-12,4,0,0,,NA,
海南,东方,2020-02-12,3,1,0,,NA,
海南,定安,2020-02-12,3,0,1,,NA,
海南,文昌,2020-02-12,3,0,0,,NA,
海南,保亭,2020-02-12,3,0,0,,NA,
海南,乐东,2020-02-12,2,0,0,,NA,
海南,琼中,2020-02-12,1,1,0,,NA,
海南,海南,2020-02-11,145,20,3,,NA,
海南,三亚,2020-02-11,46,11,1,,NA,
海南,海口,2020-02-11,29,5,0,,NA,
海南,万宁,2020-02-11,13,0,0,,NA,
海南,儋州,2020-02-11,11,1,0,,NA,
海南,澄迈,2020-02-11,8,1,1,,NA,
海南,临高,2020-02-11,6,1,0,,NA,
海南,琼海,2020-02-11,6,0,1,,NA,
海南,昌江,2020-02-11,7,0,0,,NA,
海南,陵水,2020-02-11,4,0,0,,NA,
海南,东方,2020-02-11,3,0,0,,NA,
海南,定安,2020-02-11,3,0,0,,NA,
海南,文昌,2020-02-11,3,0,0,,NA,
海南,保亭,2020-02-11,3,0,0,,NA,
海南,乐东,2020-02-11,2,0,0,,NA,
海南,琼中,2020-02-11,1,1,0,,NA,
海南,海南,2020-02-10,142,19,3,,NA,
海南,三亚,2020-02-10,45,11,1,,NA,
海南,海口,2020-02-10,29,4,0,,NA,
海南,万宁,2020-02-10,13,0,0,,NA,
海南,儋州,2020-02-10,11,1,0,,NA,
海南,澄迈,2020-02-10,7,1,1,,NA,
海南,临高,2020-02-10,6,1,0,,NA,
海南,琼海,2020-02-10,6,0,1,,NA,
海南,昌江,2020-02-10,6,0,0,,NA,
海南,陵水,2020-02-10,4,0,0,,NA,
海南,东方,2020-02-10,3,0,0,,NA,
海南,定安,2020-02-10,3,0,0,,NA,
海南,文昌,2020-02-10,3,0,0,,NA,
海南,保亭,2020-02-10,3,0,0,,NA,
海南,乐东,2020-02-10,2,0,0,,NA,
海南,琼中,2020-02-10,1,1,0,,NA,
海南,海南,2020-02-09,136,19,3,,NA,
海南,三亚,2020-02-09,41,11,1,,NA,
海南,海口,2020-02-09,28,4,0,,NA,
海南,万宁,2020-02-09,12,0,0,,NA,
海南,儋州,2020-02-09,11,1,0,,NA,
海南,澄迈,2020-02-09,7,1,1,,NA,
海南,临高,2020-02-09,6,1,0,,NA,
海南,琼海,2020-02-09,6,0,1,,NA,
海南,昌江,2020-02-09,6,0,0,,NA,
海南,陵水,2020-02-09,4,0,0,,NA,
海南,东方,2020-02-09,3,0,0,,NA,
海南,定安,2020-02-09,3,0,0,,NA,
海南,文昌,2020-02-09,3,0,0,,NA,
海南,保亭,2020-02-09,3,0,0,,NA,
海南,乐东,2020-02-09,2,0,0,,NA,
海南,琼中,2020-02-09,1,1,0,,NA,
海南,海南,2020-02-08,128,15,2,,NA,
海南,三亚,2020-02-08,40,10,1,,NA,
海南,海口,2020-02-08,23,2,0,,NA,
海南,万宁,2020-02-08,12,0,0,,NA,
海南,儋州,2020-02-08,11,1,0,,NA,
海南,澄迈,2020-02-08,7,1,1,,NA,
