province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
湖北,湖北,2020-02-13,51986,3900,1318,,NA,
湖北,武汉,2020-02-13,35991,2023,1016,,NA,
湖北,孝感,2020-02-13,3009,255,57,,NA,
湖北,黄冈,2020-02-13,2791,528,59,,NA,
湖北,荆州,2020-02-13,1447,163,27,,NA,
湖北,随州,2020-02-13,1206,72,16,,NA,
湖北,襄阳,2020-02-13,1111,73,16,,NA,
湖北,鄂州,2020-02-13,1125,116,32,,NA,
湖北,黄石,2020-02-13,943,137,11,,NA,
湖北,宜昌,2020-02-13,877,82,13,,NA,
湖北,荆门,2020-02-13,901,105,25,,NA,
湖北,咸宁,2020-02-13,732,99,8,,NA,
湖北,十堰,2020-02-13,586,89,2,,NA,
湖北,仙桃,2020-02-13,500,58,17,,NA,
湖北,天门,2020-02-13,416,21,10,,NA,
湖北,恩施,2020-02-13,237,60,4,,NA,
湖北,潜江,2020-02-13,104,11,5,,NA,
湖北,神农架,2020-02-13,10,8,0,,NA,
湖北,湖北,2020-02-12,48206,3441,1310,,NA,
湖北,武汉,2020-02-12,32994,1916,1036,,NA,
湖北,孝感,2020-02-12,2874,207,49,,NA,
湖北,黄冈,2020-02-12,2662,427,58,,NA,
湖北,荆州,2020-02-12,1431,101,23,,NA,
湖北,随州,2020-02-12,1160,62,14,,NA,
湖北,襄阳,2020-02-12,1101,66,13,,NA,
湖北,鄂州,2020-02-12,1065,95,30,,NA,
湖北,荆门,2020-02-12,927,92,24,,NA,
湖北,黄石,2020-02-12,911,113,9,,NA,
湖北,宜昌,2020-02-12,810,72,11,,NA,
湖北,十堰,2020-02-12,562,81,1,,NA,
湖北,咸宁,2020-02-12,534,84,7,,NA,
湖北,仙桃,2020-02-12,480,48,16,,NA,
湖北,天门,2020-02-12,362,13,10,,NA,
湖北,恩施,2020-02-12,229,48,4,,NA,
湖北,潜江,2020-02-12,94,8,5,,NA,
湖北,神农架,2020-02-12,10,8,0,,NA,
湖北,湖北,2020-02-11,33366,2639,1068,,NA,
湖北,武汉,2020-02-11,19558,1378,820,,NA,
湖北,孝感,2020-02-11,2751,179,45,,NA,
湖北,黄冈,2020-02-11,2398,338,54,,NA,
湖北,随州,2020-02-11,1129,51,12,,NA,
湖北,荆州,2020-02-11,1110,79,21,,NA,
湖北,襄阳,2020-02-11,1088,60,12,,NA,
湖北,黄石,2020-02-11,874,96,6,,NA,
湖北,鄂州,2020-02-11,861,72,28,,NA,
湖北,宜昌,2020-02-11,784,62,8,,NA,
湖北,荆门,2020-02-11,696,81,24,,NA,
湖北,十堰,2020-02-11,536,70,1,,NA,
湖北,咸宁,2020-02-11,525,65,6,,NA,
湖北,仙桃,2020-02-11,460,43,13,,NA,
湖北,天门,2020-02-11,293,12,10,,NA,
湖北,恩施,2020-02-11,203,38,3,,NA,
湖北,潜江,2020-02-11,90,8,5,,NA,
湖北,神农架,2020-02-11,10,7,0,,NA,
湖北,湖北,2020-02-10,31728,2222,974,,NA,
湖北,武汉,2020-02-10,18454,1207,748,,NA,
湖北,孝感,2020-02-10,2642,139,41,,NA,
湖北,黄冈,2020-02-10,2332,279,52,,NA,
湖北,随州,2020-02-10,1095,26,12,,NA,
湖北,荆州,2020-02-10,1075,55,17,,NA,
湖北,襄阳,2020-02-10,1063,49,12,,NA,
湖北,黄石,2020-02-10,835,82,5,,NA,
湖北,鄂州,2020-02-10,790,61,26,,NA,
湖北,宜昌,2020-02-10,772,52,8,,NA,
湖北,荆门,2020-02-10,656,69,21,,NA,
湖北,咸宁,2020-02-10,515,51,5,,NA,
湖北,十堰,2020-02-10,505,59,1,,NA,
湖北,仙桃,2020-02-10,438,41,11,,NA,
湖北,天门,2020-02-10,261,12,10,,NA,
湖北,恩施,2020-02-10,195,31,2,,NA,
湖北,潜江,2020-02-10,90,3,3,,NA,
湖北,神农架,2020-02-10,10,6,0,,NA,
湖北,湖北,2020-02-09,29631,1795,871,,NA,
湖北,武汉,2020-02-09,16902,1045,681,,NA,
湖北,孝感,2020-02-09,2541,81,33,,NA,
湖北,黄冈,2020-02-09,2252,189,45,,NA,
湖北,随州,2020-02-09,1049,23,10,,NA,
湖北,荆州,2020-02-09,1045,45,15,,NA,
湖北,襄阳,2020-02-09,1019,42,9,,NA,
湖北,黄石,2020-02-09,805,67,3,,NA,
湖北,宜昌,2020-02-09,749,43,8,,NA,
湖北,鄂州,2020-02-09,725,48,24,,NA,
湖北,荆门,2020-02-09,641,63,20,,NA,
湖北,咸宁,2020-02-09,507,44,4,,NA,
湖北,十堰,2020-02-09,481,46,0,,NA,
湖北,仙桃,2020-02-09,416,16,7,,NA,
湖北,天门,2020-02-09,217,10,10,,NA,
湖北,恩施,2020-02-09,187,24,0,,NA,
湖北,潜江,2020-02-09,85,3,2,,NA,
湖北,神农架,2020-02-09,10,6,0,,NA,
湖北,湖北,2020-02-08,27100,1440,780,,NA,
湖北,武汉,2020-02-08,14982,877,608,,NA,
湖北,孝感,2020-02-08,2436,45,29,,NA,
湖北,黄冈,2020-02-08,2141,137,43,,NA,
湖北,荆州,2020-02-08,997,34,13,,NA,
湖北,襄阳,2020-02-08,988,40,7,,NA,
湖北,随州,2020-02-08,984,23,9,,NA,
湖北,黄石,2020-02-08,760,54,2,,NA,
湖北,宜昌,2020-02-08,711,36,8,,NA,
湖北,荆门,2020-02-08,663,48,19,,NA,
湖北,鄂州,2020-02-08,639,42,21,,NA,
湖北,咸宁,2020-02-08,493,23,4,,NA,
湖北,十堰,2020-02-08,467,40,0,,NA,
湖北,仙桃,2020-02-08,379,16,5,,NA,
湖北,天门,2020-02-08,197,1,10,,NA,
湖北,恩施,2020-02-08,171,20,0,,NA,
湖北,潜江,2020-02-08,82,2,2,,NA,
湖北,神农架,2020-02-08,10,2,0,,NA,
湖北,湖北,2020-02-07,24953,1119,699,,NA,
湖北,武汉,2020-02-07,13603,698,545,,NA,
湖北,孝感,2020-02-07,2313,38,26,,NA,
湖北,黄冈,2020-02-07,2041,105,36,,NA,
湖北,随州,2020-02-07,953,23,9,,NA,
湖北,荆州,2020-02-07,941,30,11,,NA,
湖北,襄阳,2020-02-07,907,31,5,,NA,
湖北,黄石,2020-02-07,703,43,2,,NA,
湖北,宜昌,2020-02-07,633,24,8,,NA,
湖北,荆门,2020-02-07,588,36,18,,NA,
湖北,鄂州,2020-02-07,569,11,20,,NA,
湖北,咸宁,2020-02-07,476,16,2,,NA,
湖北,十堰,2020-02-07,438,33,0,,NA,
湖北,仙桃,2020-02-07,359,14,5,,NA,
湖北,天门,2020-02-07,179,1,10,,NA,
湖北,恩施,2020-02-07,160,13,0,,NA,
湖北,潜江,2020-02-07,80,1,2,,NA,
湖北,神农架,2020-02-07,10,2,0,,NA,
湖北,湖北,2020-02-06,22112,818,618,,NA,
湖北,武汉,2020-02-06,11618,535,478,,NA,
湖北,孝感,2020-02-06,2141,25,25,,NA,
湖北,黄冈,2020-02-06,1897,68,32,,NA,
湖北,随州,2020-02-06,915,9,9,,NA,
湖北,荆州,2020-02-06,885,23,10,,NA,
湖北,襄阳,2020-02-06,838,29,3,,NA,
湖北,黄石,2020-02-06,635,31,2,,NA,
湖北,宜昌,2020-02-06,610,11,7,,NA,
湖北,荆门,2020-02-06,553,24,17,,NA,
湖北,鄂州,2020-02-06,471,9,18,,NA,
湖北,咸宁,2020-02-06,443,6,1,,NA,
湖北,十堰,2020-02-06,395,24,0,,NA,
湖北,仙桃,2020-02-06,307,11,5,,NA,
湖北,天门,2020-02-06,163,1,10,,NA,
湖北,恩施,2020-02-06,157,10,0,,NA,
湖北,潜江,2020-02-06,74,0,1,,NA,
湖北,神农架,2020-02-06,10,2,0,,NA,
湖北,湖北,2020-02-05,19665,651,549,,NA,
湖北,武汉,2020-02-05,10117,432,414,,NA,
湖北,孝感,2020-02-05,1886,9,25,,NA,
湖北,黄冈,2020-02-05,1807,62,29,,NA,
