province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
湖南,湖南,2020-02-13,988,352,2,,NA,
湖南,长沙,2020-02-13,238,63,0,,NA,
湖南,岳阳,2020-02-13,149,44,1,,NA,
湖南,邵阳,2020-02-13,100,41,1,,NA,
湖南,株洲,2020-02-13,77,21,0,,NA,
湖南,常德,2020-02-13,78,26,0,,NA,
湖南,娄底,2020-02-13,73,25,0,,NA,
湖南,益阳,2020-02-13,59,22,0,,NA,
湖南,郴州,2020-02-13,39,15,0,,NA,
湖南,湘潭,2020-02-13,34,12,0,,NA,
湖南,衡阳,2020-02-13,46,25,0,,NA,
湖南,永州,2020-02-13,43,23,0,,NA,
湖南,怀化,2020-02-13,39,26,0,,NA,
湖南,湘西,2020-02-13,8,6,0,,NA,
湖南,张家界,2020-02-13,5,3,0,,NA,
湖南,湖南,2020-02-12,968,314,2,,NA,
湖南,长沙,2020-02-12,228,57,0,,NA,
湖南,岳阳,2020-02-12,148,42,1,,NA,
湖南,邵阳,2020-02-12,99,33,1,,NA,
湖南,常德,2020-02-12,77,26,0,,NA,
湖南,株洲,2020-02-12,75,14,0,,NA,
湖南,娄底,2020-02-12,72,22,0,,NA,
湖南,益阳,2020-02-12,59,22,0,,NA,
湖南,衡阳,2020-02-12,45,23,0,,NA,
湖南,永州,2020-02-12,43,18,0,,NA,
湖南,怀化,2020-02-12,39,21,0,,NA,
湖南,郴州,2020-02-12,38,15,0,,NA,
湖南,湘潭,2020-02-12,32,12,0,,NA,
湖南,湘西,2020-02-12,8,6,0,,NA,
湖南,张家界,2020-02-12,5,3,0,,NA,
湖南,湖南,2020-02-11,946,263,2,,NA,
湖南,长沙,2020-02-11,223,48,0,,NA,
湖南,岳阳,2020-02-11,146,24,1,,NA,
湖南,邵阳,2020-02-11,94,25,1,,NA,
湖南,常德,2020-02-11,75,18,0,,NA,
湖南,株洲,2020-02-11,71,12,0,,NA,
湖南,娄底,2020-02-11,69,18,0,,NA,
湖南,益阳,2020-02-11,58,22,0,,NA,
湖南,衡阳,2020-02-11,45,23,0,,NA,
湖南,永州,2020-02-11,43,18,0,,NA,
湖南,怀化,2020-02-11,39,21,0,,NA,
湖南,郴州,2020-02-11,38,14,0,,NA,
湖南,湘潭,2020-02-11,32,11,0,,NA,
湖南,湘西,2020-02-11,8,6,0,,NA,
湖南,张家界,2020-02-11,5,3,0,,NA,
湖南,湖南,2020-02-10,912,213,1,,NA,
湖南,长沙,2020-02-10,219,39,0,,NA,
湖南,岳阳,2020-02-10,134,21,1,,NA,
湖南,邵阳,2020-02-10,91,22,0,,NA,
湖南,常德,2020-02-10,73,15,0,,NA,
湖南,娄底,2020-02-10,69,12,0,,NA,
湖南,株洲,2020-02-10,68,11,0,,NA,
湖南,益阳,2020-02-10,54,16,0,,NA,
湖南,衡阳,2020-02-10,45,16,0,,NA,
湖南,永州,2020-02-10,42,13,0,,NA,
湖南,怀化,2020-02-10,39,15,0,,NA,
湖南,郴州,2020-02-10,33,13,0,,NA,
湖南,湘潭,2020-02-10,32,11,0,,NA,
湖南,湘西,2020-02-10,8,6,0,,NA,
湖南,张家界,2020-02-10,5,3,0,,NA,
湖南,湖南,2020-02-09,879,186,1,,NA,
湖南,长沙,2020-02-09,213,33,0,,NA,
湖南,岳阳,2020-02-09,124,17,1,,NA,
湖南,邵阳,2020-02-09,89,21,0,,NA,
湖南,常德,2020-02-09,72,15,0,,NA,
湖南,娄底,2020-02-09,66,8,0,,NA,
湖南,株洲,2020-02-09,61,10,0,,NA,
湖南,益阳,2020-02-09,53,15,0,,NA,
湖南,衡阳,2020-02-09,45,14,0,,NA,
湖南,永州,2020-02-09,41,13,0,,NA,
湖南,怀化,2020-02-09,39,15,0,,NA,
湖南,郴州,2020-02-09,32,8,0,,NA,
湖南,湘潭,2020-02-09,31,11,0,,NA,
湖南,湘西,2020-02-09,8,4,0,,NA,
湖南,张家界,2020-02-09,5,2,0,,NA,
湖南,湖南,2020-02-08,838,159,1,,NA,
湖南,长沙,2020-02-08,205,27,0,,NA,
湖南,岳阳,2020-02-08,115,10,1,,NA,
湖南,邵阳,2020-02-08,87,18,0,,NA,
湖南,常德,2020-02-08,66,15,0,,NA,
湖南,娄底,2020-02-08,64,8,0,,NA,
湖南,株洲,2020-02-08,58,9,0,,NA,
湖南,益阳,2020-02-08,46,10,0,,NA,
湖南,衡阳,2020-02-08,45,14,0,,NA,
湖南,永州,2020-02-08,40,10,0,,NA,
湖南,怀化,2020-02-08,39,15,0,,NA,
湖南,郴州,2020-02-08,32,8,0,,NA,
湖南,湘潭,2020-02-08,28,10,0,,NA,
湖南,湘西,2020-02-08,8,3,0,,NA,
湖南,张家界,2020-02-08,5,2,0,,NA,
湖南,湖南,2020-02-07,803,119,0,,NA,
湖南,长沙,2020-02-07,196,19,0,,NA,
湖南,岳阳,2020-02-07,111,6,0,,NA,
湖南,邵阳,2020-02-07,86,11,0,,NA,
湖南,常德,2020-02-07,66,14,0,,NA,
湖南,娄底,2020-02-07,59,4,0,,NA,
湖南,株洲,2020-02-07,48,8,0,,NA,
湖南,益阳,2020-02-07,44,6,0,,NA,
湖南,衡阳,2020-02-07,43,11,0,,NA,
湖南,永州,2020-02-07,40,10,0,,NA,
湖南,怀化,2020-02-07,38,14,0,,NA,
湖南,郴州,2020-02-07,31,6,0,,NA,
湖南,湘潭,2020-02-07,28,7,0,,NA,
湖南,湘西,2020-02-07,8,1,0,,NA,
湖南,张家界,2020-02-07,5,2,0,,NA,
湖南,湖南,2020-02-06,772,91,0,,NA,
湖南,长沙,2020-02-06,190,10,0,,NA,
湖南,岳阳,2020-02-06,107,4,0,,NA,
湖南,邵阳,2020-02-06,83,9,0,,NA,
湖南,常德,2020-02-06,64,14,0,,NA,
湖南,娄底,2020-02-06,53,4,0,,NA,
湖南,株洲,2020-02-06,46,7,0,,NA,
湖南,衡阳,2020-02-06,43,8,0,,NA,
湖南,益阳,2020-02-06,43,6,0,,NA,
湖南,永州,2020-02-06,38,8,0,,NA,
湖南,怀化,2020-02-06,38,7,0,,NA,
湖南,郴州,2020-02-06,29,4,0,,NA,
湖南,湘潭,2020-02-06,25,7,0,,NA,
湖南,湘西,2020-02-06,8,1,0,,NA,
湖南,张家界,2020-02-06,5,2,0,,NA,
湖南,湖南,2020-02-05,711,56,0,50,0,21
湖南,长沙,2020-02-05,179,8,0,15,NA,2
湖南,衡阳,2020-02-05,43,5,0,4,NA,0
湖南,株洲,2020-02-05,41,2,0,3,NA,0
湖南,湘潭,2020-02-05,24,5,0,1,NA,1
湖南,邵阳,2020-02-05,74,3,0,6,NA,1
湖南,岳阳,2020-02-05,93,2,0,4,NA,2
湖南,常德,2020-02-05,62,3,0,6,NA,0
湖南,张家界,2020-02-05,3,2,0,0,NA,2
湖南,益阳,2020-02-05,41,6,0,1,NA,5
湖南,郴州,2020-02-05,25,2,0,1,NA,1
湖南,永州,2020-02-05,32,8,0,2,NA,3
湖南,怀化,2020-02-05,36,6,0,1,NA,4
湖南,娄底,2020-02-05,51,3,0,6,NA,0
湖南,湘西,2020-02-05,7,1,0,0,NA,0
湖南,湖南,2020-02-04,661,35,0,68,0,13
湖南,长沙,2020-02-04,164,6,0,16,NA,4
湖南,衡阳,2020-02-04,39,5,0,4,NA,1
湖南,株洲,2020-02-04,38,2,0,4,NA,1
湖南,湘潭,2020-02-04,23,4,0,2,NA,1
湖南,邵阳,2020-02-04,68,2,0,13,NA,1
湖南,岳阳,2020-02-04,89,0,0,6,NA,0
湖南,常德,2020-02-04,56,3,0,6,NA,3
湖南,张家界,2020-02-04,3,0,0,0,NA,0
湖南,益阳,2020-02-04,40,1,0,5,NA,0
湖南,郴州,2020-02-04,24,1,0,2,NA,0
湖南,永州,2020-02-04,30,5,0,4,NA,0
湖南,怀化,2020-02-04,35,2,0,0,NA,1
湖南,娄底,2020-02-04,45,3,0,5,NA,1
湖南,湘西,2020-02-04,7,1,0,1,NA,0
湖南,湖南,2020-02-03,593,22,0,72,0,6
湖南,长沙,2020-02-03,148,2,0,23,NA,0
湖南,衡阳,2020-02-03,35,4,0,3,NA,1
湖南,株洲,2020-02-03,34,1,0,8,NA,0
