province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
澳门,澳门,2020-02-13,10,3,0,,NA,
澳门,澳门,2020-02-12,10,2,0,,NA,
澳门,澳门,2020-02-11,10,1,0,,NA,
澳门,澳门,2020-02-10,10,1,0,,NA,
澳门,澳门,2020-02-09,10,1,0,,NA,
澳门,澳门,2020-02-08,10,1,0,,NA,
澳门,澳门,2020-02-07,10,1,0,,NA,
澳门,澳门,2020-02-06,10,1,0,,NA,
澳门,澳门,2020-02-05,10,0,0,0,NA,
澳门,澳门,2020-02-04,10,0,0,2,NA,
澳门,澳门,2020-02-03,8,0,0,0,NA,
澳门,澳门,2020-02-02,8,0,0,1,NA,
澳门,澳门,2020-02-01,7,0,0,0,NA,
澳门,澳门,2020-01-31,7,0,0,0,NA,
澳门,澳门,2020-01-30,7,0,0,0,NA,
澳门,澳门,2020-01-29,7,0,0,0,NA,
澳门,澳门,2020-01-28,7,0,0,0,NA,
澳门,澳门,2020-01-27,7,0,0,2,NA,
澳门,澳门,2020-01-26,5,0,0,3,NA,
澳门,澳门,2020-01-25,2,0,0,0,NA,
澳门,澳门,2020-01-24,2,0,0,0,NA,
澳门,澳门,2020-01-23,2,0,0,1,NA,
澳门,澳门,2020-01-22,1,0,0,1,NA,
