province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
甘肃,甘肃,2020-02-13,90,39,2,,NA,
甘肃,兰州,2020-02-13,35,14,2,,NA,
甘肃,平凉,2020-02-13,9,1,0,,NA,
甘肃,甘南,2020-02-13,8,1,0,,NA,
甘肃,天水,2020-02-13,12,6,0,,NA,
甘肃,定西,2020-02-13,9,3,0,,NA,
甘肃,白银,2020-02-13,4,0,0,,NA,
甘肃,陇南,2020-02-13,4,1,0,,NA,
甘肃,庆阳,2020-02-13,3,1,0,,NA,
甘肃,临夏,2020-02-13,3,3,0,,NA,
甘肃,张掖,2020-02-13,2,2,0,,NA,
甘肃,金昌,2020-02-13,1,1,0,,NA,
甘肃,待明确,2020-02-13,0,6,0,,NA,
甘肃,甘肃,2020-02-12,87,31,2,,NA,
甘肃,兰州,2020-02-12,35,14,2,,NA,
甘肃,天水,2020-02-12,12,6,0,,NA,
甘肃,定西,2020-02-12,8,2,0,,NA,
甘肃,平凉,2020-02-12,8,1,0,,NA,
甘肃,甘南,2020-02-12,7,1,0,,NA,
甘肃,白银,2020-02-12,4,0,0,,NA,
甘肃,陇南,2020-02-12,4,0,0,,NA,
甘肃,临夏,2020-02-12,3,2,0,,NA,
甘肃,庆阳,2020-02-12,3,1,0,,NA,
甘肃,张掖,2020-02-12,2,1,0,,NA,
甘肃,金昌,2020-02-12,1,1,0,,NA,
甘肃,待明确,2020-02-12,0,2,0,,NA,
甘肃,甘肃,2020-02-11,86,24,2,,NA,
甘肃,兰州,2020-02-11,35,10,2,,NA,
甘肃,天水,2020-02-11,12,1,0,,NA,
甘肃,定西,2020-02-11,8,2,0,,NA,
甘肃,平凉,2020-02-11,8,0,0,,NA,
甘肃,甘南,2020-02-11,6,1,0,,NA,
甘肃,白银,2020-02-11,4,0,0,,NA,
甘肃,陇南,2020-02-11,4,0,0,,NA,
甘肃,临夏,2020-02-11,3,2,0,,NA,
甘肃,庆阳,2020-02-11,3,0,0,,NA,
甘肃,张掖,2020-02-11,2,1,0,,NA,
甘肃,金昌,2020-02-11,1,1,0,,NA,
甘肃,待明确,2020-02-11,0,6,0,,NA,
甘肃,甘肃,2020-02-10,86,21,2,,NA,
甘肃,兰州,2020-02-10,35,10,2,,NA,
甘肃,天水,2020-02-10,12,1,0,,NA,
甘肃,定西,2020-02-10,8,2,0,,NA,
甘肃,平凉,2020-02-10,8,0,0,,NA,
甘肃,甘南,2020-02-10,6,0,0,,NA,
甘肃,白银,2020-02-10,4,0,0,,NA,
甘肃,陇南,2020-02-10,4,0,0,,NA,
甘肃,临夏,2020-02-10,3,2,0,,NA,
甘肃,庆阳,2020-02-10,3,0,0,,NA,
甘肃,张掖,2020-02-10,2,1,0,,NA,
甘肃,金昌,2020-02-10,1,1,0,,NA,
甘肃,待明确,2020-02-10,0,4,0,,NA,
甘肃,甘肃,2020-02-09,83,16,2,,NA,
甘肃,兰州,2020-02-09,33,10,2,,NA,
甘肃,天水,2020-02-09,12,1,0,,NA,
甘肃,定西,2020-02-09,8,1,0,,NA,
甘肃,平凉,2020-02-09,7,0,0,,NA,
甘肃,甘南,2020-02-09,6,0,0,,NA,
甘肃,白银,2020-02-09,4,0,0,,NA,
甘肃,陇南,2020-02-09,4,0,0,,NA,
甘肃,临夏,2020-02-09,3,2,0,,NA,
甘肃,庆阳,2020-02-09,3,0,0,,NA,
甘肃,张掖,2020-02-09,2,1,0,,NA,
甘肃,金昌,2020-02-09,1,1,0,,NA,
甘肃,甘肃,2020-02-08,79,12,1,,NA,
甘肃,兰州,2020-02-08,33,5,1,,NA,
甘肃,天水,2020-02-08,12,1,0,,NA,
甘肃,定西,2020-02-08,8,1,0,,NA,
甘肃,甘南,2020-02-08,6,0,0,,NA,
甘肃,陇南,2020-02-08,4,0,0,,NA,
甘肃,白银,2020-02-08,4,0,0,,NA,
甘肃,平凉,2020-02-08,4,0,0,,NA,
甘肃,临夏,2020-02-08,3,2,0,,NA,
甘肃,张掖,2020-02-08,2,0,0,,NA,
甘肃,庆阳,2020-02-08,2,0,0,,NA,
甘肃,金昌,2020-02-08,1,0,0,,NA,
甘肃,待明确,2020-02-08,0,3,0,,NA,
甘肃,甘肃,2020-02-07,71,9,1,,NA,
甘肃,兰州,2020-02-07,32,5,1,,NA,
甘肃,天水,2020-02-07,10,1,0,,NA,
甘肃,定西,2020-02-07,8,1,0,,NA,
甘肃,陇南,2020-02-07,4,0,0,,NA,
甘肃,白银,2020-02-07,4,0,0,,NA,
甘肃,临夏,2020-02-07,3,2,0,,NA,
甘肃,甘南,2020-02-07,3,0,0,,NA,
甘肃,张掖,2020-02-07,2,0,0,,NA,
甘肃,平凉,2020-02-07,2,0,0,,NA,
甘肃,庆阳,2020-02-07,2,0,0,,NA,
甘肃,金昌,2020-02-07,1,0,0,,NA,
甘肃,甘肃,2020-02-06,67,9,0,,NA,
甘肃,兰州,2020-02-06,32,5,0,,NA,
