province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
福建,福建,2020-02-13,281,59,0,,NA,
福建,福州,2020-02-13,66,15,0,,NA,
福建,莆田,2020-02-13,54,8,0,,NA,
福建,泉州,2020-02-13,44,13,0,,NA,
福建,厦门,2020-02-13,34,4,0,,NA,
福建,宁德,2020-02-13,25,5,0,,NA,
福建,南平,2020-02-13,20,3,0,,NA,
福建,漳州,2020-02-13,19,4,0,,NA,
福建,三明,2020-02-13,13,1,0,,NA,
福建,龙岩,2020-02-13,6,1,0,,NA,
福建,待明确,2020-02-13,0,5,0,,NA,
福建,福建,2020-02-12,279,54,0,,NA,
福建,福州,2020-02-12,64,15,0,,NA,
福建,莆田,2020-02-12,54,8,0,,NA,
福建,泉州,2020-02-12,44,13,0,,NA,
福建,厦门,2020-02-12,34,4,0,,NA,
福建,宁德,2020-02-12,25,5,0,,NA,
福建,南平,2020-02-12,20,3,0,,NA,
福建,漳州,2020-02-12,19,4,0,,NA,
福建,三明,2020-02-12,13,1,0,,NA,
福建,龙岩,2020-02-12,6,1,0,,NA,
福建,福建,2020-02-11,272,46,0,,NA,
福建,福州,2020-02-11,64,13,0,,NA,
福建,莆田,2020-02-11,52,6,0,,NA,
福建,泉州,2020-02-11,43,11,0,,NA,
福建,厦门,2020-02-11,32,3,0,,NA,
福建,宁德,2020-02-11,24,4,0,,NA,
福建,漳州,2020-02-11,19,3,0,,NA,
福建,南平,2020-02-11,19,3,0,,NA,
福建,三明,2020-02-11,13,1,0,,NA,
福建,龙岩,2020-02-11,6,1,0,,NA,
福建,待明确,2020-02-11,0,1,0,,NA,
福建,福建,2020-02-10,267,39,0,,NA,
福建,福州,2020-02-10,63,12,0,,NA,
福建,莆田,2020-02-10,51,2,0,,NA,
福建,泉州,2020-02-10,43,11,0,,NA,
福建,厦门,2020-02-10,31,3,0,,NA,
福建,宁德,2020-02-10,24,4,0,,NA,
福建,南平,2020-02-10,19,2,0,,NA,
福建,漳州,2020-02-10,17,3,0,,NA,
福建,三明,2020-02-10,13,1,0,,NA,
福建,龙岩,2020-02-10,6,1,0,,NA,
福建,福建,2020-02-09,261,35,0,,NA,
福建,福州,2020-02-09,63,10,0,,NA,
福建,莆田,2020-02-09,51,1,0,,NA,
福建,泉州,2020-02-09,42,4,0,,NA,
福建,厦门,2020-02-09,28,2,0,,NA,
福建,宁德,2020-02-09,24,4,0,,NA,
福建,南平,2020-02-09,18,1,0,,NA,
福建,漳州,2020-02-09,16,3,0,,NA,
福建,三明,2020-02-09,13,1,0,,NA,
福建,龙岩,2020-02-09,6,0,0,,NA,
福建,待明确,2020-02-09,0,9,0,,NA,
福建,福建,2020-02-08,250,26,0,,NA,
福建,福州,2020-02-08,62,10,0,,NA,
福建,莆田,2020-02-08,47,1,0,,NA,
福建,泉州,2020-02-08,42,4,0,,NA,
福建,厦门,2020-02-08,25,2,0,,NA,
福建,宁德,2020-02-08,23,4,0,,NA,
福建,漳州,2020-02-08,16,3,0,,NA,
福建,南平,2020-02-08,16,1,0,,NA,
福建,三明,2020-02-08,13,1,0,,NA,
福建,龙岩,2020-02-08,6,0,0,,NA,
福建,福建,2020-02-07,239,20,0,,NA,
福建,福州,2020-02-07,59,7,0,,NA,
福建,莆田,2020-02-07,47,1,0,,NA,
福建,泉州,2020-02-07,40,4,0,,NA,
福建,厦门,2020-02-07,25,2,0,,NA,
福建,宁德,2020-02-07,21,4,0,,NA,
福建,漳州,2020-02-07,16,1,0,,NA,
福建,南平,2020-02-07,14,1,0,,NA,
福建,三明,2020-02-07,12,0,0,,NA,
福建,龙岩,2020-02-07,5,0,0,,NA,
福建,福建,2020-02-06,224,15,0,,NA,
福建,福州,2020-02-06,57,6,0,,NA,
福建,莆田,2020-02-06,44,1,0,,NA,
福建,泉州,2020-02-06,40,4,0,,NA,
福建,厦门,2020-02-06,23,1,0,,NA,
福建,宁德,2020-02-06,16,1,0,,NA,
福建,漳州,2020-02-06,16,1,0,,NA,
福建,南平,2020-02-06,12,0,0,,NA,
福建,三明,2020-02-06,12,0,0,,NA,
福建,龙岩,2020-02-06,4,0,0,,NA,
福建,待明确,2020-02-06,0,1,0,,NA,
福建,福建,2020-02-05,215,11,0,,NA,
福建,福州,2020-02-05,56,4,0,,NA,
福建,莆田,2020-02-05,42,1,0,,NA,
福建,泉州,2020-02-05,39,4,0,,NA,
福建,厦门,2020-02-05,21,1,0,,NA,
