province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
西藏,西藏,2020-02-13,1,1,0,,NA,
西藏,拉萨,2020-02-13,1,1,0,,NA,
西藏,西藏,2020-02-12,1,1,0,,NA,
西藏,拉萨,2020-02-12,1,1,0,,NA,
西藏,西藏,2020-02-11,1,0,0,,NA,
西藏,拉萨,2020-02-11,1,0,0,,NA,
西藏,西藏,2020-02-10,1,0,0,,NA,
西藏,拉萨,2020-02-10,1,0,0,,NA,
西藏,西藏,2020-02-09,1,0,0,,NA,
西藏,拉萨,2020-02-09,1,0,0,,NA,
西藏,西藏,2020-02-08,1,0,0,,NA,
西藏,拉萨,2020-02-08,1,0,0,,NA,
西藏,西藏,2020-02-07,1,0,0,,NA,
西藏,拉萨,2020-02-07,1,0,0,,NA,
西藏,西藏,2020-02-06,1,0,0,,NA,
西藏,拉萨,2020-02-06,1,0,0,,NA,
西藏,西藏,2020-02-05,1,0,0,0,NA,
西藏,拉萨,2020-02-05,1,0,0,0,NA,
西藏,西藏,2020-02-04,1,0,0,0,NA,
西藏,拉萨,2020-02-04,1,0,0,0,NA,
西藏,西藏,2020-02-03,1,0,0,0,NA,
西藏,拉萨,2020-02-03,1,0,0,0,NA,
西藏,西藏,2020-02-02,1,0,0,0,NA,
西藏,拉萨,2020-02-02,1,0,0,0,NA,
西藏,西藏,2020-02-01,1,0,0,0,NA,
西藏,拉萨,2020-02-01,1,0,0,0,NA,
西藏,西藏,2020-01-31,1,0,0,0,NA,
西藏,拉萨,2020-01-31,1,0,0,0,NA,
西藏,西藏,2020-01-30,1,0,0,0,NA,
西藏,拉萨,2020-01-30,1,0,0,0,NA,
西藏,西藏,2020-01-29,1,0,0,1,NA,
西藏,拉萨,2020-01-29,1,0,0,1,NA,
