province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
贵州,贵州,2020-02-13,140,28,1,,NA,
贵州,贵阳,2020-02-13,34,4,0,,NA,
贵州,遵义,2020-02-13,28,1,0,,NA,
贵州,毕节,2020-02-13,23,4,0,,NA,
贵州,黔南,2020-02-13,17,5,0,,NA,
贵州,黔东南,2020-02-13,10,2,0,,NA,
贵州,六盘水,2020-02-13,10,3,1,,NA,
贵州,铜仁,2020-02-13,10,6,0,,NA,
贵州,安顺,2020-02-13,4,0,0,,NA,
贵州,黔西南,2020-02-13,4,3,0,,NA,
贵州,贵州,2020-02-12,135,20,1,,NA,
贵州,贵阳,2020-02-12,33,3,0,,NA,
贵州,遵义,2020-02-12,25,1,0,,NA,
贵州,毕节,2020-02-12,22,2,0,,NA,
贵州,黔南,2020-02-12,17,3,0,,NA,
贵州,铜仁,2020-02-12,10,5,0,,NA,
贵州,六盘水,2020-02-12,10,1,1,,NA,
贵州,黔东南,2020-02-12,10,2,0,,NA,
贵州,黔西南,2020-02-12,4,3,0,,NA,
贵州,安顺,2020-02-12,4,0,0,,NA,
贵州,贵州,2020-02-11,131,17,1,,NA,
贵州,贵阳,2020-02-11,29,3,0,,NA,
贵州,遵义,2020-02-11,25,1,0,,NA,
贵州,毕节,2020-02-11,22,2,0,,NA,
贵州,黔南,2020-02-11,17,3,0,,NA,
贵州,铜仁,2020-02-11,10,5,0,,NA,
贵州,六盘水,2020-02-11,10,1,1,,NA,
贵州,黔东南,2020-02-11,10,1,0,,NA,
贵州,黔西南,2020-02-11,4,1,0,,NA,
贵州,安顺,2020-02-11,4,0,0,,NA,
贵州,贵州,2020-02-10,118,10,1,,NA,
贵州,贵阳,2020-02-10,29,1,0,,NA,
贵州,遵义,2020-02-10,23,1,0,,NA,
贵州,毕节,2020-02-10,21,0,0,,NA,
贵州,六盘水,2020-02-10,10,0,1,,NA,
贵州,黔东南,2020-02-10,10,0,0,,NA,
贵州,铜仁,2020-02-10,9,5,0,,NA,
贵州,黔南,2020-02-10,8,3,0,,NA,
贵州,黔西南,2020-02-10,4,0,0,,NA,
贵州,安顺,2020-02-10,4,0,0,,NA,
贵州,贵州,2020-02-09,109,7,1,,NA,
贵州,贵阳,2020-02-09,27,1,0,,NA,
贵州,毕节,2020-02-09,21,0,0,,NA,
贵州,遵义,2020-02-09,19,1,0,,NA,
贵州,六盘水,2020-02-09,10,0,1,,NA,
贵州,铜仁,2020-02-09,8,2,0,,NA,
贵州,黔南,2020-02-09,8,3,0,,NA,
贵州,黔东南,2020-02-09,8,0,0,,NA,
贵州,黔西南,2020-02-09,4,0,0,,NA,
贵州,安顺,2020-02-09,4,0,0,,NA,
贵州,贵州,2020-02-08,96,7,1,,NA,
贵州,贵阳,2020-02-08,22,1,0,,NA,
贵州,毕节,2020-02-08,21,0,0,,NA,
贵州,遵义,2020-02-08,15,1,0,,NA,
贵州,六盘水,2020-02-08,10,0,1,,NA,
贵州,铜仁,2020-02-08,7,2,0,,NA,
贵州,黔南,2020-02-08,7,3,0,,NA,
贵州,黔东南,2020-02-08,6,0,0,,NA,
贵州,黔西南,2020-02-08,4,0,0,,NA,
贵州,安顺,2020-02-08,4,0,0,,NA,
贵州,贵州,2020-02-07,89,6,1,,NA,
贵州,毕节,2020-02-07,21,0,0,,NA,
贵州,贵阳,2020-02-07,18,1,0,,NA,
贵州,遵义,2020-02-07,15,0,0,,NA,
贵州,六盘水,2020-02-07,9,0,1,,NA,
