province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
辽宁,辽宁,2020-02-13,117,24,1,,NA,
辽宁,沈阳,2020-02-13,28,9,0,,NA,
辽宁,大连,2020-02-13,17,4,0,,NA,
辽宁,锦州,2020-02-13,12,1,0,,NA,
辽宁,盘锦,2020-02-13,11,0,0,,NA,
辽宁,葫芦岛,2020-02-13,11,0,1,,NA,
辽宁,阜新,2020-02-13,8,0,0,,NA,
辽宁,铁岭,2020-02-13,7,1,0,,NA,
辽宁,朝阳,2020-02-13,6,2,0,,NA,
辽宁,丹东,2020-02-13,7,4,0,,NA,
辽宁,鞍山,2020-02-13,3,0,0,,NA,
辽宁,本溪,2020-02-13,3,1,0,,NA,
辽宁,辽阳,2020-02-13,3,1,0,,NA,
辽宁,营口,2020-02-13,1,1,0,,NA,
辽宁,辽宁,2020-02-12,116,21,1,,NA,
辽宁,沈阳,2020-02-12,28,7,0,,NA,
辽宁,大连,2020-02-12,16,4,0,,NA,
辽宁,锦州,2020-02-12,12,1,0,,NA,
辽宁,葫芦岛,2020-02-12,11,0,1,,NA,
辽宁,盘锦,2020-02-12,11,0,0,,NA,
辽宁,阜新,2020-02-12,8,0,0,,NA,
辽宁,铁岭,2020-02-12,7,1,0,,NA,
辽宁,丹东,2020-02-12,7,3,0,,NA,
辽宁,朝阳,2020-02-12,6,2,0,,NA,
辽宁,本溪,2020-02-12,3,1,0,,NA,
辽宁,辽阳,2020-02-12,3,1,0,,NA,
辽宁,鞍山,2020-02-12,3,0,0,,NA,
辽宁,营口,2020-02-12,1,1,0,,NA,
辽宁,辽宁,2020-02-11,116,19,0,,NA,
辽宁,沈阳,2020-02-11,28,7,0,,NA,
辽宁,大连,2020-02-11,16,3,0,,NA,
辽宁,锦州,2020-02-11,12,1,0,,NA,
辽宁,葫芦岛,2020-02-11,11,0,0,,NA,
辽宁,盘锦,2020-02-11,11,0,0,,NA,
辽宁,阜新,2020-02-11,8,0,0,,NA,
辽宁,铁岭,2020-02-11,7,1,0,,NA,
辽宁,丹东,2020-02-11,7,3,0,,NA,
辽宁,朝阳,2020-02-11,6,2,0,,NA,
辽宁,本溪,2020-02-11,3,0,0,,NA,
辽宁,辽阳,2020-02-11,3,0,0,,NA,
辽宁,鞍山,2020-02-11,3,0,0,,NA,
辽宁,营口,2020-02-11,1,1,0,,NA,
辽宁,待明确,2020-02-11,0,1,0,,NA,
辽宁,辽宁,2020-02-10,108,13,0,,NA,
辽宁,沈阳,2020-02-10,26,6,0,,NA,
辽宁,大连,2020-02-10,16,3,0,,NA,
辽宁,盘锦,2020-02-10,11,0,0,,NA,
辽宁,锦州,2020-02-10,11,1,0,,NA,
辽宁,葫芦岛,2020-02-10,9,0,0,,NA,
辽宁,阜新,2020-02-10,8,0,0,,NA,
辽宁,丹东,2020-02-10,7,3,0,,NA,
辽宁,朝阳,2020-02-10,6,0,0,,NA,
辽宁,铁岭,2020-02-10,4,0,0,,NA,
辽宁,本溪,2020-02-10,3,0,0,,NA,
辽宁,辽阳,2020-02-10,3,0,0,,NA,
辽宁,鞍山,2020-02-10,3,0,0,,NA,
辽宁,营口,2020-02-10,1,0,0,,NA,
辽宁,辽宁,2020-02-09,107,12,0,,NA,
辽宁,沈阳,2020-02-09,26,5,0,,NA,
辽宁,大连,2020-02-09,16,3,0,,NA,
辽宁,盘锦,2020-02-09,11,0,0,,NA,
辽宁,锦州,2020-02-09,11,1,0,,NA,
辽宁,葫芦岛,2020-02-09,9,0,0,,NA,
辽宁,丹东,2020-02-09,7,3,0,,NA,
辽宁,阜新,2020-02-09,7,0,0,,NA,
辽宁,朝阳,2020-02-09,6,0,0,,NA,
辽宁,铁岭,2020-02-09,4,0,0,,NA,
辽宁,本溪,2020-02-09,3,0,0,,NA,
辽宁,辽阳,2020-02-09,3,0,0,,NA,
辽宁,鞍山,2020-02-09,3,0,0,,NA,
辽宁,营口,2020-02-09,1,0,0,,NA,
辽宁,辽宁,2020-02-08,105,8,0,,NA,
辽宁,沈阳,2020-02-08,26,3,0,,NA,
辽宁,大连,2020-02-08,16,3,0,,NA,
辽宁,盘锦,2020-02-08,11,0,0,,NA,
辽宁,锦州,2020-02-08,10,1,0,,NA,
辽宁,葫芦岛,2020-02-08,9,0,0,,NA,
辽宁,丹东,2020-02-08,7,1,0,,NA,
辽宁,阜新,2020-02-08,7,0,0,,NA,
辽宁,朝阳,2020-02-08,6,0,0,,NA,
辽宁,本溪,2020-02-08,3,0,0,,NA,
辽宁,铁岭,2020-02-08,3,0,0,,NA,
辽宁,辽阳,2020-02-08,3,0,0,,NA,
辽宁,鞍山,2020-02-08,3,0,0,,NA,
辽宁,营口,2020-02-08,1,0,0,,NA,
辽宁,辽宁,2020-02-07,99,7,0,,NA,
辽宁,沈阳,2020-02-07,25,2,0,,NA,
辽宁,大连,2020-02-07,14,3,0,,NA,
辽宁,盘锦,2020-02-07,11,0,0,,NA,
辽宁,葫芦岛,2020-02-07,9,0,0,,NA,
辽宁,锦州,2020-02-07,8,1,0,,NA,
辽宁,丹东,2020-02-07,7,1,0,,NA,
辽宁,阜新,2020-02-07,7,0,0,,NA,
辽宁,朝阳,2020-02-07,6,0,0,,NA,
辽宁,本溪,2020-02-07,3,0,0,,NA,
辽宁,铁岭,2020-02-07,3,0,0,,NA,
辽宁,鞍山,2020-02-07,3,0,0,,NA,
辽宁,辽阳,2020-02-07,2,0,0,,NA,
辽宁,营口,2020-02-07,1,0,0,,NA,
辽宁,辽宁,2020-02-06,94,5,0,,NA,
辽宁,沈阳,2020-02-06,23,1,0,,NA,
辽宁,大连,2020-02-06,14,3,0,,NA,
辽宁,盘锦,2020-02-06,11,0,0,,NA,
辽宁,锦州,2020-02-06,7,0,0,,NA,
辽宁,丹东,2020-02-06,7,1,0,,NA,
辽宁,葫芦岛,2020-02-06,7,0,0,,NA,
辽宁,阜新,2020-02-06,7,0,0,,NA,
辽宁,朝阳,2020-02-06,6,0,0,,NA,
辽宁,本溪,2020-02-06,3,0,0,,NA,
辽宁,铁岭,2020-02-06,3,0,0,,NA,
辽宁,鞍山,2020-02-06,3,0,0,,NA,
辽宁,辽阳,2020-02-06,2,0,0,,NA,
辽宁,营口,2020-02-06,1,0,0,,NA,
辽宁,辽宁,2020-02-05,89,4,0,,NA,
辽宁,沈阳,2020-02-05,23,1,0,,NA,
辽宁,大连,2020-02-05,14,3,0,,NA,
辽宁,盘锦,2020-02-05,8,0,0,,NA,
辽宁,锦州,2020-02-05,7,0,0,,NA,
辽宁,丹东,2020-02-05,7,0,0,,NA,
辽宁,葫芦岛,2020-02-05,7,0,0,,NA,
辽宁,阜新,2020-02-05,7,0,0,,NA,
辽宁,朝阳,2020-02-05,6,0,0,,NA,
辽宁,本溪,2020-02-05,3,0,0,,NA,
辽宁,铁岭,2020-02-05,3,0,0,,NA,
辽宁,辽阳,2020-02-05,2,0,0,,NA,
辽宁,营口,2020-02-05,1,0,0,,NA,
辽宁,鞍山,2020-02-05,1,0,0,,NA,
辽宁,辽宁,2020-02-04,81,2,0,7,NA,
辽宁,沈阳,2020-02-04,18,0,0,3,NA,
辽宁,大连,2020-02-04,13,2,0,1,NA,
辽宁,鞍山,2020-02-04,1,0,0,0,NA,
辽宁,本溪,2020-02-04,3,0,0,0,NA,
辽宁,丹东,2020-02-04,6,0,0,0,NA,
辽宁,锦州,2020-02-04,7,0,0,0,NA,
辽宁,营口,2020-02-04,1,0,0,0,NA,
辽宁,阜新,2020-02-04,7,0,0,2,NA,
辽宁,辽阳,2020-02-04,2,0,0,0,NA,
辽宁,铁岭,2020-02-04,3,0,0,0,NA,
辽宁,朝阳,2020-02-04,6,0,0,0,NA,
辽宁,盘锦,2020-02-04,8,0,0,0,NA,
辽宁,葫芦岛,2020-02-04,6,0,0,1,NA,
辽宁,辽宁,2020-02-03,74,1,0,4,NA,0
辽宁,沈阳,2020-02-03,15,0,0,2,NA,
辽宁,大连,2020-02-03,12,1,0,0,NA,
辽宁,鞍山,2020-02-03,1,0,0,0,NA,
辽宁,本溪,2020-02-03,3,0,0,0,NA,
辽宁,丹东,2020-02-03,6,0,0,0,NA,
辽宁,锦州,2020-02-03,7,0,0,0,NA,
辽宁,营口,2020-02-03,1,0,0,0,NA,
辽宁,阜新,2020-02-03,5,0,0,2,NA,
辽宁,辽阳,2020-02-03,2,0,0,0,NA,
辽宁,铁岭,2020-02-03,3,0,0,0,NA,
辽宁,朝阳,2020-02-03,6,0,0,0,NA,
辽宁,盘锦,2020-02-03,8,0,0,0,NA,
辽宁,葫芦岛,2020-02-03,5,0,0,0,NA,
辽宁,辽宁,2020-02-02,70,1,0,6,NA,
辽宁,沈阳,2020-02-02,13,0,0,1,NA,
辽宁,大连,2020-02-02,12,1,0,2,NA,
辽宁,鞍山,2020-02-02,1,0,0,0,NA,
辽宁,本溪,2020-02-02,3,0,0,0,NA,
辽宁,丹东,2020-02-02,6,0,0,0,NA,
辽宁,锦州,2020-02-02,7,0,0,0,NA,
辽宁,营口,2020-02-02,1,0,0,0,NA,
辽宁,阜新,2020-02-02,3,0,0,1,NA,
辽宁,辽阳,2020-02-02,2,0,0,1,NA,
辽宁,铁岭,2020-02-02,3,0,0,0,NA,
辽宁,朝阳,2020-02-02,6,0,0,0,NA,
辽宁,盘锦,2020-02-02,8,0,0,1,NA,
辽宁,葫芦岛,2020-02-02,5,0,0,0,NA,
辽宁,辽宁,2020-02-01,64,1,0,1,NA,
辽宁,沈阳,2020-02-01,16,0,0,0,NA,
辽宁,大连,2020-02-01,10,1,0,0,NA,
辽宁,本溪,2020-02-01,3,0,0,0,NA,
辽宁,丹东,2020-02-01,6,0,0,1,NA,
辽宁,锦州,2020-02-01,7,0,0,0,NA,
辽宁,营口,2020-02-01,1,0,0,0,NA,
辽宁,阜新,2020-02-01,2,0,0,0,NA,
辽宁,辽阳,2020-02-01,1,0,0,0,NA,
辽宁,铁岭,2020-02-01,2,0,0,0,NA,
辽宁,朝阳,2020-02-01,6,0,0,0,NA,
辽宁,盘锦,2020-02-01,5,0,0,0,NA,
辽宁,鞍山,2020-02-01,0,0,0,,NA,
辽宁,葫芦岛,2020-02-01,5,0,0,0,NA,
辽宁,辽宁,2020-01-31,60,1,0,12,NA,
辽宁,沈阳,2020-01-31,13,0,0,2,NA,
辽宁,大连,2020-01-31,8,1,0,1,NA,
辽宁,鞍山,2020-01-31,1,0,0,1,NA,
辽宁,本溪,2020-01-31,3,0,0,0,NA,
辽宁,丹东,2020-01-31,5,0,0,0,NA,
辽宁,锦州,2020-01-31,7,0,0,2,NA,
辽宁,营口,2020-01-31,1,0,0,0,NA,
辽宁,阜新,2020-01-31,1,0,0,1,NA,
辽宁,辽阳,2020-01-31,1,0,0,0,NA,
辽宁,铁岭,2020-01-31,2,0,0,0,NA,
辽宁,朝阳,2020-01-31,6,0,0,1,NA,
辽宁,盘锦,2020-01-31,7,0,0,3,NA,
辽宁,葫芦岛,2020-01-31,5,0,0,1,NA,
辽宁,辽宁,2020-01-30,45,1,0,4,NA,
辽宁,沈阳,2020-01-30,10,0,0,1,NA,
辽宁,大连,2020-01-30,7,1,0,2,NA,
辽宁,本溪,2020-01-30,3,0,0,0,NA,
辽宁,丹东,2020-01-30,5,0,0,0,NA,
辽宁,锦州,2020-01-30,4,0,0,0,NA,
辽宁,营口,2020-01-30,1,0,0,0,NA,
辽宁,辽阳,2020-01-30,1,0,0,0,NA,
辽宁,铁岭,2020-01-30,2,0,0,0,NA,
辽宁,朝阳,2020-01-30,5,0,0,1,NA,
辽宁,盘锦,2020-01-30,3,0,0,0,NA,
辽宁,葫芦岛,2020-01-30,4,0,0,0,NA,
辽宁,辽宁,2020-01-29,39,1,0,3,NA,1
辽宁,沈阳,2020-01-29,9,0,0,1,NA,0
辽宁,大连,2020-01-29,5,1,0,0,NA,1
辽宁,本溪,2020-01-29,2,0,0,0,NA,0
辽宁,丹东,2020-01-29,5,0,0,0,NA,0
辽宁,锦州,2020-01-29,4,0,0,0,NA,0
辽宁,营口,2020-01-29,1,0,0,0,NA,0
辽宁,辽阳,2020-01-29,1,0,0,0,NA,0
辽宁,铁岭,2020-01-29,2,0,0,0,NA,0
辽宁,朝阳,2020-01-29,4,0,0,1,NA,0
辽宁,盘锦,2020-01-29,2,0,0,0,NA,0
辽宁,葫芦岛,2020-01-29,4,0,0,1,NA,0
辽宁,辽宁,2020-01-28,36,0,0,6,NA,
辽宁,沈阳,2020-01-28,8,0,0,0,NA,
辽宁,大连,2020-01-28,5,0,0,0,NA,
辽宁,本溪,2020-01-28,2,0,0,0,NA,
辽宁,丹东,2020-01-28,5,0,0,0,NA,
辽宁,锦州,2020-01-28,4,0,0,4,NA,
辽宁,营口,2020-01-28,1,0,0,0,NA,
辽宁,辽阳,2020-01-28,1,0,0,0,NA,
辽宁,铁岭,2020-01-28,2,0,0,0,NA,
辽宁,朝阳,2020-01-28,3,0,0,1,NA,
辽宁,盘锦,2020-01-28,2,0,0,0,NA,
辽宁,葫芦岛,2020-01-28,3,0,0,1,NA,
辽宁,辽宁,2020-01-27,30,0,0,3,NA,
辽宁,沈阳,2020-01-27,8,0,0,1,NA,
辽宁,大连,2020-01-27,5,0,0,0,NA,
辽宁,本溪,2020-01-27,2,0,0,0,NA,
辽宁,丹东,2020-01-27,5,0,0,1,NA,
辽宁,营口,2020-01-27,1,0,0,0,NA,
辽宁,辽阳,2020-01-27,1,0,0,1,NA,
辽宁,铁岭,2020-01-27,2,0,0,0,NA,
辽宁,朝阳,2020-01-27,2,0,0,0,NA,
辽宁,盘锦,2020-01-27,2,0,0,0,NA,
辽宁,葫芦岛,2020-01-27,2,0,0,0,NA,
辽宁,辽宁,2020-01-26,22,0,0,5,NA,
辽宁,沈阳,2020-01-26,6,0,0,1,NA,
辽宁,大连,2020-01-26,4,0,0,0,NA,
