province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
重庆,重庆,2020-02-13,529,128,4,,NA,
重庆,重庆,2020-02-12,518,102,3,,NA,
重庆,重庆,2020-02-11,505,79,3,,NA,
重庆,重庆,2020-02-10,486,66,2,,NA,
重庆,重庆,2020-02-09,468,51,2,,NA,
重庆,重庆,2020-02-08,446,39,2,,NA,
重庆,重庆,2020-02-07,426,31,2,,NA,
重庆,重庆,2020-02-06,411,24,2,,NA,
重庆,重庆,2020-02-05,389,15,2,23,NA,1
重庆,重庆,2020-02-04,366,14,2,29,NA,5
重庆,重庆,2020-02-03,337,9,2,37,NA,2
重庆,重庆,2020-02-02,300,7,2,25,1,
重庆,重庆,2020-02-01,262,3,1,24,0,2
重庆,重庆,2020-01-31,238,1,1,32,1,
重庆,重庆,2020-01-30,206,1,0,24,NA,
重庆,重庆,2020-01-29,165,1,0,18,NA,1
重庆,重庆,2020-01-28,147,0,0,15,NA,
重庆,重庆,2020-01-27,132,0,0,22,NA,
重庆,重庆,2020-01-26,110,0,0,35,NA,
重庆,重庆,2020-01-25,75,0,0,18,NA,
重庆,重庆,2020-01-24,57,0,0,30,NA,
重庆,重庆,2020-01-23,27,0,0,18,NA,
重庆,重庆,2020-01-22,9,0,0,4,NA,
重庆,重庆,2020-01-21,5,0,0,5,NA,
