province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
陕西,陕西,2020-02-13,230,49,0,,NA,
陕西,西安,2020-02-13,114,17,0,,NA,
陕西,汉中,2020-02-13,21,1,0,,NA,
陕西,安康,2020-02-13,23,5,0,,NA,
陕西,渭南,2020-02-13,14,0,0,,NA,
陕西,咸阳,2020-02-13,18,4,0,,NA,
陕西,宝鸡,2020-02-13,13,7,0,,NA,
陕西,商洛,2020-02-13,7,1,0,,NA,
陕西,铜川,2020-02-13,8,4,0,,NA,
陕西,延安,2020-02-13,9,6,0,,NA,
陕西,榆林,2020-02-13,3,1,0,,NA,
陕西,待明确,2020-02-13,0,3,0,,NA,
陕西,陕西,2020-02-12,229,44,0,,NA,
陕西,西安,2020-02-12,114,15,0,,NA,
陕西,安康,2020-02-12,22,5,0,,NA,
陕西,汉中,2020-02-12,21,1,0,,NA,
陕西,咸阳,2020-02-12,18,4,0,,NA,
陕西,渭南,2020-02-12,14,0,0,,NA,
陕西,宝鸡,2020-02-12,13,7,0,,NA,
陕西,延安,2020-02-12,9,6,0,,NA,
陕西,铜川,2020-02-12,8,4,0,,NA,
陕西,商洛,2020-02-12,7,1,0,,NA,
陕西,榆林,2020-02-12,3,1,0,,NA,
陕西,陕西,2020-02-11,225,36,0,,NA,
陕西,西安,2020-02-11,110,12,0,,NA,
陕西,安康,2020-02-11,22,5,0,,NA,
陕西,汉中,2020-02-11,21,1,0,,NA,
陕西,咸阳,2020-02-11,18,4,0,,NA,
陕西,渭南,2020-02-11,14,0,0,,NA,
陕西,宝鸡,2020-02-11,13,2,0,,NA,
陕西,延安,2020-02-11,9,2,0,,NA,
陕西,铜川,2020-02-11,8,4,0,,NA,
陕西,商洛,2020-02-11,7,1,0,,NA,
陕西,榆林,2020-02-11,3,1,0,,NA,
陕西,待明确,2020-02-11,0,4,0,,NA,
陕西,陕西,2020-02-10,219,31,0,,NA,
陕西,西安,2020-02-10,104,10,0,,NA,
陕西,安康,2020-02-10,22,5,0,,NA,
陕西,汉中,2020-02-10,21,0,0,,NA,
陕西,咸阳,2020-02-10,18,4,0,,NA,
陕西,渭南,2020-02-10,14,0,0,,NA,
陕西,宝鸡,2020-02-10,13,2,0,,NA,
陕西,延安,2020-02-10,9,2,0,,NA,
陕西,铜川,2020-02-10,8,4,0,,NA,
陕西,商洛,2020-02-10,7,1,0,,NA,
陕西,榆林,2020-02-10,3,1,0,,NA,
陕西,待明确,2020-02-10,0,2,0,,NA,
陕西,陕西,2020-02-09,213,26,0,,NA,
陕西,西安,2020-02-09,98,10,0,,NA,
陕西,安康,2020-02-09,22,5,0,,NA,
陕西,汉中,2020-02-09,21,0,0,,NA,
