province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
青海,青海,2020-02-13,18,11,0,,NA,
青海,西宁,2020-02-13,15,9,0,,NA,
青海,海北,2020-02-13,3,2,0,,NA,
青海,青海,2020-02-12,18,9,0,,NA,
青海,西宁,2020-02-12,15,8,0,,NA,
青海,海北,2020-02-12,3,1,0,,NA,
青海,青海,2020-02-11,18,5,0,,NA,
青海,西宁,2020-02-11,15,5,0,,NA,
青海,海北,2020-02-11,3,0,0,,NA,
青海,青海,2020-02-10,18,3,0,,NA,
青海,西宁,2020-02-10,15,3,0,,NA,
青海,海北,2020-02-10,3,0,0,,NA,
青海,青海,2020-02-09,18,3,0,,NA,
青海,西宁,2020-02-09,15,3,0,,NA,
青海,海北,2020-02-09,3,0,0,,NA,
青海,青海,2020-02-08,18,3,0,,NA,
青海,西宁,2020-02-08,15,3,0,,NA,
青海,海北,2020-02-08,3,0,0,,NA,
青海,青海,2020-02-07,18,3,0,,NA,
青海,西宁,2020-02-07,15,3,0,,NA,
青海,海北,2020-02-07,3,0,0,,NA,
青海,青海,2020-02-06,18,3,0,,NA,
青海,西宁,2020-02-06,15,3,0,,NA,
青海,海北,2020-02-06,3,0,0,,NA,
青海,青海,2020-02-05,18,3,0,1,0,0
青海,西宁,2020-02-05,15,3,0,1,NA,
青海,海北,2020-02-05,3,0,0,0,NA,
青海,青海,2020-02-04,17,0,0,2,0,0
青海,西宁,2020-02-04,14,0,0,2,NA,
青海,海北,2020-02-04,3,0,0,0,NA,
青海,青海,2020-02-03,15,0,0,2,0,0
青海,西宁,2020-02-03,12,0,0,0,NA,
青海,海北,2020-02-03,3,0,0,2,NA,
青海,青海,2020-02-02,13,0,0,4,0,0
青海,西宁,2020-02-02,12,0,0,3,NA,
青海,海北,2020-02-02,1,0,0,1,NA,
青海,青海,2020-02-01,9,0,0,0,0,0
青海,西宁,2020-02-01,9,0,0,0,NA,
青海,青海,2020-01-31,9,0,0,1,NA,
青海,西宁,2020-01-31,9,0,0,1,NA,
青海,青海,2020-01-30,8,0,0,2,NA,
青海,西宁,2020-01-30,8,0,0,2,NA,
青海,青海,2020-01-29,6,0,0,0,NA,
青海,西宁,2020-01-29,6,0,0,0,NA,
青海,青海,2020-01-28,6,0,0,0,NA,
青海,西宁,2020-01-28,6,0,0,0,NA,
青海,青海,2020-01-27,6,0,0,2,NA,
青海,西宁,2020-01-27,6,0,0,2,NA,
青海,青海,2020-01-26,4,0,0,3,NA,
青海,西宁,2020-01-26,4,0,0,3,NA,
青海,青海,2020-01-25,1,0,0,1,0,0
青海,西宁,2020-01-25,1,0,0,1,0,0
