province,city,time,cum_confirm,cum_heal,cum_dead,confirm,dead,heal
黑龙江,黑龙江,2020-02-13,418,37,11,,NA,
黑龙江,哈尔滨,2020-02-13,164,15,3,,NA,
黑龙江,双鸭山,2020-02-13,48,1,2,,NA,
黑龙江,鸡西,2020-02-13,44,1,0,,NA,
黑龙江,绥化,2020-02-13,45,3,4,,NA,
黑龙江,齐齐哈尔,2020-02-13,36,8,1,,NA,
黑龙江,大庆,2020-02-13,18,1,1,,NA,
黑龙江,七台河,2020-02-13,16,1,0,,NA,
黑龙江,黑河,2020-02-13,13,0,0,,NA,
黑龙江,牡丹江,2020-02-13,12,1,0,,NA,
黑龙江,佳木斯,2020-02-13,15,5,0,,NA,
黑龙江,鹤岗,2020-02-13,5,1,0,,NA,
黑龙江,大兴安岭,2020-02-13,2,0,0,,NA,
黑龙江,黑龙江,2020-02-12,395,31,9,,NA,
黑龙江,哈尔滨,2020-02-12,159,15,1,,NA,
黑龙江,绥化,2020-02-12,45,3,4,,NA,
黑龙江,鸡西,2020-02-12,44,1,0,,NA,
黑龙江,双鸭山,2020-02-12,39,1,2,,NA,
黑龙江,齐齐哈尔,2020-02-12,33,4,1,,NA,
黑龙江,七台河,2020-02-12,16,0,0,,NA,
黑龙江,大庆,2020-02-12,15,0,1,,NA,
黑龙江,佳木斯,2020-02-12,15,5,0,,NA,
黑龙江,牡丹江,2020-02-12,12,1,0,,NA,
黑龙江,黑河,2020-02-12,10,0,0,,NA,
黑龙江,鹤岗,2020-02-12,5,1,0,,NA,
黑龙江,大兴安岭,2020-02-12,2,0,0,,NA,
黑龙江,黑龙江,2020-02-11,378,28,8,,NA,
黑龙江,哈尔滨,2020-02-11,150,15,0,,NA,
黑龙江,绥化,2020-02-11,43,3,4,,NA,
黑龙江,鸡西,2020-02-11,43,1,0,,NA,
黑龙江,双鸭山,2020-02-11,39,1,2,,NA,
黑龙江,齐齐哈尔,2020-02-11,33,1,1,,NA,
黑龙江,大庆,2020-02-11,15,0,1,,NA,
黑龙江,佳木斯,2020-02-11,15,5,0,,NA,
黑龙江,七台河,2020-02-11,15,0,0,,NA,
黑龙江,牡丹江,2020-02-11,12,1,0,,NA,
黑龙江,黑河,2020-02-11,6,0,0,,NA,
黑龙江,鹤岗,2020-02-11,5,1,0,,NA,
黑龙江,大兴安岭,2020-02-11,2,0,0,,NA,
黑龙江,黑龙江,2020-02-10,360,27,8,,NA,
黑龙江,哈尔滨,2020-02-10,146,15,0,,NA,
黑龙江,绥化,2020-02-10,39,3,4,,NA,
黑龙江,双鸭山,2020-02-10,38,1,2,,NA,
黑龙江,鸡西,2020-02-10,38,1,0,,NA,
黑龙江,齐齐哈尔,2020-02-10,32,0,1,,NA,
黑龙江,佳木斯,2020-02-10,15,5,0,,NA,
黑龙江,七台河,2020-02-10,15,0,0,,NA,
黑龙江,大庆,2020-02-10,14,0,1,,NA,
黑龙江,牡丹江,2020-02-10,12,1,0,,NA,
黑龙江,鹤岗,2020-02-10,5,1,0,,NA,
黑龙江,黑河,2020-02-10,4,0,0,,NA,
黑龙江,大兴安岭,2020-02-10,2,0,0,,NA,
黑龙江,黑龙江,2020-02-09,331,15,7,,NA,
黑龙江,哈尔滨,2020-02-09,128,9,0,,NA,
黑龙江,双鸭山,2020-02-09,38,1,2,,NA,
黑龙江,绥化,2020-02-09,37,1,3,,NA,
黑龙江,鸡西,2020-02-09,34,1,0,,NA,
黑龙江,齐齐哈尔,2020-02-09,30,0,1,,NA,
黑龙江,佳木斯,2020-02-09,14,1,0,,NA,
黑龙江,七台河,2020-02-09,14,0,0,,NA,
黑龙江,大庆,2020-02-09,13,0,1,,NA,
黑龙江,牡丹江,2020-02-09,12,1,0,,NA,
黑龙江,鹤岗,2020-02-09,5,1,0,,NA,
黑龙江,黑河,2020-02-09,4,0,0,,NA,
黑龙江,大兴安岭,2020-02-09,2,0,0,,NA,
黑龙江,黑龙江,2020-02-08,307,13,6,,NA,
黑龙江,哈尔滨,2020-02-08,114,9,0,,NA,
黑龙江,双鸭山,2020-02-08,38,1,2,,NA,
黑龙江,绥化,2020-02-08,35,1,3,,NA,
黑龙江,鸡西,2020-02-08,34,0,0,,NA,
黑龙江,齐齐哈尔,2020-02-08,27,0,0,,NA,
黑龙江,大庆,2020-02-08,13,0,1,,NA,
黑龙江,佳木斯,2020-02-08,13,1,0,,NA,
黑龙江,七台河,2020-02-08,13,0,0,,NA,
黑龙江,牡丹江,2020-02-08,12,1,0,,NA,
黑龙江,鹤岗,2020-02-08,4,0,0,,NA,
黑龙江,大兴安岭,2020-02-08,2,0,0,,NA,
黑龙江,黑河,2020-02-08,2,0,0,,NA,
黑龙江,黑龙江,2020-02-07,295,13,5,,NA,
黑龙江,哈尔滨,2020-02-07,100,9,0,,NA,
黑龙江,绥化,2020-02-07,44,1,2,,NA,
黑龙江,双鸭山,2020-02-07,36,1,2,,NA,
黑龙江,鸡西,2020-02-07,31,0,0,,NA,
黑龙江,齐齐哈尔,2020-02-07,27,0,0,,NA,
黑龙江,牡丹江,2020-02-07,13,1,0,,NA,
黑龙江,大庆,2020-02-07,13,0,1,,NA,
黑龙江,佳木斯,2020-02-07,13,1,0,,NA,
黑龙江,七台河,2020-02-07,11,0,0,,NA,
黑龙江,鹤岗,2020-02-07,3,0,0,,NA,
黑龙江,大兴安岭,2020-02-07,2,0,0,,NA,
黑龙江,黑河,2020-02-07,2,0,0,,NA,
黑龙江,待明确,2020-02-07,0,0,0,,NA,
黑龙江,黑龙江,2020-02-06,277,8,3,,NA,
黑龙江,哈尔滨,2020-02-06,94,6,0,,NA,
黑龙江,绥化,2020-02-06,39,0,2,,NA,
黑龙江,双鸭山,2020-02-06,36,1,0,,NA,
黑龙江,鸡西,2020-02-06,29,0,0,,NA,
黑龙江,齐齐哈尔,2020-02-06,27,0,0,,NA,
