cusnum,一般消费分期平台,银行个人业务,直销银行,财产保险,小额贷款公司,P2P网贷,大型消费金融公司,大数据金融,银行消费金融公司,信用卡中心,网上银行,综合类电商平台,互联网金融门户,银行小微贷款,O2O,融资租赁,第三方服务商
1,3,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,NA,1,NA,1,3,2,1,2,1,1,1,NA,NA,NA,NA,NA
3,5,NA,NA,1,1,15,3,NA,2,1,NA,1,1,NA,NA,NA,NA
4,4,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
6,4,NA,NA,NA,NA,5,2,NA,4,1,1,NA,1,NA,NA,NA,NA
7,3,NA,NA,NA,4,12,2,1,2,1,2,1,NA,NA,NA,NA,NA
8,5,NA,NA,NA,2,14,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA
9,2,NA,NA,1,1,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
10,3,NA,NA,NA,NA,5,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA
11,5,NA,NA,NA,1,5,1,NA,3,NA,1,1,1,1,NA,NA,NA
12,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
14,2,NA,NA,NA,NA,NA,2,NA,1,NA,1,1,NA,NA,NA,NA,NA
15,6,NA,NA,NA,3,10,2,NA,3,NA,NA,1,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
17,5,NA,NA,NA,4,5,2,1,1,NA,2,1,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA
19,15,1,NA,NA,15,33,2,1,4,1,2,NA,1,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,6,NA,NA,1,2,2,2,NA,2,NA,1,NA,NA,NA,1,NA,1
22,2,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
24,1,NA,NA,NA,1,2,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA
25,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
26,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,NA,NA,NA,NA,NA,2,NA,2,1,1,1,NA,NA,NA,NA,NA
28,2,NA,NA,NA,NA,3,3,1,4,NA,1,NA,NA,1,NA,NA,NA
29,4,NA,NA,NA,3,4,2,NA,3,1,NA,NA,1,NA,NA,NA,NA
30,2,NA,NA,1,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
31,1,NA,NA,NA,NA,NA,3,1,1,NA,1,1,NA,1,NA,1,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
33,2,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
34,1,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
