年,月,日,时,分,总辐射(W/㎡),直接辐射(W/㎡),散辐射(W/㎡),风速(m/s),风向(°),环境温度(°C),湿度(%RH)
2013,9,2,0,0,104.2,533.1,34,16.73,27.07,4.718,72.79
2013,9,2,0,5,119.4,561.8,36.64,16.89,26.79,4.62,72.69
2013,9,2,0,10,134.2,584.6,39.01,17.08,26.23,4.468,71.89
2013,9,2,0,15,149.9,609.9,41.09,17.3,25.65,5.376,71.87
2013,9,2,0,20,166.2,634.4,43.09,17.54,25.31,4.865,72.21
2013,9,2,0,25,182.4,654.9,45.17,17.7,24.96,3.632,68.33
2013,9,2,0,30,198.3,673.6,46.71,17.99,24.31,3.181,70.22
2013,9,2,0,35,213.4,684,48.91,18.21,23.8,3.642,70.74
2013,9,2,0,40,228.3,695.8,50.36,18.38,23.58,3.967,71.72
2013,9,2,0,45,243.6,708.1,51.67,18.75,22.86,3.208,66.85
2013,9,2,0,50,259.5,721.7,52.85,19.13,22.43,2.771,70.64
2013,9,2,0,55,274.8,732,54.15,19.3,22.24,1.93,69.44
2013,9,2,1,0,289.8,738.6,56.08,19.61,21.65,2.83,73.78
2013,9,2,1,5,306.8,753.7,56.98,20,20.94,1.988,61.7
2013,9,2,1,10,322,763.5,57.66,20.15,20.88,2.092,40.68
2013,9,2,1,15,337.8,772.9,58.78,20.25,20.81,2.393,36.95
2013,9,2,1,20,353.7,783.1,59.65,20.31,20.47,3.043,339.4
2013,9,2,1,25,368.9,792.4,59.91,20.11,20.7,3.395,297.4
2013,9,2,1,30,382.8,795.6,61.16,20.13,20.77,3.674,276.3
2013,9,2,1,35,398.3,804,61.98,19.97,20.94,3.634,276.2
2013,9,2,1,40,413.5,811,62.73,19.96,21.03,4.164,276
2013,9,2,1,45,429.6,821,63.39,19.91,21.14,4.154,275.2
2013,9,2,1,50,445.2,829,63.94,19.83,21.34,4.391,274.9
2013,9,2,1,55,460.6,837,64.09,19.93,21.23,4.452,270.1
2013,9,2,2,0,475.2,843,64.76,19.87,21.18,4.146,273
2013,9,2,2,5,490.8,851,65.11,19.84,21.27,4.002,271.5
2013,9,2,2,10,505.8,858,65.71,20.01,21.19,4.257,273.7
2013,9,2,2,15,519.4,862,66.27,20.32,20.95,4.09,273
2013,9,2,2,20,534.3,869,66.58,20.32,20.82,3.964,271.3
2013,9,2,2,25,548.3,875,66.72,20.34,20.82,3.949,278.6
2013,9,2,2,30,562.5,880,67.4,20.6,20.49,3.512,284.4
2013,9,2,2,35,575.4,884,67.52,20.82,20.24,3.895,278.5
2013,9,2,2,40,588.8,888,68.04,21,20.05,3.719,277.1
2013,9,2,2,45,602.8,895,68.07,21.17,19.93,3.581,286.4
2013,9,2,2,50,615.9,899,68.46,21.26,19.81,3.818,279.9
2013,9,2,2,55,628.9,904,68.59,21.23,19.79,3.693,290
