年,月,日,时,分,实际功率
2013,9,2,0,0,-0.0100047
2013,9,2,0,15,-0.00776865
2013,9,2,0,30,-0.0077551
2013,9,2,0,45,-0.0081103
2013,9,2,1,0,-0.0088799
2013,9,2,1,15,-0.0086021
2013,9,2,1,30,-0.0069263
2013,9,2,1,45,-0.0072815
2013,9,2,2,0,-0.0062804
2013,9,2,2,15,-0.0067487
2013,9,2,2,30,-0.0062159
2013,9,2,2,45,-0.00597915
2013,9,2,3,0,-0.0063995
2013,9,2,3,15,-0.0062159
2013,9,2,3,45,-0.00651855
2013,9,2,4,0,-0.0063935
2013,9,2,4,15,-0.0065119
2013,9,2,4,30,-0.00580155
2013,9,2,4,45,-0.0062209
2013,9,2,5,0,-0.00580155
2013,9,2,5,15,-0.00586075
2013,9,2,5,30,-0.00603835
2013,9,2,5,45,-0.00598275
2013,9,2,6,0,-0.00562395
2013,9,2,6,15,-0.00586075
2013,9,2,6,30,-0.00598275
2013,9,2,6,45,-0.0063343
2013,9,2,7,0,-0.0063343
2013,9,2,7,15,-0.00600875
2013,9,2,7,30,0.0240501
2013,9,2,7,45,0.116504
2013,9,2,8,0,0.2033495
2013,9,2,8,15,0.4931885
2013,9,2,8,30,0.951885
2013,9,2,8,45,1.50582
2013,9,2,9,0,2.124865
2013,9,2,9,15,2.75093
2013,9,2,9,30,3.36633
2013,9,2,9,45,3.958
2013,9,2,10,0,4.48884
2013,9,2,10,15,5.0014
2013,9,2,10,30,5.43775
2013,9,2,10,45,5.8623
2013,9,2,11,0,6.2423
2013,9,2,11,15,6.5479
2013,9,2,11,30,6.8548
2013,9,2,11,45,7.1254
2013,9,2,12,0,7.36555
2013,9,2,12,15,7.5304
2013,9,2,12,30,7.7339
2013,9,2,12,45,7.90755
2013,9,2,13,0,8.0134
2013,9,2,13,15,8.11765
2013,9,2,13,30,8.23505
2013,9,2,13,45,8.2615
2013,9,2,14,0,8.29565
2013,9,2,14,15,7.134
2013,9,2,14,30,5.9306
2013,9,2,14,45,6.18785
2013,9,2,15,0,7.29185
2013,9,2,15,15,6.66485
2013,9,2,15,30,4.17298
2013,9,2,15,45,3.02406
2013,9,2,16,0,4.319915
2013,9,2,16,15,3.68959
2013,9,2,16,30,6.7972
2013,9,2,16,45,6.17645
2013,9,2,17,0,5.96945
2013,9,2,17,15,5.5561
2013,9,2,17,30,3.830515
2013,9,2,17,45,2.71094
2013,9,2,18,0,3.064565
2013,9,2,18,15,2.400735
2013,9,2,18,30,1.39324
2013,9,2,18,45,0.978
2013,9,2,19,0,0.836605
2013,9,2,19,15,0.726265
2013,9,2,19,30,0.66031
2013,9,2,19,45,0.4682065
2013,9,2,20,0,0.167534
2013,9,2,20,15,0.0108047
2013,9,2,20,30,-0.0159838
2013,9,2,20,45,-0.0156286
2013,9,2,21,0,-0.0158062
2013,9,2,21,15,-0.0159838
2013,9,2,21,30,-0.0156286
2013,9,2,21,45,-0.01468145
2013,9,2,22,0,-0.01485275
2013,9,2,22,15,-0.01225425
2013,9,2,22,30,-0.01071505
2013,9,2,22,45,-0.0092351
2013,9,2,23,0,-0.00931645
2013,9,2,23,15,-0.01160305
2013,9,2,23,30,-0.0088799
2013,9,2,23,45,-0.0094355
2013,9,3,0,0,-0.0105375
2013,9,3,0,15,-0.0085839
2013,9,3,0,30,-0.0087615
2013,9,3,0,45,-0.007471
2013,9,3,1,0,-0.0075775
2013,9,3,1,15,-0.0076959
2013,9,3,1,30,-0.0072223
2013,9,3,1,45,-0.0068757
2013,9,3,2,0,-0.0064527
2013,9,3,2,15,-0.0066303
2013,9,3,2,30,-0.0062209
2013,9,3,2,45,-0.00609755
2013,9,3,3,0,-0.0062159
2013,9,3,3,15,-0.0071039
2013,9,3,3,30,-0.0058637
2013,9,3,3,45,-0.00591995
2013,9,3,4,0,-0.00597915
2013,9,3,4,15,-0.0058042
2013,9,3,4,30,-0.00568315
2013,9,3,4,45,-0.00591995
2013,9,3,5,0,-0.00556475
2013,9,3,5,15,-0.0056256
2013,9,3,5,30,-0.00586075
2013,9,3,5,45,-0.00574235
2013,9,3,6,0,-0.0058042
2013,9,3,6,15,-0.00544635
2013,9,3,6,30,-0.0065119
2013,9,3,6,45,-0.00574235
2013,9,3,7,0,-0.0075901
2013,9,3,7,15,-0.0087615
2013,9,3,7,30,0.0097087
2013,9,3,7,45,0.07849
2013,9,3,8,0,0.2144785
2013,9,3,8,15,0.4572545
2013,9,3,8,30,0.899175
2013,9,3,8,45,1.4514
2013,9,3,9,0,2.04927
2013,9,3,9,15,2.66891
2013,9,3,9,30,3.277415
2013,9,3,9,45,3.851705
2013,9,3,10,0,4.401935
2013,9,3,10,15,4.90498
2013,9,3,10,30,5.3704
2013,9,3,10,45,5.7974
2013,9,3,11,0,6.19055
2013,9,3,11,15,6.52525
2013,9,3,11,30,6.81685
2013,9,3,11,45,7.06925
2013,9,3,12,0,7.28625
2013,9,3,12,15,7.473
2013,9,3,12,30,7.61025
2013,9,3,12,45,7.7551
2013,9,3,13,0,7.8563
2013,9,3,13,15,7.92845
2013,9,3,13,30,8.0013
2013,9,3,13,45,8.0141
2013,9,3,14,0,7.9853
2013,9,3,14,15,7.969
2013,9,3,14,30,7.91745
2013,9,3,14,45,7.82125
2013,9,3,15,0,7.65215
2013,9,3,15,15,7.5737
2013,9,3,15,30,7.4424
2013,9,3,15,45,7.2698
2013,9,3,16,0,6.96465
2013,9,3,16,15,6.74985
